,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk,Diff,ODiff,DDiff
,,Syracuse,,ACC,0.232,20 - 13,11 - 9,13 - 6,7 - 7,1.09 @ Duke,-0.23 (H) Georgia Tech,,,0.166,28,0.119,0.042,0.077
,,Texas,,Big 12,0.231,16 - 16,8 - 11,12 - 6,4 - 10,0.96 @ Kansas State,-0.25 @ Georgia,,,0.227,3,0.107,0.062,0.045
,,Minnesota,,Big Ten,0.228,21 - 13,11 - 12,13 - 3,8 - 10,0.85 @ Wisconsin,-0.24 @ Illinois,,,0.17,23,0.063,0.031,0.032
,,TCU,,Big 12,0.227,20 - 13,8 - 12,12 - 5,8 - 8,0.83 @ Iowa State,-0.14 @ Oklahoma State,,,0.183,14,0.093,0.049,0.044
,,St. John's,,Big East,0.224,21 - 12,9 - 11,13 - 4,8 - 8,0.84 @ Marquette,-0.21 (H) DePaul,,,0.125,56,0.068,0.044,0.024
,,St. Mary's (CA),,WCC,0.222,22 - 11,13 - 5,14 - 3,8 - 8,0.96 (N) Gonzaga,-0.22 @ Pepperdine,,,0.077,84,0.177,0.108,0.069
,,Utah State,,Mountain West,0.222,28 - 6,18 - 3,14 - 1,14 - 5,0.83 @ UC-Irvine,-0.08 (H) Fresno State,,,-0.005,139,0.174,0.089,0.085
,,Temple,,AAC,0.221,23 - 9,13 - 6,13 - 2,10 - 7,0.91 (H) Houston,-0.14 (H) Penn,,,0.098,68,0.076,0.041,0.035
,,Creighton,,Big East,0.214,18 - 14,9 - 10,11 - 6,7 - 8,0.86 @ Marquette,-0.09 (N) Xavier,,,0.158,34,0.099,0.078,0.021
,,Oregon,,Pac-12,0.212,23 - 12,14 - 8,13 - 4,10 - 8,0.89 @ Washington,-0.30 (H) Texas Southern,,,0.094,73,0.135,0.038,0.097
,,Iowa,,Big Ten,0.21,22 - 11,11 - 11,14 - 4,8 - 7,0.88 (H) Michigan,-0.21 (H) Rutgers,,,0.13,54,0.095,0.097,-0.002
,,Mississippi,,SEC,0.206,20 - 12,10 - 9,11 - 5,9 - 7,0.88 @ Auburn,-0.10 @ South Carolina,,,0.139,50,0.112,0.069,0.043
,,Alabama,,SEC,0.199,18 - 15,9 - 11,10 - 5,8 - 10,0.87 (H) Kentucky,-0.18 (H) Texas A&M,,,0.178,17,0.067,0.021,0.045
,,Florida,,SEC,0.194,19 - 15,11 - 10,9 - 6,10 - 9,0.97 @ LSU,-0.33 (H) Georgia,,,0.192,9,0.117,0.034,0.083
,,Ohio State,,Big Ten,0.191,19 - 14,9 - 13,12 - 6,7 - 8,0.96 @ Cincinnati,-0.30 (H) Illinois,,,0.157,35,0.089,0.025,0.064
,,Georgetown,,Big East,0.19,19 - 13,9 - 10,13 - 5,6 - 8,0.85 @ Marquette,-0.20 (H) SMU,,,0.118,58,0.054,0.038,0.015
,,Xavier,,Big East,0.188,18 - 15,10 - 10,12 - 5,6 - 10,0.79 (H) Villanova,-0.21 (H) DePaul,,,0.167,26,0.057,0.043,0.014
