,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk,Diff,ODiff,DDiff
,,Abilene Christian,,Southland,0.031,27 - 6,16 - 4,13 - 2,14 - 4,0.28 @ Lamar,-0.43 @ Stephen F. Austin,,,-0.173,348,0.098,0.045,0.053
,,Illinois State,,MVC,0.03,17 - 16,10 - 10,12 - 4,5 - 12,0.67 @ Drake,-0.44 (H) Valparaiso,,,-0.001,132,-0.028,-0.017,-0.01
,,South Dakota State,,Summit,0.025,24 - 8,14 - 3,14 - 1,10 - 7,0.38 (H) Grand Canyon,-0.71 (N) Western Illinois,,,-0.128,317,0.124,0.094,0.029
,,Texas-Rio Grande Valley,,WAC,0.024,19 - 16,10 - 8,10 - 8,9 - 8,0.47 @ Grand Canyon,-0.46 (H) Rice,,,-0.013,148,0.005,-0.037,0.042
,,Santa Clara,,WCC,0.02,16 - 15,8 - 9,11 - 6,5 - 9,0.50 (H) San Francisco,-0.60 (H) Idaho State,,,-0.002,134,-0.022,-0.032,0.01
,,Wake Forest,,ACC,0.02,11 - 20,4 - 15,8 - 8,3 - 12,0.57 (H) Davidson,-0.59 (H) Houston Christian,,,0.138,51,-0.053,-0.014,-0.04
,,Wright State,,Horizon,0.02,21 - 13,15 - 6,15 - 2,6 - 11,0.68 (H) Toledo,-0.42 @ Detroit,,,-0.082,248,0.061,0.02,0.041
,,Pepperdine,,WCC,0.019,16 - 18,9 - 11,9 - 5,7 - 13,0.68 (H) St. Mary's (CA),-0.62 @ UC-Riverside,,,0.004,126,0.036,0.04,-0.004
,,UNLV,,Mountain West,0.018,17 - 14,11 - 8,10 - 7,7 - 7,0.53 (N) BYU,-0.42 (H) Valparaiso,,,-0.014,150,0.032,0.033,-0.001
,,Texas-San Antonio,,C-USA,0.018,17 - 15,11 - 8,11 - 4,6 - 11,0.60 (H) Old Dominion,-1.01 (H) Non D-I,,,-0.037,183,-0.005,0.01,-0.015
,,Louisiana,,Sun Belt,0.017,19 - 13,10 - 9,10 - 4,9 - 9,0.58 (H) Georgia State,-0.59 (H) Appalachian State,,,-0.043,198,-0.005,0.034,-0.038
,,Saint Joseph's,,Atlantic 10,0.017,14 - 19,7 - 13,10 - 5,4 - 14,0.63 (H) Old Dominion,-0.64 (H) George Washington,,,0.043,92,-0.018,0.017,-0.034
,,Florida International,,C-USA,0.016,19 - 13,10 - 9,12 - 4,7 - 9,0.54 @ Western Kentucky,-0.61 @ UTEP,,,-0.068,226,-0.024,-0.011,-0.014
,,Vanderbilt,,SEC,0.014,9 - 23,0 - 19,8 - 10,1 - 13,0.67 (H) Arizona State,-0.26 @ Georgia,,,0.146,43,-0.032,-0.034,0.002
,,Indiana State,,MVC,0.014,15 - 16,7 - 12,9 - 5,6 - 11,0.51 (N) Colorado,-0.42 (N) Valparaiso,,,-0.005,137,-0.046,-0.023,-0.023
,,Florida Atlantic,,C-USA,0.012,17 - 15,8 - 11,9 - 5,8 - 10,0.86 @ UCF,-0.67 (H) Charlotte,,,-0.044,200,-0.002,-0.04,0.037
,,Gardner-Webb,,Big South,0.012,23 - 11,13 - 6,13 - 0,10 - 11,0.51 @ Radford,-0.47 (N) Eastern Illinois,,,-0.118,297,0.065,0.058,0.007
,,NJIT,,ASUN,0.008,21 - 12,9 - 9,10 - 4,11 - 8,0.43 (H) Colgate,-0.66 @ Kennesaw State,,,-0.065,223,0.031,-0.006,0.037
,,Cornell,,Ivy,0.007,15 - 15,7 - 7,9 - 4,6 - 11,0.59 @ Harvard,-0.53 @ Niagara,,,-0.014,149,-0.048,-0.053,0.005
,,Missouri State,,MVC,0.004,16 - 16,10 - 9,11 - 4,5 - 12,0.46 @ Loyola (Chicago),-0.56 (H) Evansville,,,-0.016,153,0.03,0.021,0.01
,,Nebraska-Omaha,,Summit,0.003,21 - 11,15 - 4,10 - 2,11 - 9,0.43 (H) South Dakota State,-0.68 (H) Northern Arizona,,,-0.079,241,0.031,0.065,-0.034
,,Sam Houston State,,Southland,-0.005,21 - 11,16 - 3,12 - 2,9 - 9,0.56 @ Abilene Christian,-0.57 (H) Central Arkansas,,,-0.122,307,0.048,0.042,0.006
,,Pacific,,WCC,-0.006,14 - 18,4 - 13,9 - 7,5 - 11,0.65 (H) UC-Irvine,-0.33 @ Boise State,,,0.013,114,-0.045,-0.044,-0.002
,,UC-Santa Barbara,,Big West,-0.007,22 - 10,11 - 7,12 - 3,10 - 7,0.50 (H) San Francisco,-0.65 @ UC-Riverside,,,-0.127,315,0.069,0.047,0.022
,,Louisiana-Monroe,,Sun Belt,-0.007,18 - 15,11 - 10,13 - 2,5 - 13,0.58 (H) Georgia State,-0.63 @ Tennessee Tech,,,-0.032,174,0.054,0.085,-0.031
,,Campbell,,Big South,-0.007,20 - 12,13 - 5,12 - 4,8 - 8,0.49 @ Radford,-0.49 (H) The Citadel,,,-0.129,319,0.055,0.058,-0.003
,,Seattle,,WAC,-0.009,18 - 14,6 - 11,14 - 5,4 - 9,0.38 (H) Nebraska-Omaha,-0.43 (H) Southern Utah,,,-0.076,238,0.014,-0.013,0.027
,,New Mexico,,Mountain West,-0.011,14 - 18,8 - 12,9 - 7,5 - 11,0.88 (H) Nevada,-0.74 @ San Jose State,,,0.004,125,0.016,0.01,0.007
,,Winthrop,,Big South,-0.012,18 - 12,10 - 7,11 - 3,7 - 9,0.42 @ Southern Illinois,-0.63 (H) Longwood,,,-0.093,264,0.03,0.051,-0.022
,,Cal State-Bakersfield,,WAC,-0.013,16 - 15,7 - 10,9 - 4,7 - 11,0.53 (H) Utah Valley,-0.42 @ South Dakota,,,-0.056,214,-0.035,0,-0.035
,,Samford,,SoCon,-0.015,17 - 16,7 - 13,11 - 6,6 - 10,0.69 @ Furman,-0.57 @ Western Carolina,,,-0.039,195,0.049,0.03,0.019
,,California,,Pac-12,-0.015,8 - 23,3 - 16,7 - 9,1 - 14,0.74 (H) Washington,-0.41 @ Washington State,,,0.097,71,-0.087,-0.014,-0.073
,,Prairie View,,SWAC,-0.015,22 - 12,20 - 1,11 - 0,11 - 12,0.35 @ Santa Clara,-0.42 @ East Carolina,,,-0.128,318,0.002,0.014,-0.011
,,Washington State,,Pac-12,-0.019,11 - 21,4 - 15,9 - 8,2 - 13,0.81 @ Arizona State,-0.43 @ California,,,0.033,101,-0.046,0.02,-0.065
,,North Florida,,ASUN,-0.02,16 - 17,10 - 8,10 - 3,6 - 14,0.53 (H) Liberty,-0.70 @ Kennesaw State,,,-0.017,155,-0.013,0.007,-0.019
,,Northern Colorado,,Big Sky,-0.023,21 - 11,15 - 6,10 - 3,11 - 8,0.61 @ Montana,-0.69 (N) SIU-Edwardsville,,,-0.117,296,0.064,0.039,0.025
,,UMBC,,America East,-0.023,21 - 13,13 - 6,13 - 4,8 - 9,0.76 @ Vermont,-0.68 (H) Towson,,,-0.143,332,0.004,-0.044,0.048
,,Cal State-Fullerton,,Big West,-0.024,16 - 17,12 - 7,9 - 3,7 - 14,0.36 (H) UC-Santa Barbara,-0.50 @ UC-Davis,,,-0.035,179,0.009,-0.02,0.028
,,California Baptist,,WAC,-0.028,16 - 14,7 - 9,8 - 6,8 - 8,0.68 (H) New Mexico State,-0.59 (N) Arkansas-Pine Bluff,,,-0.092,262,0.015,0.044,-0.029
,,Weber State,,Big Sky,-0.029,18 - 15,12 - 10,10 - 5,8 - 10,0.53 (H) BYU,-0.48 @ Idaho State,,,-0.108,283,0.042,0.015,0.028
,,Green Bay,,Horizon,-0.029,17 - 16,11 - 9,12 - 3,5 - 13,0.68 (H) Belmont,-0.55 @ Youngstown State,,,-0.046,204,0.001,-0.002,0.003
,,Hawaii,,Big West,-0.03,18 - 13,9 - 8,13 - 5,5 - 8,0.50 (H) Colorado,-0.74 @ Cal Poly,,,-0.114,291,0.012,0.02,-0.008
,,Long Beach State,,Big West,-0.032,15 - 19,9 - 9,9 - 5,6 - 14,0.78 @ UC-Irvine,-0.49 @ UC-Davis,,,-0.032,172,-0.028,-0.027,-0.001
,,William & Mary,,CAA,-0.032,14 - 17,10 - 9,9 - 5,5 - 12,0.50 (H) Charleston,-0.63 (H) Elon,,,-0.012,147,-0.031,0,-0.031
,,Hartford,,America East,-0.034,18 - 15,11 - 7,10 - 4,8 - 11,0.47 (H) Bowling Green,-0.69 (H) Central Connecticut,,,-0.08,245,0.035,0.064,-0.029
,,Valparaiso,,MVC,-0.034,15 - 18,8 - 12,8 - 7,7 - 11,0.42 @ Southern Illinois,-0.55 (H) Evansville,,,-0.033,177,-0.031,-0.036,0.005
,,Holy Cross,,Patriot,-0.036,16 - 17,7 - 13,8 - 5,8 - 12,0.50 (N) Stony Brook,-0.60 (H) Loyola (MD),,,-0.038,186,-0.026,-0.013,-0.013
,,North Dakota State,,Summit,-0.038,18 - 15,12 - 7,10 - 3,8 - 12,0.39 (N) Nebraska-Omaha,-0.80 (N) Incarnate Word,,,-0.087,258,0.014,0.036,-0.022
,,Coastal Carolina,,Sun Belt,-0.039,15 - 16,9 - 10,9 - 4,6 - 12,0.60 (H) Georgia State,-0.67 (N) Manhattan,,,-0.051,209,0.026,0.02,0.006
,,Boise State,,Mountain West,-0.04,13 - 20,8 - 12,8 - 7,5 - 13,0.48 (H) San Diego State,-0.60 (H) Idaho State,,,0,130,0.049,0.041,0.007
,,Texas Southern,,SWAC,-0.042,21 - 13,16 - 5,10 - 2,11 - 11,0.72 @ Oregon,-0.89 (H) Southern U.,,,-0.122,306,-0.033,0.015,-0.048
,,Charleston Southern,,Big South,-0.044,17 - 15,11 - 8,11 - 4,6 - 11,0.39 (H) Radford,-0.41 @ Middle Tennessee,,,-0.126,314,0.034,-0.006,0.04
,,Florida Gulf Coast,,ASUN,-0.046,14 - 18,9 - 8,10 - 4,4 - 14,0.58 (H) Lipscomb,-0.73 @ Stetson,,,-0.038,187,-0.046,-0.02,-0.025
,,Delaware,,CAA,-0.046,17 - 16,9 - 11,9 - 7,8 - 9,0.70 @ Northeastern,-0.97 (H) Delaware State,,,-0.072,233,-0.049,0.006,-0.054
,,East Carolina,,AAC,-0.049,10 - 21,3 - 16,9 - 9,1 - 12,0.80 (H) Cincinnati,-0.54 @ Charlotte,,,0.038,95,-0.089,-0.062,-0.027
,,Air Force,,Mountain West,-0.05,14 - 18,9 - 11,9 - 6,5 - 12,0.60 @ Fresno State,-0.51 (H) Colorado State,,,-0.032,170,-0.048,-0.027,-0.021
,,Lamar,,Southland,-0.051,20 - 13,13 - 7,13 - 2,7 - 11,0.30 (H) Sam Houston State,-0.47 @ Houston Christian,,,-0.14,329,0.043,0.034,0.009
,,New Orleans,,Southland,-0.051,19 - 13,14 - 7,12 - 3,7 - 10,0.32 (N) Sam Houston State,-0.62 (H) Nicholls State,,,-0.148,335,-0.031,-0.045,0.014
,,Illinois-Chicago,,Horizon,-0.052,16 - 16,10 - 9,12 - 4,4 - 12,0.46 (H) Northern Kentucky,-0.60 @ Milwaukee,,,-0.08,244,-0.019,-0.026,0.007
,,Eastern Washington,,Big Sky,-0.054,16 - 18,14 - 9,10 - 4,6 - 14,0.51 (H) Montana,-0.77 @ Idaho,,,-0.057,215,-0.026,-0.016,-0.009
,,Presbyterian,,Big South,-0.054,18 - 15,10 - 8,12 - 3,6 - 12,0.31 (H) Gardner-Webb,-0.68 (H) Jacksonville,,,-0.121,304,0.057,0.075,-0.018
,,Rice,,C-USA,-0.056,13 - 19,8 - 11,9 - 7,4 - 12,0.41 (H) Marshall,-0.68 (H) Charlotte,,,-0.028,165,-0.063,0.004,-0.067
,,Middle Tennessee,,C-USA,-0.057,11 - 21,8 - 11,9 - 5,2 - 16,0.39 @ UAB,-0.38 @ Vanderbilt,,,0.01,117,-0.075,-0.058,-0.017
,,Evansville,,MVC,-0.061,11 - 21,5 - 14,9 - 7,2 - 14,0.52 (H) Drake,-0.36 @ Arkansas State,,,-0.004,136,-0.049,-0.044,-0.005
,,Colorado State,,Mountain West,-0.061,12 - 20,7 - 12,8 - 9,4 - 11,0.51 (H) Fresno State,-0.65 @ Wyoming,,,-0.015,152,0.013,0.058,-0.045
,,Drexel,,CAA,-0.062,13 - 19,7 - 12,9 - 7,4 - 12,0.61 @ Charleston,-0.57 @ Towson,,,-0.037,184,-0.034,0.026,-0.06
,,Arkansas State,,Sun Belt,-0.062,13 - 19,7 - 12,10 - 4,3 - 15,0.40 @ Louisiana,-0.55 (N) UNC-Wilmington,,,-0.031,167,-0.055,-0.011,-0.044
,,Mercer,,SoCon,-0.062,11 - 20,6 - 13,9 - 6,2 - 14,0.31 @ Samford,-0.50 @ VMI,,,-0.01,146,0.006,0.005,0.001
,,Purdue-Fort Wayne,,Summit,-0.063,18 - 15,10 - 8,11 - 5,7 - 10,0.45 (H) South Dakota State,-0.71 @ Western Illinois,,,-0.124,312,0.029,0.049,-0.02
,,UMKC,,WAC,-0.065,11 - 21,6 - 11,8 - 5,3 - 16,0.39 (H) Grand Canyon,-0.72 (H) Milwaukee,,,-0.001,133,-0.038,-0.027,-0.01
,,Fairleigh Dickinson,,NEC,-0.065,20 - 13,15 - 6,13 - 4,7 - 9,0.43 @ Princeton,-0.68 (H) Central Connecticut,,,-0.152,336,0.022,0.044,-0.022
,,South Alabama,,Sun Belt,-0.065,17 - 17,10 - 11,13 - 6,4 - 11,0.47 (H) Texas State,-0.74 (H) Jacksonville,,,-0.084,254,-0.018,0.003,-0.021
,,Troy,,Sun Belt,-0.066,12 - 18,5 - 13,8 - 8,4 - 10,0.57 (H) Georgia State,-0.64 (H) Arkansas-Little Rock,,,-0.034,178,-0.044,0.001,-0.046
,,St. Francis (PA),,NEC,-0.068,18 - 14,14 - 7,12 - 4,6 - 10,0.31 @ Fairleigh Dickinson,-0.57 @ Bryant,,,-0.13,320,-0.021,0.037,-0.059
,,High Point,,Big South,-0.069,16 - 15,9 - 8,9 - 4,7 - 11,0.32 (H) Gardner-Webb,-0.60 (H) Longwood,,,-0.104,278,-0.006,-0.019,0.012
,,Portland State,,Big Sky,-0.069,16 - 16,11 - 10,12 - 4,4 - 12,0.61 @ Montana,-0.53 @ Northern Arizona,,,-0.122,308,-0.02,0.002,-0.022
,,Morehead State,,OVC,-0.072,13 - 20,9 - 11,7 - 7,6 - 13,0.17 @ Eastern Kentucky,-0.72 (H) Tennessee State,,,-0.046,203,-0.034,0.006,-0.04
,,Oakland,,Horizon,-0.072,16 - 17,12 - 8,10 - 6,6 - 11,0.46 (H) Northern Kentucky,-0.72 (H) Milwaukee,,,-0.064,222,-0.009,0.043,-0.051
,,Appalachian State,,Sun Belt,-0.075,11 - 21,6 - 13,9 - 5,2 - 16,0.40 @ Louisiana,-0.41 (H) South Alabama,,,-0.024,160,-0.023,0.031,-0.054
,,Norfolk State,,MEAC,-0.076,21 - 13,16 - 3,11 - 2,10 - 11,0.16 (H) North Carolina A&T,-0.58 (H) Howard,,,-0.196,352,0,-0.019,0.019
,,Eastern Kentucky,,OVC,-0.076,13 - 18,6 - 12,9 - 5,4 - 13,0.46 (H) Northern Kentucky,-0.77 (H) Tennessee Tech,,,-0.049,206,-0.025,-0.027,0.002
,,Columbia,,Ivy,-0.076,10 - 18,5 - 9,5 - 7,5 - 11,0.74 @ Yale,-0.61 (N) Youngstown State,,,-0.032,176,-0.02,-0.007,-0.013
,,Siena,,MAAC,-0.078,17 - 16,12 - 8,7 - 7,10 - 9,0.47 (H) Harvard,-0.62 @ St. Peter's,,,-0.124,313,-0.035,-0.001,-0.034
,,Navy,,Patriot,-0.079,12 - 19,9 - 11,8 - 6,4 - 13,0.44 (H) Colgate,-0.81 @ Morgan State,,,-0.032,175,-0.077,-0.056,-0.021
,,Southern Utah,,Big Sky,-0.081,16 - 16,11 - 12,10 - 3,6 - 13,0.34 (N) Northern Colorado,-0.53 @ Northern Arizona,,,-0.11,285,-0.036,-0.049,0.013
,,Massachusetts,,Atlantic 10,-0.082,11 - 21,4 - 15,9 - 8,2 - 13,0.57 (H) Davidson,-0.66 (H) Fordham,,,-0.007,142,-0.038,0.015,-0.053
,,Detroit,,Horizon,-0.082,11 - 20,8 - 11,7 - 6,4 - 14,0.47 (H) Bowling Green,-0.65 (H) Youngstown State,,,-0.006,140,-0.055,0.019,-0.074
,,LaSalle,,Atlantic 10,-0.083,10 - 21,8 - 11,5 - 9,5 - 12,0.58 (H) Davidson,-0.64 (H) Lafayette,,,0.011,116,-0.048,-0.038,-0.011
,,Southeastern Louisiana,,Southland,-0.084,17 - 16,13 - 7,9 - 5,8 - 11,0.57 @ Abilene Christian,-0.78 @ Mississippi Valley State,,,-0.106,280,-0.021,-0.03,0.009
,,North Carolina A&T,,MEAC,-0.084,19 - 13,14 - 4,11 - 2,8 - 11,0.12 @ North Carolina Central,-0.63 @ Florida A&M,,,-0.174,349,-0.043,-0.019,-0.024
,,Montana State,,Big Sky,-0.085,15 - 17,12 - 10,9 - 4,6 - 13,0.39 @ Northern Colorado,-0.61 @ Denver,,,-0.093,263,-0.045,0.039,-0.083
,,The Citadel,,SoCon,-0.086,12 - 18,4 - 15,8 - 7,4 - 11,0.47 @ South Florida,-0.72 (H) Western Carolina,,,-0.039,193,-0.052,0.048,-0.1
,,Boston U.,,Patriot,-0.086,15 - 18,8 - 12,7 - 8,8 - 10,0.70 @ Northeastern,-0.68 (H) Bethune-Cookman,,,-0.08,243,-0.021,0.013,-0.034
,,Rider,,MAAC,-0.086,16 - 15,11 - 8,9 - 3,7 - 12,0.33 (N) Northern Colorado,-0.60 @ Manhattan,,,-0.115,294,0.009,0.004,0.004
,,Richmond,,Atlantic 10,-0.086,13 - 20,7 - 13,7 - 10,6 - 10,0.60 @ Saint Louis,-0.71 (N) Wyoming,,,-0.027,163,-0.011,0.044,-0.055
,,Iona,,MAAC,-0.087,17 - 15,15 - 6,8 - 3,9 - 12,0.26 (N) Hartford,-0.68 @ Fairfield,,,-0.12,301,0.001,0.047,-0.046
,,Dartmouth,,Ivy,-0.088,11 - 19,2 - 12,8 - 6,3 - 13,0.50 (H) Harvard,-0.63 (N) Marist,,,-0.045,202,0.004,0.022,-0.018
,,IUPUI,,Horizon,-0.089,16 - 16,8 - 11,11 - 4,5 - 12,0.47 (H) Northern Kentucky,-0.66 (H) Youngstown State,,,-0.107,281,0.007,0.009,-0.002
,,Hampton,,Big South,-0.092,15 - 16,10 - 8,10 - 3,5 - 13,0.49 @ Radford,-0.61 @ St. Peter's,,,-0.123,310,0.022,0.042,-0.02
,,American,,Patriot,-0.097,15 - 15,9 - 10,8 - 7,7 - 8,0.43 (H) Bucknell,-0.73 (H) Mount St. Mary's,,,-0.102,276,0.022,0.002,0.019
,,Army,,Patriot,-0.097,13 - 19,8 - 11,10 - 4,3 - 15,0.44 (H) Colgate,-0.69 (H) Niagara,,,-0.072,234,-0.029,-0.058,0.029
,,George Washington,,Atlantic 10,-0.099,9 - 24,5 - 15,6 - 11,3 - 13,0.28 @ Saint Joseph's,-0.52 @ Fordham,,,0.018,107,-0.098,-0.075,-0.023
,,James Madison,,CAA,-0.1,14 - 19,7 - 13,8 - 6,6 - 13,0.72 @ Hofstra,-0.66 (H) Elon,,,-0.073,235,-0.073,-0.03,-0.044
,,UNC-Wilmington,,CAA,-0.104,10 - 23,6 - 14,5 - 9,5 - 14,0.61 (H) Hofstra,-0.67 (H) Towson,,,-0.007,143,-0.078,0.012,-0.09
,,Robert Morris,,NEC,-0.107,17 - 16,12 - 8,12 - 3,5 - 13,0.22 (H) Fairleigh Dickinson,-0.69 (H) Central Connecticut,,,-0.141,330,-0.028,-0.055,0.027
,,UC-Davis,,Big West,-0.107,11 - 20,7 - 10,7 - 6,4 - 14,0.43 @ UC-Santa Barbara,-0.75 (H) UC-Riverside,,,-0.05,207,-0.058,-0.067,0.009
,,Chattanooga,,SoCon,-0.107,12 - 20,7 - 12,8 - 6,4 - 14,0.23 (H) Samford,-0.71 (H) Western Carolina,,,-0.036,182,-0.059,-0.025,-0.034
,,TAMU-Corpus Christi,,Southland,-0.109,14 - 18,9 - 10,9 - 7,5 - 11,0.35 @ Texas-Arlington,-0.57 (N) Central Arkansas,,,-0.119,300,-0.047,-0.061,0.014
,,Canisius,,MAAC,-0.109,15 - 17,12 - 8,5 - 8,10 - 9,0.53 @ Bucknell,-0.74 (H) Manhattan,,,-0.094,265,-0.063,-0.008,-0.055
,,Stephen F. Austin,,Southland,-0.11,14 - 16,7 - 11,10 - 6,4 - 10,0.68 @ Baylor,-0.74 (H) Northwestern State,,,-0.147,334,-0.084,-0.059,-0.025
,,Western Michigan,,MAC,-0.113,8 - 24,2 - 17,5 - 9,3 - 15,0.25 (H) Miami (OH),-0.95 (H) USC-Upstate,,,0.034,99,-0.074,-0.046,-0.029
,,VMI,,SoCon,-0.114,11 - 21,5 - 15,8 - 7,3 - 14,0.10 (H) The Citadel,-0.53 (H) Chattanooga,,,-0.038,191,-0.074,-0.011,-0.063
,,Cal State-Northridge,,Big West,-0.116,13 - 20,7 - 10,7 - 9,6 - 11,0.29 @ Pepperdine,-0.78 (H) Portland,,,-0.081,246,-0.055,0.024,-0.079
,,North Alabama,,ASUN,-0.117,10 - 22,7 - 10,8 - 4,2 - 18,0.36 (H) NJIT,-0.70 @ Stetson,,,-0.032,171,-0.125,-0.102,-0.024
,,Monmouth,,MAAC,-0.118,14 - 21,13 - 9,6 - 6,8 - 15,0.49 @ Penn,-0.65 (H) Marist,,,-0.086,256,-0.086,-0.1,0.015
,,Charlotte,,C-USA,-0.12,8 - 21,5 - 13,5 - 9,3 - 12,0.41 (H) Louisiana Tech,-0.59 @ UTEP,,,0.008,119,-0.117,-0.085,-0.032
,,Sacramento State,,Big Sky,-0.12,15 - 16,9 - 13,10 - 5,5 - 11,0.23 @ Eastern Washington,-0.77 @ Idaho,,,-0.131,321,-0.033,-0.062,0.029
,,South Dakota,,Summit,-0.122,13 - 17,7 - 10,8 - 6,5 - 11,0.25 (N) UMBC,-0.79 (H) Western Illinois,,,-0.095,269,-0.014,-0.023,0.009
,,St. Francis (NY),,NEC,-0.122,17 - 15,9 - 10,11 - 3,6 - 12,0.21 @ Presbyterian,-0.73 (H) Mount St. Mary's,,,-0.161,342,-0.031,-0.051,0.021
,,UMass Lowell,,America East,-0.122,15 - 17,7 - 10,8 - 5,7 - 12,0.38 (H) NJIT,-0.94 (H) Maine,,,-0.122,309,-0.017,0.032,-0.049
,,Arkansas-Little Rock,,Sun Belt,-0.122,10 - 21,5 - 13,7 - 9,3 - 12,0.34 (H) Sam Houston State,-0.65 (H) Arkansas-Pine Bluff,,,-0.04,196,-0.04,-0.032,-0.008
,,Tennessee-Martin,,OVC,-0.123,12 - 19,7 - 13,10 - 4,2 - 15,0.39 (H) Jacksonville State,-0.62 @ Tulane,,,-0.091,260,-0.099,0.013,-0.112
,,Tulane,,AAC,-0.126,4 - 27,0 - 19,3 - 12,1 - 15,0.45 (N) South Dakota State,-0.91 (N) Alabama A&M,,,0.085,79,-0.118,-0.082,-0.037
,,Fordham,,Atlantic 10,-0.13,12 - 20,3 - 16,9 - 10,3 - 10,0.45 @ Rhode Island,-0.73 @ Maine,,,-0.079,242,-0.042,-0.045,0.003
,,Quinnipiac,,MAAC,-0.13,16 - 14,11 - 8,7 - 8,9 - 6,0.23 @ Iona,-0.74 (H) Manhattan,,,-0.165,345,-0.006,0.03,-0.036
,,Houston Christian,,Southland,-0.13,12 - 18,8 - 11,9 - 4,3 - 14,0.27 @ Wake Forest,-0.67 @ McNeese State,,,-0.101,275,-0.05,0.036,-0.085
,,Sacred Heart,,NEC,-0.132,15 - 17,11 - 8,10 - 3,5 - 14,0.24 (H) Hartford,-0.74 (H) Mount St. Mary's,,,-0.121,305,-0.009,0.034,-0.044
,,Oral Roberts,,Summit,-0.133,11 - 21,7 - 10,7 - 6,4 - 15,0.45 @ Nebraska-Omaha,-0.65 @ Western Illinois,,,-0.068,225,-0.098,-0.011,-0.086
,,Portland,,WCC,-0.133,7 - 25,0 - 17,6 - 11,1 - 14,0.10 (H) Sacramento State,-0.55 (H) Grambling,,,-0.017,154,-0.156,-0.092,-0.064
,,Cleveland State,,Horizon,-0.134,10 - 21,5 - 13,8 - 9,2 - 12,0.57 @ Northern Kentucky,-0.59 @ Milwaukee,,,-0.078,240,-0.067,-0.015,-0.052
,,Loyola (MD),,Patriot,-0.135,11 - 21,7 - 12,7 - 5,4 - 16,0.44 (H) Colgate,-0.66 (H) Lafayette,,,-0.044,199,-0.071,-0.016,-0.054
,,Western Carolina,,SoCon,-0.136,7 - 25,4 - 15,4 - 8,3 - 17,0.23 (H) Samford,-0.61 (H) VMI,,,0.016,111,-0.093,-0.038,-0.055
,,Idaho State,,Big Sky,-0.137,11 - 19,7 - 14,6 - 7,5 - 12,0.32 @ Santa Clara,-0.69 (H) Northern Arizona,,,-0.082,250,-0.098,0.015,-0.113
,,Central Arkansas,,Southland,-0.137,14 - 19,9 - 11,8 - 5,6 - 14,0.39 @ Sam Houston State,-0.74 (H) Northwestern State,,,-0.097,271,-0.09,-0.039,-0.051
,,Lafayette,,Patriot,-0.139,10 - 20,7 - 12,4 - 11,6 - 9,0.28 @ Fairleigh Dickinson,-0.62 @ St. Peter's,,,-0.072,232,-0.099,-0.017,-0.082
,,Elon,,CAA,-0.141,11 - 21,7 - 12,5 - 11,6 - 10,0.24 @ William & Mary,-0.73 (N) UC-Riverside,,,-0.063,220,-0.1,-0.047,-0.052
,,Longwood,,Big South,-0.141,15 - 17,5 - 12,9 - 5,6 - 12,0.35 @ Winthrop,-0.84 @ USC-Upstate,,,-0.16,341,-0.065,-0.066,0.001
,,Long Island,,NEC,-0.142,16 - 16,10 - 10,8 - 5,8 - 11,0.35 (H) Brown,-0.73 (H) Binghamton,,,-0.155,340,-0.013,-0.024,0.011
,,Eastern Illinois,,OVC,-0.142,14 - 18,7 - 12,7 - 6,7 - 12,0.38 @ Bradley,-0.78 (H) Tennessee Tech,,,-0.087,257,-0.079,-0.027,-0.052
,,North Carolina Central,,MEAC,-0.143,18 - 15,13 - 6,10 - 2,8 - 13,0.19 (N) Norfolk State,-0.81 (H) Coppin State,,,-0.209,354,-0.027,-0.019,-0.008
,,North Dakota,,Summit,-0.145,12 - 18,6 - 11,8 - 6,4 - 12,0.22 @ Purdue-Fort Wayne,-0.98 (H) Idaho,,,-0.121,303,-0.047,-0.046,-0.001
,,Grambling,,SWAC,-0.145,17 - 16,11 - 9,11 - 3,6 - 13,0.28 @ Texas Southern,-0.81 @ Alabama A&M,,,-0.171,347,-0.048,-0.06,0.012
,,UTEP,,C-USA,-0.148,8 - 21,3 - 15,8 - 8,0 - 13,0.26 (H) Florida International,-0.56 (H) Middle Tennessee,,,-0.038,188,-0.112,-0.133,0.022
,,Youngstown State,,Horizon,-0.152,12 - 20,8 - 11,6 - 7,6 - 13,0.22 (H) Green Bay,-0.70 (H) Cleveland State,,,-0.084,255,-0.081,-0.004,-0.077
,,Wagner,,NEC,-0.153,13 - 17,8 - 11,7 - 7,6 - 10,0.27 @ St. Francis (PA),-0.78 (H) Mount St. Mary's,,,-0.134,324,-0.077,-0.068,-0.009
,,Towson,,CAA,-0.161,10 - 22,6 - 13,5 - 9,5 - 13,0.58 (H) Northeastern,-0.90 (H) Morgan State,,,-0.054,211,-0.079,-0.033,-0.046
,,Northern Arizona,,Big Sky,-0.162,10 - 21,8 - 13,5 - 7,5 - 14,0.47 @ Nebraska-Omaha,-0.74 @ San Jose State,,,-0.072,231,-0.065,-0.014,-0.051
,,Jacksonville,,ASUN,-0.162,12 - 20,5 - 12,5 - 8,7 - 12,0.26 @ North Florida,-0.75 (H) Florida A&M,,,-0.095,267,-0.05,-0.028,-0.022
