Team,SAG_rating
1  Alabama,92.8
2  Houston,92.04
3  UCLA,91.66
4  Texas,90.69
5  Connecticut,90.59
6  Gonzaga,90.15
7  Kansas,89.96
8  Tennessee,89.47
9  Arizona,89.15
10  Purdue,88.26
College Basketball 2022-2023    Div I games only    through games,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR,
HOME ADVANTAGE,[
11  Creighton,87.91
12  Marquette,87.85
13  Baylor,87.8
14  Duke,87.34
15  Saint Mary's-Cal.,86.96
16  Arkansas,86.59
17  Indiana,86.55
18  Memphis,86.4
19  Kentucky,86.33
20  San Diego State,86.09
College Basketball 2022-2023    Div I games only    through games,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR,
HOME ADVANTAGE,[
21  Xavier-Ohio,86.01
22  TCU,85.82
23  West Virginia,85.68
24  Michigan State,85.51
25  Kansas State,85.39
26  Texas A&M,85.37
27  Auburn,85.2
28  Maryland,84.97
29  Illinois,84.78
30  Virginia,84.64
College Basketball 2022-2023    Div I games only    through games,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR,
HOME ADVANTAGE,[
31  Penn State,84.54
32  Miami-Florida,84.51
33  Michigan,84.43
34  Iowa,84.43
35  Northwestern,84.41
36  North Carolina,84.22
37  Florida Atlantic,84.12
38  Iowa State,83.97
39  Cincinnati,83.78
40  Oregon,83.75
College Basketball 2022-2023    Div I games only    through games,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR,
HOME ADVANTAGE,[
41  Providence,83.74
42  Southern California,83.67
43  Texas Tech,83.57
44  Rutgers,83.54
45  Oklahoma State,83.37
46  Utah State,83.32
47  Ohio State,83.11
48  VCU(Va. Commonwealth),83.05
49  NC State,82.9
50  Villanova,82.86
College Basketball 2022-2023    Div I games only    through games,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR,
HOME ADVANTAGE,[
51  UAB,82.42
52  Pittsburgh,82.37
53  Wisconsin,82.31
54  Missouri,82.29
55  Mississippi State,82.21
56  Arizona State,82.04
57  Oklahoma,82.03
58  Clemson,81.87
59  Vanderbilt,81.7
60  Drake,81.61
College Basketball 2022-2023    Div I games only    through games,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR,
HOME ADVANTAGE,[
61  Seton Hall,81.53
62  Boise State,81.5
63  Central Florida(UCF),81.49
64  North Texas,81.16
65  Colorado,81.09
66  Dayton,80.86
67  BYU,80.85
68  Kent State,80.7
69  Stanford,80.61
70  Florida,80.6
College Basketball 2022-2023    Div I games only    through games,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR,
HOME ADVANTAGE,[
71  College of Charleston,80.56
72  St. John's,80.55
73  Virginia Tech,80.4
74  Washington State,80.28
75  Toledo,80.06
76  Yale,80.05
77  Oral Roberts,79.72
78  Wake Forest,79.72
79  Liberty,79.52
80  Utah,79.39
College Basketball 2022-2023    Div I games only    through games,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR,
HOME ADVANTAGE,[
81  Furman,79.15
82  Iona,79.1
83  Saint Louis,78.89
84  Hofstra,78.85
85  Bradley,78.84
86  Santa Clara,78.7
87  Utah Valley,78.55
88  Nebraska,78.36
89  Nevada,78.35
90  New Mexico,78.31
College Basketball 2022-2023    Div I games only    through games,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR,
HOME ADVANTAGE,[
91  Sam Houston State,78.24
