Team,SAG_rating
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
141  Austin Peay,74.05
142  UT Arlington,73.75
143  Louisiana Tech,73.68
144  Kent State,73.67
145  UNLV,73.63
146  Coastal Carolina,73.4
147  Bucknell,73.37
148  Marshall,73.36
149  Texas State,73.21
150  UAB,73.16
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
151  Saint Joseph's-Pa.,73.08
152  George Mason,73.04
153  Bradley,73.04
154  Wake Forest,73.01
155  UTSA,72.94
156  ULM,72.87
157  Miami-Ohio,72.67
158  North Texas,72.45
159  Pepperdine,72.34
160  Brown,72.3
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
161  New Mexico,72.29
162  Northern Iowa,72.15
163  Duquesne,71.94
164  Louisiana,71.92
165  Eastern Michigan,71.87
166  Illinois State,71.87
167  Lehigh,71.78
168  Abilene Christian,71.7
169  Stony Brook-NY,71.65
170  UC Santa Barbara,71.35
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
171  Green Bay,71.29
172  Colorado State,71.19
173  Samford,71.17
174  Gardner-Webb,71.17
175  Winthrop,71.13
176  Omaha(Neb.-Omaha),71.03
177  Missouri State,71.03
178  Princeton,70.86
179  Hawai'i,70.85
180  Oakland-Mich.,70.71
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
181  Florida Atlantic,70.68
182  Sam Houston State,70.64
183  Ohio,70.57
184  Indiana State,70.51
185  Pacific,70.37
186  Iona College,70.33
187  Fort Wayne(PFW),70.31
188  Hartford,70.24
189  Hampton,70.23
190  Richmond,70.21
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
191  North Dakota State,70.19
192  Northern Colorado,70.13
193  Charleston Southern,70.03
194  North Florida(UNF),69.97
195  Seattle,69.82
196  Valparaiso,69.82
197  Illinois-Chicago,69.76
198  Washington State,69.76
199  Santa Clara,69.69
200  Campbell,69.68
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
201  Rider,69.66
202  Mercer,69.56
203  CS Fullerton,69.53
204  Texas Southern,69.52
205  IUPUI,69.47
206  Weber State,69.36
207  William & Mary,69.3
208  UTRGV,69.27
209  NJIT(New Jersey Tech),69.24
210  Massachusetts,69.21
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
211  South Alabama,69.17
212  Fla. International,69.17
213  Presbyterian College,68.95
214  California,68.93
215  Long Beach State,68.86
216  Appalachian State,68.83
217  Evansville,68.65
218  American U.,68.6
219  South Dakota,68.58
