,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk
,,North Texas,,C-USA,0.213,26 - 7,16 - 4,12 - 2,14 - 5,0.80 @ UAB,-0.24 (H) Rice,,,0.026,114
,,Iowa,,Big Ten,0.211,19 - 13,11 - 9,14 - 3,5 - 10,0.90 @ Indiana,-0.86 (H) Eastern Illinois,,,0.146,27
,,North Carolina,,ACC,0.209,20 - 13,11 - 9,12 - 3,8 - 10,0.78 (H) Virginia,-0.07 @ Wake Forest,,,0.155,23
,,Illinois,,Big Ten,0.209,20 - 12,11 - 9,15 - 2,5 - 10,0.88 (N) UCLA,-0.11 @ Ohio State,,,0.127,37
,,Drake,,MVC,0.207,27 - 7,15 - 5,14 - 1,13 - 6,0.73 (N) Bradley,-0.21 @ Richmond,,,-0.005,144
,,New Mexico,,Mountain West,0.206,22 - 11,8 - 10,15 - 4,7 - 7,1.01 @ San Diego State,-0.43 (H) Wyoming,,,0.08,85
,,Rutgers,,Big Ten,0.202,19 - 14,10 - 10,14 - 5,5 - 9,1.00 @ Purdue,-0.37 @ Minnesota,,,0.126,43
,,Oklahoma State,,Big 12,0.201,18 - 15,8 - 10,11 - 5,7 - 10,0.77 @ Iowa State,-0.11 (N) UCF,,,0.199,5
,,Mississippi State,,SEC,0.2,21 - 12,8 - 10,12 - 4,9 - 8,0.84 @ Arkansas,-0.16 @ Georgia,,,0.126,41
,,Arizona State,,Pac-12,0.198,22 - 12,11 - 9,10 - 5,12 - 7,0.97 @ Arizona,-0.44 @ Texas Southern,,,0.111,59
,,Clemson,,ACC,0.198,23 - 10,14 - 6,15 - 1,8 - 9,0.86 @ North Carolina State,-0.61 @ Louisville,,,0.073,89
,,Wisconsin,,Big Ten,0.195,17 - 14,9 - 11,9 - 6,8 - 8,0.92 @ Marquette,-0.15 (N) Ohio State,,,0.158,20
,,Charleston,,CAA,0.194,31 - 3,16 - 2,17 - 1,14 - 2,0.67 (H) Kent State,-0.27 @ Drexel,,,-0.077,248
,,Pittsburgh,,ACC,0.192,22 - 11,14 - 6,14 - 3,8 - 8,0.81 @ North Carolina State,-0.49 (H) Florida State,,,0.086,80
,,Oklahoma,,Big 12,0.192,15 - 17,5 - 13,9 - 7,6 - 10,1.04 (H) Alabama,-0.14 (H) Texas Tech,,,0.212,3
,,Oregon,,Pac-12,0.185,19 - 14,12 - 8,13 - 5,6 - 9,0.90 (H) Arizona,-0.24 @ Stanford,,,0.126,44
,,Saint Louis,,Atlantic 10,0.182,21 - 12,12 - 6,15 - 3,6 - 9,0.79 (H) Memphis,-0.33 (H) SIU-Edwardsville,,,0.069,92
,,Michigan,,Big Ten,0.178,17 - 15,11 - 9,12 - 4,5 - 11,0.77 @ Northwestern,-0.75 (H) Central Michigan,,,0.158,21
