,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk
,,Buffalo,,MAC,-0.001,15 - 17,9 - 9,11 - 4,4 - 13,0.47 (N) George Mason,-0.60 @ Central Michigan,,,-0.02,159
,,Howard,,MEAC,-0.004,22 - 12,11 - 3,12 - 2,10 - 10,0.36 @ Norfolk State,-0.63 @ Hampton,,,-0.103,295
,,Long Beach State,,Big West,-0.004,17 - 16,11 - 9,9 - 5,8 - 11,0.58 (N) Vermont,-0.76 (N) Cal Poly,,,-0.036,185
,,South Florida,,AAC,-0.004,14 - 18,7 - 11,9 - 9,5 - 9,0.55 (H) Hofstra,-0.72 (H) Austin Peay,,,0.025,115
,,Portland,,WCC,-0.005,14 - 19,5 - 11,10 - 7,4 - 12,0.41 (H) San Francisco,-0.39 @ Pepperdine,,,0.023,117
,,Florida State,,ACC,-0.006,9 - 23,7 - 13,5 - 11,4 - 12,0.86 @ Miami (FL),-0.33 (N) Siena,,,0.12,47
,,Appalachian State,,Sun Belt,-0.006,16 - 16,9 - 9,10 - 7,6 - 9,0.54 @ Old Dominion,-0.47 @ Coastal Carolina,,,-0.046,198
,,Florida Gulf Coast,,ASUN,-0.008,17 - 15,7 - 11,8 - 5,9 - 10,0.79 @ USC,-0.69 (H) Central Arkansas,,,-0.024,162
,,North Alabama,,ASUN,-0.011,18 - 14,10 - 8,9 - 4,9 - 10,0.46 @ Eastern Kentucky,-0.77 @ Mississippi Valley State,,,-0.057,219
,,Harvard,,Ivy,-0.011,14 - 14,5 - 9,5 - 7,9 - 7,0.52 @ UC-Irvine,-0.58 (H) Dartmouth,,,-0.028,168
,,Bryant,,America East,-0.011,17 - 13,8 - 8,9 - 4,8 - 9,0.44 @ Syracuse,-0.41 @ Binghamton,,,-0.075,244
,,Florida International,,C-USA,-0.012,14 - 18,8 - 12,11 - 7,3 - 11,0.63 (H) UAB,-0.76 (H) Eastern Michigan,,,-0.001,139
,,Air Force,,Mountain West,-0.012,14 - 18,5 - 13,10 - 9,4 - 9,0.61 (H) New Mexico,-0.65 (H) Tex. A&M-Commerce,,,0.048,101
,,Georgia Southern,,Sun Belt,-0.012,17 - 16,9 - 9,12 - 4,5 - 12,0.57 (H) Marshall,-0.61 (H) Louisiana-Monroe,,,-0.05,207
,,Cleveland State,,Horizon,-0.014,21 - 13,14 - 6,13 - 3,8 - 10,0.37 (H) Youngstown State,-1.01 (H) Notre Dame (OH),,,-0.104,297
,,Delaware,,CAA,-0.014,17 - 16,8 - 10,10 - 5,7 - 11,0.59 @ Princeton,-0.61 @ Hampton,,,-0.057,217
,,Northwestern State,,Southland,-0.014,22 - 11,13 - 5,10 - 3,12 - 8,0.71 @ TCU,-0.71 (H) New Orleans,,,-0.116,315
,,California Baptist,,WAC,-0.014,17 - 16,7 - 10,12 - 5,5 - 11,0.47 (H) Grand Canyon,-0.66 @ Cal Poly,,,-0.043,192
,,Norfolk State,,MEAC,-0.016,22 - 11,9 - 5,10 - 2,12 - 9,0.28 @ MD-Eastern Shore,-0.69 (H) Coppin State,,,-0.116,312
,,Utah Tech,,WAC,-0.016,14 - 19,5 - 13,9 - 5,5 - 14,0.45 (H) Seattle,-0.46 @ North Dakota,,,0.002,137
,,North Carolina Central,,MEAC,-0.016,18 - 12,10 - 4,13 - 1,5 - 11,0.51 (H) UNC-Asheville,-0.39 @ Morgan State,,,-0.115,310
,,Northern Iowa,,MVC,-0.018,14 - 18,9 - 11,8 - 8,6 - 10,0.53 (H) Southern Illinois,-0.71 @ Evansville,,,-0.007,147
,,MD-Eastern Shore,,MEAC,-0.019,18 - 13,9 - 5,10 - 3,8 - 10,0.44 @ Temple,-0.51 (H) Morgan State,,,-0.09,271
,,Grambling,,SWAC,-0.019,24 - 9,15 - 3,11 - 1,13 - 8,0.73 @ Vanderbilt,-0.67 (N) Incarnate Word,,,-0.169,354
,,New Mexico State,,WAC,-0.021,9 - 15,2 - 10,6 - 4,3 - 11,0.58 @ Duquesne,-0.54 (H) Texas-Arlington,,,0.008,131
,,LaSalle,,Atlantic 10,-0.021,15 - 19,7 - 11,8 - 8,7 - 11,0.48 (N) Duquesne,-0.66 (H) Lafayette,,,0.016,123
,,Morehead State,,OVC,-0.022,21 - 11,14 - 4,14 - 2,7 - 9,0.28 @ Georgia Southern,-0.60 @ Arkansas-Little Rock,,,-0.138,335
,,Quinnipiac,,MAAC,-0.025,20 - 12,11 - 9,9 - 4,11 - 8,0.71 (H) Iona,-0.56 (H) Manhattan,,,-0.114,309
,,Jacksonville,,ASUN,-0.026,13 - 16,6 - 12,7 - 6,6 - 10,0.94 @ VCU,-0.38 (H) North Florida,,,-0.026,163
,,Samford,,SoCon,-0.027,21 - 11,15 - 3,13 - 3,8 - 8,0.44 @ UNC-Greensboro,-1.00 (H) Non D-I,,,-0.131,327
,,Bellarmine,,ASUN,-0.028,15 - 18,9 - 9,8 - 6,7 - 12,0.36 (H) Eastern Kentucky,-0.71 @ Evansville,,,0.004,136
,,Montana,,Big Sky,-0.029,17 - 14,10 - 7,9 - 4,8 - 10,0.40 (H) South Dakota State,-0.57 (N) Northern Arizona,,,-0.07,238
,,North Florida,,ASUN,-0.029,14 - 17,9 - 9,11 - 2,3 - 15,0.55 (H) Kennesaw State,-0.57 @ Austin Peay,,,-0.005,142
,,Texas State,,Sun Belt,-0.03,16 - 19,6 - 12,4 - 10,12 - 9,0.58 (N) Marshall,-1.02 (H) Mary Hardin-Baylor,,,-0.03,171
,,Oregon State,,Pac-12,-0.031,11 - 21,5 - 15,10 - 7,1 - 14,0.63 (H) USC,-0.64 (H) Portland State,,,0.06,93
,,Abilene Christian,,WAC,-0.032,13 - 17,5 - 11,9 - 5,4 - 12,0.52 @ Seattle,-0.37 (N) Wright State,,,-0.031,176
,,St. Thomas (MN),,Summit,-0.033,19 - 14,9 - 9,12 - 2,7 - 12,0.40 @ Milwaukee,-0.62 (H) South Dakota,,,-0.102,292
,,Weber State,,Big Sky,-0.033,18 - 15,12 - 6,8 - 4,10 - 11,0.93 @ Utah State,-0.75 (H) Idaho State,,,-0.082,256
,,Chattanooga,,SoCon,-0.04,18 - 17,7 - 11,9 - 7,9 - 10,0.55 @ Middle Tennessee,-0.65 (H) East Tennessee State,,,-0.087,266
,,Purdue-Fort Wayne,,Horizon,-0.041,17 - 15,9 - 11,9 - 6,8 - 9,0.48 @ Youngstown State,-0.49 (H) Robert Morris,,,-0.097,286
,,Longwood,,Big South,-0.041,20 - 12,12 - 6,12 - 3,8 - 9,0.24 (H) Radford,-0.74 (H) Charleston Southern,,,-0.126,322
,,Radford,,Big South,-0.042,19 - 14,12 - 6,10 - 3,9 - 11,0.24 (H) Longwood,-0.71 @ VMI,,,-0.082,254
,,TAMU-Corpus Christi,,Southland,-0.042,23 - 10,14 - 4,14 - 2,9 - 8,0.41 @ Northwestern State,-0.72 @ Lamar,,,-0.174,356
,,Texas-Rio Grande Valley,,WAC,-0.044,15 - 17,5 - 12,12 - 6,3 - 11,0.57 @ Grand Canyon,-0.53 (H) Texas-Arlington,,,-0.059,226
,,Wright State,,Horizon,-0.045,18 - 15,10 - 10,9 - 6,9 - 9,0.39 @ Milwaukee,-0.52 (H) Robert Morris,,,-0.112,304
,,Alcorn State,,SWAC,-0.046,18 - 13,15 - 3,7 - 2,11 - 11,0.45 @ Wichita State,-0.67 (H) Prairie View,,,-0.097,285
,,Texas-Arlington,,WAC,-0.046,11 - 21,6 - 12,6 - 8,5 - 13,0.58 (H) Sam Houston State,-0.73 @ California,,,0.012,125
,,Drexel,,CAA,-0.046,17 - 15,10 - 8,12 - 3,5 - 12,0.72 (H) Charleston,-0.71 @ Elon,,,-0.091,272
,,Pepperdine,,WCC,-0.05,9 - 22,2 - 14,8 - 8,1 - 14,0.42 (H) UC-Irvine,-0.52 (H) San Diego,,,0.049,100
,,North Dakota State,,Summit,-0.053,16 - 17,11 - 7,9 - 4,7 - 13,0.39 (N) South Dakota State,-0.67 (H) UMKC,,,-0.052,209
,,USC-Upstate,,Big South,-0.055,16 - 15,10 - 8,11 - 2,5 - 13,0.49 (H) UNC-Asheville,-0.57 @ Charleston Southern,,,-0.081,252
,,Wofford,,SoCon,-0.056,17 - 16,8 - 10,12 - 4,5 - 12,0.88 @ Texas A&M,-0.70 @ VMI,,,-0.097,283
,,Rider,,MAAC,-0.059,16 - 14,13 - 7,8 - 5,8 - 9,0.77 @ Iona,-0.62 (N) Central Arkansas,,,-0.099,289
,,Georgetown,,Big East,-0.059,7 - 25,2 - 18,5 - 12,2 - 13,0.36 @ Butler,-0.43 (H) American,,,0.106,63
,,Rhode Island,,Atlantic 10,-0.059,9 - 22,5 - 13,7 - 9,2 - 13,0.55 (H) Fordham,-0.53 @ Georgia State,,,0.036,109
,,Pacific,,WCC,-0.06,15 - 18,7 - 9,7 - 10,8 - 8,0.75 @ Santa Clara,-1.02 (H) Cal St. East Bay,,,-0.019,157
,,Western Carolina,,SoCon,-0.06,18 - 15,10 - 8,9 - 5,9 - 10,0.52 (H) Furman,-0.75 (H) The Citadel,,,-0.114,307
,,San Diego,,WCC,-0.062,11 - 20,4 - 12,8 - 9,3 - 11,0.53 @ San Francisco,-0.72 @ Cal State-Northridge,,,0.011,126
,,Gardner-Webb,,Big South,-0.063,15 - 16,10 - 8,8 - 5,7 - 11,0.33 @ Radford,-0.44 (H) Winthrop,,,-0.086,263
,,Winthrop,,Big South,-0.064,15 - 17,10 - 8,10 - 4,5 - 13,0.49 (H) UNC-Asheville,-0.61 (H) Coastal Carolina,,,-0.078,249
,,Detroit,,Horizon,-0.065,14 - 19,9 - 11,9 - 5,5 - 14,0.39 (H) Charlotte,-0.59 @ Eastern Michigan,,,-0.05,206
,,UMBC,,America East,-0.065,18 - 14,8 - 8,13 - 4,5 - 10,0.34 @ Bryant,-0.65 @ Albany,,,-0.115,311
,,New Hampshire,,America East,-0.065,15 - 15,9 - 7,11 - 4,4 - 11,0.53 (H) Vermont,-0.65 @ Columbia,,,-0.097,284
,,Oakland,,Horizon,-0.066,13 - 19,11 - 9,8 - 6,5 - 13,0.45 @ Northern Kentucky,-0.67 (H) Bowling Green,,,-0.045,194
,,Loyola (Chicago),,Atlantic 10,-0.067,10 - 21,4 - 14,6 - 8,4 - 13,0.62 (N) Clemson,-0.76 (N) Tulsa,,,0.028,112
,,Navy,,Patriot,-0.067,18 - 13,11 - 7,9 - 6,9 - 7,0.48 @ Towson,-0.80 (H) Holy Cross,,,-0.116,314
,,Jacksonville State,,ASUN,-0.068,13 - 18,6 - 12,9 - 5,4 - 13,0.30 @ North Alabama,-0.50 (N) Northern Colorado,,,-0.041,190
,,SE Missouri State,,OVC,-0.07,19 - 16,10 - 8,9 - 4,10 - 12,0.36 @ Morehead State,-0.59 @ Lindenwood (MO),,,-0.116,313
,,Siena,,MAAC,-0.07,17 - 15,11 - 9,8 - 5,9 - 10,0.69 (H) Iona,-0.56 (H) Manhattan,,,-0.099,288
,,Texas-San Antonio,,C-USA,-0.07,10 - 22,4 - 16,8 - 10,2 - 12,0.43 (H) Middle Tennessee,-0.57 (H) Dartmouth,,,0.008,130
,,Southeastern Louisiana,,Southland,-0.071,18 - 14,12 - 6,10 - 4,8 - 10,0.35 @ TAMU-Corpus Christi,-0.65 (N) New Orleans,,,-0.143,345
,,SIU-Edwardsville,,OVC,-0.076,19 - 14,9 - 9,9 - 5,10 - 9,0.67 @ Saint Louis,-0.86 (H) Eastern Illinois,,,-0.143,342
,,Campbell,,Big South,-0.078,16 - 18,8 - 10,8 - 6,8 - 12,0.62 (N) Kennesaw State,-0.81 @ Presbyterian,,,-0.094,277
,,Western Illinois,,Summit,-0.085,16 - 14,9 - 9,11 - 4,5 - 10,0.35 (H) South Dakota State,-0.70 (H) UMKC,,,-0.121,318
,,Niagara,,MAAC,-0.086,16 - 15,10 - 10,9 - 4,7 - 11,0.38 @ Quinnipiac,-0.67 @ NJIT,,,-0.106,298
,,Maine,,America East,-0.086,13 - 17,7 - 9,8 - 4,5 - 13,0.42 (H) UMass Lowell,-0.79 (H) NJIT,,,-0.067,234
,,Louisiana-Monroe,,Sun Belt,-0.088,11 - 21,7 - 11,7 - 8,4 - 13,0.68 @ Marshall,-0.61 (H) Arkansas State,,,-0.026,165
,,Illinois-Chicago,,MVC,-0.09,12 - 20,4 - 16,7 - 8,5 - 12,0.10 (H) Jacksonville State,-0.57 (H) Loyola (Chicago),,,-0.034,181
,,Robert Morris,,Horizon,-0.09,16 - 17,10 - 10,11 - 4,5 - 13,0.40 (H) Youngstown State,-0.80 @ IUPUI,,,-0.113,306
,,Valparaiso,,MVC,-0.091,11 - 21,5 - 15,8 - 7,3 - 14,0.42 (N) James Madison,-0.59 @ Chicago State,,,-0.03,172
,,Lehigh,,Patriot,-0.091,16 - 14,11 - 7,9 - 6,7 - 8,0.32 @ Navy,-0.68 (H) Loyola (MD),,,-0.139,337
,,Dartmouth,,Ivy,-0.093,10 - 18,6 - 8,7 - 5,3 - 13,0.61 @ Yale,-0.68 (N) Incarnate Word,,,-0.044,193
,,Louisville,,ACC,-0.093,4 - 28,2 - 18,4 - 13,0 - 15,0.58 (H) Clemson,-0.48 (H) Florida State,,,0.127,39
,,Morgan State,,MEAC,-0.095,15 - 16,7 - 7,10 - 2,5 - 14,0.55 (N) Utah Valley,-0.72 @ Delaware State,,,-0.107,299
,,Mercer,,SoCon,-0.095,14 - 19,6 - 12,7 - 7,7 - 12,0.44 @ Troy,-0.51 @ Georgia State,,,-0.093,276
,,Tennessee-Martin,,OVC,-0.098,19 - 14,10 - 8,14 - 2,5 - 12,0.28 (H) Morehead State,-0.68 @ Eastern Illinois,,,-0.172,355
,,Illinois State,,MVC,-0.099,11 - 21,6 - 14,8 - 7,3 - 14,0.51 (H) Southern Illinois,-0.65 (H) Valparaiso,,,-0.029,170
,,Binghamton,,America East,-0.103,13 - 18,8 - 8,8 - 7,5 - 11,0.41 (H) UMass Lowell,-0.69 (H) Loyola (MD),,,-0.087,267
,,UC-San Diego,,Big West,-0.104,10 - 20,5 - 13,4 - 10,6 - 10,0.52 @ UC-Irvine,-0.67 (H) Cal State-Bakersfield,,,-0.035,184
,,Sacramento State,,Big Sky,-0.104,14 - 18,7 - 11,9 - 4,5 - 14,0.26 (H) Montana,-0.84 (H) Idaho,,,-0.083,260
,,William & Mary,,CAA,-0.105,13 - 20,7 - 11,11 - 5,2 - 15,0.56 @ UNC-Wilmington,-0.70 @ Elon,,,-0.074,242
,,Georgia State,,Sun Belt,-0.106,10 - 21,3 - 15,10 - 9,0 - 12,0.49 (H) UNC-Asheville,-0.53 @ Northeastern,,,-0.047,199
,,High Point,,Big South,-0.106,14 - 17,6 - 12,10 - 5,4 - 12,0.61 @ Furman,-0.64 @ Charleston Southern,,,-0.114,308
,,Arkansas State,,Sun Belt,-0.108,13 - 20,4 - 14,10 - 8,3 - 12,0.51 @ Old Dominion,-0.68 (H) Prairie View,,,-0.09,270
,,Coastal Carolina,,Sun Belt,-0.109,11 - 20,5 - 13,8 - 8,3 - 12,0.58 (H) Louisiana,-0.70 (H) Chicago State,,,-0.045,195
,,Nicholls State,,Southland,-0.11,16 - 15,11 - 7,11 - 3,5 - 12,0.33 (H) Northwestern State,-0.72 @ Lamar,,,-0.141,339
,,Tennessee Tech,,OVC,-0.111,16 - 17,11 - 7,11 - 5,5 - 12,0.29 (H) Morehead State,-0.74 (H) Arkansas-Little Rock,,,-0.131,326
,,Southern Ind.,,OVC,-0.112,16 - 16,9 - 9,10 - 4,6 - 12,0.54 (H) Southern Illinois,-0.70 @ Eastern Illinois,,,-0.143,344
,,Merrimack,,NEC,-0.113,18 - 16,12 - 4,10 - 6,8 - 10,0.13 @ Wagner,-0.58 (H) Sacred Heart,,,-0.182,358
,,Fairfield,,MAAC,-0.114,13 - 18,9 - 11,7 - 6,6 - 12,0.41 (N) Towson,-0.56 (H) Manhattan,,,-0.093,274
,,Tennessee State,,OVC,-0.117,18 - 14,10 - 8,13 - 4,5 - 10,0.30 (H) Lipscomb,-0.71 (H) Charleston Southern,,,-0.191,361
,,Cal State-Bakersfield,,Big West,-0.122,11 - 22,6 - 14,6 - 8,5 - 14,0.39 (H) UC-Riverside,-0.73 @ Cal State-Northridge,,,-0.058,222
,,Northern Illinois,,MAC,-0.122,13 - 19,9 - 9,5 - 7,8 - 12,0.69 (H) Kent State,-1.01 (H) Ill. Springfield,,,-0.066,232
,,North Dakota,,Summit,-0.122,13 - 20,6 - 12,8 - 8,5 - 12,0.39 (H) Cal State-Fullerton,-0.72 @ Idaho,,,-0.081,251
,,Boston U.,,Patriot,-0.122,15 - 17,8 - 10,9 - 4,6 - 13,0.20 @ New Hampshire,-0.80 (H) Holy Cross,,,-0.126,321
,,South Dakota,,Summit,-0.123,12 - 19,7 - 11,8 - 6,4 - 13,0.41 (N) BYU,-0.60 (H) Coastal Carolina,,,-0.083,258
,,North Carolina A&T,,CAA,-0.124,13 - 19,8 - 10,8 - 5,5 - 14,0.66 @ Hofstra,-0.78 (H) Monmouth,,,-0.082,253
,,East Tennessee State,,SoCon,-0.124,12 - 20,8 - 10,7 - 9,5 - 11,0.35 (H) UNC-Greensboro,-0.53 (H) Mercer,,,-0.101,290
,,Tulsa,,AAC,-0.125,5 - 25,1 - 17,4 - 10,1 - 15,0.48 (H) Tulane,-0.46 (H) Detroit,,,0.06,94
,,California,,Pac-12,-0.128,3 - 29,2 - 18,3 - 14,0 - 15,0.41 (H) Colorado,-0.55 (H) Oregon State,,,0.117,53
,,Portland State,,Big Sky,-0.129,12 - 19,6 - 11,6 - 7,6 - 12,0.27 @ California Baptist,-0.69 @ Cal Poly,,,-0.076,247
,,Army,,Patriot,-0.129,17 - 16,10 - 8,10 - 5,7 - 11,0.24 @ Siena,-0.70 (H) Bucknell,,,-0.167,353
,,Northern Arizona,,Big Sky,-0.13,12 - 23,5 - 13,6 - 8,6 - 15,0.52 (H) UC-Santa Barbara,-0.85 (H) Idaho,,,-0.052,210
,,Mount St. Mary's,,MAAC,-0.131,13 - 20,8 - 12,5 - 9,8 - 11,0.38 @ Quinnipiac,-0.57 (H) Manhattan,,,-0.087,264
,,Northern Colorado,,Big Sky,-0.132,12 - 20,6 - 12,6 - 7,6 - 13,0.38 @ Colorado State,-0.99 (H) Colo. Christian,,,-0.054,213
,,Canisius,,MAAC,-0.133,10 - 20,8 - 12,7 - 7,3 - 13,0.31 (H) Quinnipiac,-0.58 (H) Marist,,,-0.068,235
,,American,,Patriot,-0.134,17 - 15,7 - 11,8 - 6,9 - 9,0.46 (H) Colgate,-0.79 (H) Holy Cross,,,-0.147,347
,,Central Arkansas,,ASUN,-0.134,9 - 22,4 - 14,6 - 8,3 - 14,0.33 @ Florida Gulf Coast,-0.63 @ Austin Peay,,,-0.027,166
,,Northeastern,,CAA,-0.135,10 - 20,6 - 12,6 - 6,4 - 14,0.42 @ Davidson,-0.82 (H) Elon,,,-0.04,188
,,Austin Peay,,ASUN,-0.136,9 - 22,3 - 15,7 - 8,2 - 14,0.25 (H) Florida Gulf Coast,-0.67 (N) Bucknell,,,-0.034,182
,,St. Peter's,,MAAC,-0.138,14 - 18,7 - 13,8 - 6,6 - 12,0.30 (H) Quinnipiac,-0.59 (H) Canisius,,,-0.121,319
,,Chicago State,,Independent,-0.141,11 - 20,0 - 0,8 - 0,3 - 20,0.11 (H) Southern Ind.,-0.73 @ Delaware State,,,-0.059,225
,,Nebraska-Omaha,,Summit,-0.141,9 - 23,4 - 14,5 - 7,4 - 16,0.19 @ Western Illinois,-0.72 (H) UMKC,,,-0.022,160
,,Denver,,Summit,-0.142,15 - 17,6 - 12,9 - 5,6 - 12,0.15 (H) Western Illinois,-0.56 @ UMKC,,,-0.138,334
,,Marist,,MAAC,-0.143,13 - 20,6 - 14,5 - 10,8 - 10,0.33 (N) Quinnipiac,-0.58 (H) Manhattan,,,-0.109,301
,,Coppin State,,MEAC,-0.143,9 - 23,4 - 10,4 - 6,5 - 17,0.40 (H) James Madison,-0.89 (H) Delaware State,,,-0.006,145
,,Jackson State,,SWAC,-0.146,14 - 19,12 - 6,7 - 2,7 - 17,0.28 @ Alcorn State,-0.92 (H) Mississippi Valley State,,,-0.083,259
,,Miami (OH),,MAC,-0.146,12 - 20,6 - 12,9 - 9,3 - 11,0.31 (H) Ohio,-0.84 (H) Evansville,,,-0.097,282
,,Texas Southern,,SWAC,-0.147,14 - 20,7 - 11,7 - 6,7 - 14,0.56 (H) Arizona State,-0.93 (H) Florida A&M,,,-0.099,287
,,Lafayette,,Patriot,-0.147,11 - 23,7 - 11,5 - 7,6 - 16,0.33 @ Navy,-0.83 (H) Columbia,,,-0.058,223
,,Stony Brook,,CAA,-0.154,11 - 22,6 - 12,7 - 7,4 - 15,0.16 (H) Drexel,-0.88 (H) Elon,,,-0.063,229
,,Charleston Southern,,Big South,-0.154,10 - 21,5 - 13,6 - 8,4 - 13,0.34 @ Longwood,-0.72 (H) The Citadel,,,-0.087,265
,,Stonehill,,NEC,-0.158,14 - 17,10 - 6,7 - 4,7 - 13,0.16 @ Army,-0.85 @ Hartford,,,-0.139,338
,,Fairleigh Dickinson,,NEC,-0.159,19 - 15,10 - 6,10 - 5,9 - 10,0.30 @ Saint Joseph's,-0.82 @ Hartford,,,-0.21,363
,,Bowling Green,,MAC,-0.16,11 - 20,5 - 13,7 - 9,4 - 11,0.29 (H) Ohio,-0.75 (H) Central Michigan,,,-0.088,268
,,Columbia,,Ivy,-0.162,7 - 22,2 - 12,6 - 9,1 - 13,0.49 (H) Yale,-0.49 (H) Fairleigh Dickinson,,,-0.054,214
,,Southern U.,,SWAC,-0.163,15 - 17,11 - 7,9 - 2,6 - 15,0.31 (H) Grambling,-0.73 @ Alabama State,,,-0.127,323
,,Manhattan,,MAAC,-0.166,12 - 18,10 - 10,5 - 9,7 - 9,0.38 @ Quinnipiac,-0.82 (H) Central Connecticut,,,-0.111,303
,,Wagner,,NEC,-0.166,15 - 13,8 - 8,8 - 4,7 - 9,0.43 @ Temple,-0.71 (H) St. Francis (PA),,,-0.202,362
,,Cal Poly,,Big West,-0.168,8 - 25,1 - 18,6 - 11,2 - 14,0.27 (N) Long Beach State,-0.74 @ Cal State-Northridge,,,-0.05,205
,,UMKC,,Summit,-0.17,11 - 21,7 - 11,6 - 8,5 - 13,0.62 (N) Toledo,-1.00 (H) Lincoln (MO),,,-0.076,245
,,Idaho State,,Big Sky,-0.173,11 - 21,8 - 10,7 - 7,4 - 14,0.36 (H) Eastern Washington,-0.70 (N) Bethune-Cookman,,,-0.103,294
,,Prairie View,,SWAC,-0.173,13 - 19,9 - 9,9 - 3,4 - 16,0.42 (H) Washington State,-0.77 (H) Bethune-Cookman,,,-0.117,316
,,Alabama A&M,,SWAC,-0.175,15 - 18,10 - 8,9 - 8,6 - 10,0.30 (H) Lipscomb,-0.93 (H) Florida A&M,,,-0.179,357
,,Loyola (MD),,Patriot,-0.178,13 - 20,7 - 11,9 - 6,4 - 14,0.26 (H) Brown,-0.67 (H) Coppin State,,,-0.133,329
,,Eastern Michigan,,MAC,-0.182,8 - 23,5 - 13,6 - 7,2 - 16,0.30 (H) Ohio,-0.73 (H) Bowling Green,,,-0.037,186
,,Monmouth,,CAA,-0.183,7 - 26,5 - 13,3 - 10,4 - 16,0.22 (H) Delaware,-0.84 (H) Elon,,,-0.006,146
,,Albany,,America East,-0.185,8 - 23,3 - 13,5 - 6,3 - 17,0.46 (H) UMass Lowell,-0.69 (N) Austin Peay,,,-0.063,230
,,Central Michigan,,MAC,-0.185,10 - 21,5 - 13,6 - 8,4 - 13,0.57 @ Michigan,-0.73 @ Western Michigan,,,-0.081,250
,,Evansville,,MVC,-0.188,5 - 27,1 - 19,3 - 10,2 - 17,0.18 (H) Bellarmine,-0.61 (H) Valparaiso,,,0.009,129
,,Tex. A&M-Commerce,,Southland,-0.19,13 - 20,9 - 9,5 - 6,8 - 14,0.46 @ Hawaii,-0.90 (N) IUPUI,,,-0.122,320
,,The Citadel,,SoCon,-0.19,10 - 22,5 - 13,5 - 9,5 - 13,0.50 (H) Furman,-0.88 (H) VMI,,,-0.086,262
,,Sacred Heart,,NEC,-0.191,16 - 17,8 - 8,9 - 6,7 - 11,0.19 @ New Hampshire,-0.98 (H) Long Island,,,-0.19,360
,,St. Francis (PA),,NEC,-0.193,13 - 18,9 - 7,10 - 5,3 - 13,0.13 @ Wagner,-0.67 @ Central Connecticut,,,-0.184,359
,,McNeese State,,Southland,-0.197,11 - 23,6 - 12,6 - 8,5 - 15,0.33 (H) Northwestern State,-0.89 (H) Lamar,,,-0.076,246
,,Lindenwood (MO),,OVC,-0.198,11 - 21,6 - 12,9 - 4,2 - 17,0.18 (H) SE Missouri State,-0.79 (N) Lamar,,,-0.131,325
,,Bucknell,,Patriot,-0.198,12 - 20,5 - 13,7 - 7,5 - 13,0.18 @ American,-0.78 (H) Holy Cross,,,-0.139,336
,,St. Francis (NY),,NEC,-0.199,14 - 16,7 - 9,10 - 5,4 - 11,0.13 @ Wagner,-0.72 (H) St. Francis (PA),,,-0.219,364
,,New Orleans,,Southland,-0.2,12 - 20,7 - 11,6 - 9,6 - 11,0.41 @ Northwestern State,-0.76 (H) Incarnate Word,,,-0.143,343
,,Western Michigan,,MAC,-0.202,8 - 23,4 - 14,7 - 7,1 - 16,0.30 (H) Ball State,-0.69 (H) Miami (OH),,,-0.07,237
,,Hampton,,CAA,-0.207,8 - 24,5 - 13,7 - 6,1 - 18,0.27 (H) Howard,-0.76 (N) Monmouth,,,-0.058,221
,,South Carolina State,,MEAC,-0.207,5 - 26,2 - 12,4 - 6,1 - 20,0.29 @ East Carolina,-0.87 (H) Delaware State,,,-0.015,154
,,Incarnate Word,,Southland,-0.215,12 - 19,6 - 12,7 - 7,5 - 12,0.32 (N) Grambling,-0.90 (H) Lamar,,,-0.162,351
,,Elon,,CAA,-0.216,8 - 24,6 - 12,5 - 9,3 - 15,0.17 (H) Drexel,-0.80 @ Presbyterian,,,-0.069,236
,,Bethune-Cookman,,SWAC,-0.217,12 - 20,8 - 10,8 - 5,4 - 15,0.08 (H) Southern U.,-0.87 (H) Arkansas-Pine Bluff,,,-0.154,349
,,Arkansas-Little Rock,,OVC,-0.218,10 - 21,6 - 12,8 - 5,2 - 16,0.27 (H) Morehead State,-0.75 (H) Lindenwood (MO),,,-0.108,300
,,NJIT,,America East,-0.218,7 - 23,4 - 12,5 - 8,2 - 15,0.18 (H) UMBC,-0.74 (H) Bucknell,,,-0.082,255
,,Holy Cross,,Patriot,-0.222,10 - 22,7 - 11,6 - 9,4 - 13,0.33 @ Navy,-0.64 (H) Lafayette,,,-0.141,340
,,Cal State-Northridge,,Big West,-0.228,7 - 25,4 - 16,7 - 8,0 - 17,0.51 (H) UC-Santa Barbara,-0.85 (H) Idaho,,,-0.066,233
,,Arkansas-Pine Bluff,,SWAC,-0.233,10 - 21,6 - 12,8 - 5,2 - 16,0.08 (H) Southern U.,-0.87 (H) Alabama State,,,-0.127,324
,,VMI,,SoCon,-0.237,7 - 25,2 - 16,6 - 8,1 - 17,0.25 (H) Navy,-0.83 @ Presbyterian,,,-0.103,293
,,Eastern Illinois,,OVC,-0.238,9 - 22,5 - 13,6 - 9,3 - 13,0.64 @ Iowa,-0.82 (N) Alabama State,,,-0.133,330
,,Delaware State,,MEAC,-0.247,6 - 24,4 - 10,4 - 8,2 - 16,0.09 (H) Morgan State,-1.02 (H) Georgian Court,,,-0.065,231
,,Central Connecticut,,NEC,-0.248,10 - 22,7 - 9,6 - 7,4 - 15,0.14 @ Fairleigh Dickinson,-0.63 @ Holy Cross,,,-0.151,348
