,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk
,,Gonzaga,,WCC,0.447,26 - 0,15 - 0,12 - 0,14 - 0,0.91 @ BYU,0.05 (H) Northern Arizona,,,0.081,80
,,Baylor,,Big 12,0.362,22 - 2,13 - 1,11 - 0,11 - 2,0.87 @ Oklahoma State,-0.02 @ Kansas,,,0.085,77
,,Michigan,,Big Ten,0.348,20 - 4,14 - 3,13 - 1,7 - 3,0.80 @ Ohio State,-0.16 @ Minnesota,,,0.138,19
,,Alabama,,SEC,0.348,24 - 6,16 - 2,12 - 1,12 - 5,0.84 (H) Arkansas,-0.16 (N) Stanford,,,0.152,11
,,Illinois,,Big Ten,0.329,23 - 6,16 - 4,11 - 2,12 - 4,0.99 @ Michigan,-0.12 (H) Maryland,,,0.148,13
,,Oklahoma State,,Big 12,0.307,20 - 8,11 - 7,10 - 3,10 - 5,0.83 (N) Baylor,-0.24 (H) TCU,,,0.171,5
,,San Diego State,,Mountain West,0.303,23 - 4,14 - 3,13 - 2,10 - 2,0.71 (N) St. Mary's (CA),-0.03 (H) Colorado State,,,0.055,93
,,Texas,,Big 12,0.298,19 - 7,11 - 6,8 - 5,11 - 2,0.82 @ Kansas,-0.08 (H) Oklahoma,,,0.145,14
,,Houston,,AAC,0.295,24 - 3,14 - 3,15 - 0,9 - 3,0.69 (H) Western Kentucky,-0.32 @ East Carolina,,,0.032,114
,,Ohio State,,Big Ten,0.294,21 - 9,12 - 8,10 - 4,11 - 5,0.87 @ Illinois,-0.29 @ Northwestern,,,0.16,9
,,West Virginia,,Big 12,0.291,18 - 9,11 - 6,8 - 5,10 - 4,0.82 @ Oklahoma State,-0.08 (H) Oklahoma,,,0.176,4
,,BYU,,WCC,0.289,20 - 6,10 - 3,10 - 2,10 - 4,0.93 @ San Diego State,-0.13 @ Pepperdine,,,0.108,51
,,Arkansas,,SEC,0.288,22 - 6,13 - 4,16 - 1,6 - 5,0.82 (H) Alabama,-0.04 (H) Missouri,,,0.105,54
,,USC,,Pac-12,0.286,22 - 7,15 - 5,13 - 2,9 - 5,0.86 (N) BYU,-0.17 @ Utah,,,0.112,46
,,Missouri,,SEC,0.276,16 - 9,8 - 8,8 - 4,8 - 5,0.89 @ Arkansas,-0.15 @ Mississippi State,,,0.162,8
,,Clemson,,ACC,0.268,16 - 7,10 - 6,11 - 1,5 - 6,0.81 (N) Alabama,-0.35 (N) Miami (FL),,,0.123,34
,,St. Bonaventure,,Atlantic 10,0.256,16 - 4,11 - 4,8 - 1,8 - 3,0.73 (H) VCU,-0.28 @ Rhode Island,,,0.052,97
,,LSU,,SEC,0.256,18 - 9,11 - 6,11 - 2,7 - 7,0.79 (H) Arkansas,-0.23 @ Kentucky,,,0.14,18
,,Virginia,,ACC,0.251,18 - 6,13 - 4,10 - 1,8 - 5,0.87 @ Clemson,-0.24 (N) San Francisco,,,0.094,63
,,Florida State,,ACC,0.245,16 - 6,11 - 4,12 - 1,4 - 5,0.75 (H) Virginia,-0.23 @ Notre Dame,,,0.092,68
,,Colorado,,Pac-12,0.245,22 - 8,15 - 5,11 - 1,11 - 7,0.86 @ USC,-0.50 @ Washington,,,0.1,57
,,Villanova,,Big East,0.244,16 - 6,11 - 4,9 - 0,7 - 6,0.82 @ Texas,-0.27 @ Butler,,,0.11,48
,,VCU,,Atlantic 10,0.242,19 - 7,11 - 4,12 - 2,7 - 5,0.75 (H) St. Bonaventure,-0.37 (H) Rhode Island,,,0.076,84
,,Kansas,,Big 12,0.241,20 - 8,12 - 6,13 - 1,7 - 7,0.84 (H) Baylor,-0.06 @ Oklahoma,,,0.132,27
,,Oregon,,Pac-12,0.238,20 - 6,14 - 4,11 - 2,9 - 4,0.66 (H) Colorado,-0.18 (H) Washington State,,,0.088,75
,,Iowa,,Big Ten,0.236,21 - 8,14 - 6,14 - 2,7 - 6,0.85 @ Ohio State,-0.23 (H) Indiana,,,0.109,50
,,Tennessee,,SEC,0.229,18 - 8,10 - 7,13 - 3,5 - 5,0.79 @ Missouri,-0.30 (H) Kentucky,,,0.112,45
,,Purdue,,Big Ten,0.222,18 - 9,13 - 6,11 - 1,7 - 8,0.79 @ Ohio State,-0.31 @ Miami (FL),,,0.144,15
,,Loyola (Chicago),,MVC,0.213,24 - 4,16 - 2,13 - 0,11 - 4,0.86 @ Drake,-0.11 @ Indiana State,,,-0.044,199
,,Georgia Tech,,ACC,0.208,17 - 8,11 - 6,10 - 3,7 - 5,0.72 @ Virginia Tech,-0.13 (H) Mercer,,,0.105,55
,,Creighton,,Big East,0.206,20 - 8,14 - 6,11 - 3,9 - 5,0.68 (H) Villanova,-0.25 @ Butler,,,0.082,78
,,St. Mary's (CA),,WCC,0.203,14 - 9,4 - 6,9 - 3,5 - 6,0.69 (H) Colorado State,-0.14 (H) Santa Clara,,,0.128,32
,,Wichita State,,AAC,0.197,16 - 5,11 - 2,10 - 2,6 - 3,0.79 (H) Houston,-0.15 (N) Cincinnati,,,0.045,104
,,North Carolina,,ACC,0.195,18 - 10,10 - 6,10 - 1,8 - 9,0.65 (H) Florida State,-0.24 (H) Marquette,,,0.121,36
,,Texas Tech,,Big 12,0.194,17 - 10,9 - 8,11 - 4,6 - 6,0.81 @ Texas,-0.02 (H) Kansas,,,0.122,35
