,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk
,,Western Kentucky,,C-USA,0.194,20 - 7,11 - 3,11 - 2,9 - 5,0.88 @ Alabama,-0.40 @ Charlotte,,,0.024,118
,,Louisville,,ACC,0.192,13 - 7,8 - 5,9 - 2,4 - 5,0.68 (H) Western Kentucky,-0.31 @ Miami (FL),,,0.113,44
,,Colorado State,,Mountain West,0.19,18 - 6,15 - 4,10 - 1,8 - 5,0.90 @ San Diego State,-0.08 @ Nevada,,,0.024,119
,,Arizona,,Pac-12,0.186,17 - 9,10 - 9,12 - 4,5 - 5,0.85 @ USC,-0.18 @ Utah,,,0.09,74
,,Utah State,,Mountain West,0.186,20 - 8,15 - 4,11 - 2,9 - 6,0.83 (H) San Diego State,-0.28 @ UNLV,,,0.037,109
,,Connecticut,,Big East,0.185,15 - 7,11 - 6,7 - 3,8 - 4,0.73 (N) USC,-0.17 @ Providence,,,0.095,61
,,Oklahoma,,Big 12,0.184,15 - 10,9 - 8,10 - 3,5 - 7,0.81 @ Texas,-0.37 @ Kansas State,,,0.131,28
,,Boise State,,Mountain West,0.184,18 - 8,14 - 6,11 - 1,7 - 7,0.88 @ BYU,-0.28 (H) Fresno State,,,0.044,105
,,Florida,,SEC,0.179,14 - 9,9 - 7,6 - 3,8 - 6,0.78 @ West Virginia,-0.45 (H) South Carolina,,,0.141,17
,,UCLA,,Pac-12,0.178,17 - 9,13 - 6,11 - 1,6 - 8,0.66 (H) Colorado,-0.15 (N) Stanford,,,0.117,40
,,Colgate,,Patriot,0.178,14 - 1,12 - 1,8 - 1,6 - 0,0.42 @ Army,-0.18 (H) Army,,,-0.064,230
,,Syracuse,,ACC,0.178,16 - 9,9 - 7,13 - 1,3 - 8,0.68 (H) Clemson,-0.30 (H) Pittsburgh,,,0.09,72
,,Louisiana Tech,,C-USA,0.177,21 - 7,12 - 4,15 - 1,6 - 6,0.73 @ Western Kentucky,-0.23 @ UTEP,,,-0.006,154
,,UNC-Greensboro,,SoCon,0.176,21 - 8,13 - 5,7 - 3,14 - 5,0.59 @ Chattanooga,-0.40 (H) Western Carolina,,,0.04,107
,,Virginia Tech,,ACC,0.176,15 - 6,9 - 4,10 - 2,5 - 4,0.73 (H) Virginia,-0.24 @ Pittsburgh,,,0.055,94
,,Maryland,,Big Ten,0.176,16 - 13,9 - 11,11 - 6,5 - 7,0.86 @ Illinois,-0.29 @ Northwestern,,,0.135,23
,,Rutgers,,Big Ten,0.173,15 - 11,10 - 10,10 - 4,5 - 7,0.76 (H) Illinois,-0.47 @ Nebraska,,,0.151,12
,,Memphis,,AAC,0.172,16 - 8,11 - 4,10 - 1,6 - 7,0.69 (H) Wichita State,-0.30 (H) Tulsa,,,0.057,92
,,UC-Santa Barbara,,Big West,0.17,22 - 4,16 - 3,11 - 0,11 - 4,0.50 (H) Loyola Marymount,-0.10 @ UC-Riverside,,,-0.049,211
,,Georgetown,,Big East,0.163,13 - 12,7 - 9,7 - 6,6 - 6,0.69 @ Creighton,-0.26 @ Butler,,,0.137,20
,,Drake,,MVC,0.163,25 - 4,15 - 3,14 - 1,11 - 3,0.71 (H) Loyola (Chicago),-0.44 @ Valparaiso,,,-0.078,257
,,North Texas,,C-USA,0.161,17 - 9,9 - 5,8 - 3,9 - 6,0.67 @ Marshall,-0.19 @ Texas-San Antonio,,,0.032,113
,,Ohio,,MAC,0.159,16 - 7,9 - 5,8 - 3,8 - 4,0.66 (H) Cleveland State,-0.21 (H) Bowling Green,,,-0.007,159
,,Georgia State,,Sun Belt,0.157,16 - 6,8 - 4,9 - 1,7 - 5,0.67 @ Georgia Tech,-0.19 (H) South Alabama,,,-0.004,148
,,Marshall,,C-USA,0.156,15 - 7,9 - 5,9 - 3,6 - 4,0.74 @ Louisiana Tech,-0.22 (N) Rice,,,0.013,129
,,Xavier,,Big East,0.156,13 - 8,6 - 7,11 - 2,2 - 6,0.59 (H) Creighton,-0.30 (N) Butler,,,0.078,82
,,Wisconsin,,Big Ten,0.155,17 - 12,10 - 10,11 - 5,6 - 7,0.76 (H) Loyola (Chicago),-0.17 @ Marquette,,,0.129,31
,,SMU,,AAC,0.153,11 - 5,7 - 4,6 - 2,5 - 3,0.54 (H) Memphis,-0.16 (H) Cincinnati,,,0.049,99
,,Michigan State,,Big Ten,0.151,15 - 12,9 - 11,12 - 3,3 - 9,0.80 (H) Michigan,-0.30 @ Northwestern,,,0.136,21
,,Oregon State,,Pac-12,0.149,17 - 12,10 - 10,10 - 6,7 - 6,0.81 @ Oregon,-0.65 (H) Portland,,,0.09,71
,,Loyola Marymount,,WCC,0.147,13 - 9,7 - 5,8 - 3,5 - 6,0.69 (H) UC-Santa Barbara,-0.16 @ Minnesota,,,0.09,73
,,Saint Louis,,Atlantic 10,0.144,14 - 6,6 - 4,12 - 1,2 - 5,0.78 (H) St. Bonaventure,-0.40 @ LaSalle,,,0.003,138
,,Wofford,,SoCon,0.141,15 - 9,13 - 6,9 - 3,6 - 6,0.73 @ UNC-Greensboro,-0.31 (N) South Florida,,,0.033,111
,,Winthrop,,Big South,0.141,23 - 1,17 - 1,11 - 1,12 - 0,0.65 (N) UNC-Greensboro,-0.37 (H) UNC-Asheville,,,-0.152,334
,,Toledo,,MAC,0.14,21 - 8,15 - 4,12 - 1,9 - 7,0.63 @ Marshall,-0.61 @ Central Michigan,,,-0.003,146
,,Duke,,ACC,0.138,13 - 11,9 - 9,8 - 5,5 - 6,0.73 (H) Clemson,-0.30 @ Miami (FL),,,0.106,53
,,Seton Hall,,Big East,0.138,14 - 13,10 - 9,7 - 4,7 - 9,0.67 @ Connecticut,-0.29 @ Rhode Island,,,0.132,26
,,Mississippi,,SEC,0.133,16 - 11,10 - 8,10 - 4,6 - 7,0.75 @ Missouri,-0.32 @ Vanderbilt,,,0.091,69
,,Navy,,Patriot,0.13,15 - 3,12 - 1,8 - 2,7 - 1,0.48 @ Georgetown,-0.41 (H) Loyola (MD),,,-0.048,205
,,Belmont,,OVC,0.128,26 - 4,17 - 2,11 - 1,15 - 3,0.62 (H) Morehead State,-0.54 (H) Samford,,,-0.106,293
,,Stanford,,Pac-12,0.124,14 - 13,10 - 10,2 - 4,12 - 9,0.84 (N) Alabama,-0.47 (N) California,,,0.131,30
,,Auburn,,SEC,0.123,13 - 14,7 - 11,8 - 5,5 - 9,0.64 (H) Missouri,-0.24 @ Texas A&M,,,0.162,7
,,Minnesota,,Big Ten,0.123,14 - 15,6 - 14,13 - 4,1 - 11,0.85 (H) Michigan,-0.43 @ Nebraska,,,0.135,22
,,Morehead State,,OVC,0.123,23 - 7,17 - 3,12 - 1,11 - 6,0.71 (N) Belmont,-0.58 (H) SIU-Edwardsville,,,-0.062,228
,,Penn State,,Big Ten,0.121,11 - 14,7 - 12,7 - 5,4 - 9,0.73 @ Virginia Tech,-0.53 (H) Nebraska,,,0.182,2
,,UAB,,C-USA,0.121,22 - 7,13 - 5,15 - 2,7 - 5,0.65 @ North Texas,-0.43 @ Charlotte,,,-0.054,217
,,Old Dominion,,C-USA,0.12,15 - 8,11 - 6,9 - 1,6 - 7,0.72 @ Western Kentucky,-0.58 @ Florida International,,,0.015,126
,,Richmond,,Atlantic 10,0.12,13 - 8,6 - 5,6 - 4,7 - 4,0.72 (N) Loyola (Chicago),-0.56 (H) Saint Joseph's,,,0.049,100
,,Dayton,,Atlantic 10,0.116,14 - 9,9 - 7,8 - 3,6 - 6,0.85 @ St. Bonaventure,-0.69 @ Fordham,,,0.053,95
,,Chattanooga,,SoCon,0.114,18 - 8,14 - 7,9 - 3,9 - 5,0.64 @ UAB,-0.22 @ The Citadel,,,-0.004,150
,,Mercer,,SoCon,0.113,18 - 11,8 - 9,9 - 4,9 - 7,0.70 @ Georgia Tech,-0.35 @ Western Carolina,,,0.023,120
,,Buffalo,,MAC,0.112,16 - 8,12 - 5,8 - 3,8 - 5,0.69 @ Ohio,-0.21 (H) Bowling Green,,,-0.015,167
,,St. John's,,Big East,0.111,16 - 11,10 - 9,11 - 3,5 - 8,0.67 (H) Villanova,-0.60 (H) DePaul,,,0.076,83
,,Kentucky,,SEC,0.11,9 - 16,8 - 9,5 - 6,4 - 10,0.75 @ Tennessee,-0.29 (H) Notre Dame,,,0.179,3
,,Kent State,,MAC,0.11,16 - 8,12 - 6,9 - 2,7 - 6,0.66 @ Ohio,-0.26 @ Ball State,,,-0.007,158
,,Furman,,SoCon,0.109,16 - 9,10 - 5,11 - 1,5 - 8,0.69 (H) UNC-Greensboro,-0.25 (N) VMI,,,0.001,140
,,Georgia,,SEC,0.109,14 - 12,7 - 11,12 - 5,2 - 7,0.68 (H) LSU,-0.47 (H) South Carolina,,,0.093,65
,,Cincinnati,,AAC,0.109,12 - 11,8 - 6,5 - 5,7 - 6,0.66 @ SMU,-0.42 (H) Vanderbilt,,,0.098,58
,,Nevada,,Mountain West,0.109,16 - 10,10 - 7,10 - 2,6 - 8,0.62 (H) Colorado State,-0.68 (H) Air Force,,,0.04,106
,,Indiana,,Big Ten,0.107,12 - 15,7 - 12,6 - 6,6 - 9,0.78 @ Iowa,-0.37 (H) Northwestern,,,0.162,6
,,East Tennessee State,,SoCon,0.099,13 - 12,8 - 7,8 - 4,5 - 8,0.76 @ UNC-Greensboro,-0.33 (N) Austin Peay,,,0.039,108
,,Mississippi State,,SEC,0.098,15 - 14,8 - 10,9 - 6,6 - 8,0.66 (H) Missouri,-0.44 (H) Vanderbilt,,,0.093,64
,,Santa Clara,,WCC,0.098,12 - 8,5 - 5,4 - 2,8 - 6,0.72 @ St. Mary's (CA),-0.59 (H) San Diego,,,0.046,102
,,Wright State,,Horizon,0.095,18 - 6,16 - 4,9 - 4,9 - 2,0.62 (H) Cleveland State,-0.37 (H) Youngstown State,,,-0.073,244
,,Marquette,,Big East,0.095,13 - 14,8 - 11,7 - 7,6 - 7,0.69 @ North Carolina,-0.61 (H) DePaul,,,0.108,52
,,Providence,,Big East,0.094,13 - 13,9 - 10,8 - 3,5 - 10,0.68 @ Creighton,-0.56 (N) DePaul,,,0.109,49
,,Akron,,MAC,0.093,15 - 8,12 - 6,9 - 1,6 - 7,0.59 (H) Ohio,-0.67 @ Northern Illinois,,,-0.02,173
,,UCF,,AAC,0.093,11 - 12,8 - 10,6 - 3,5 - 9,0.77 @ Florida State,-0.38 @ Temple,,,0.131,29
,,Pepperdine,,WCC,0.093,12 - 12,7 - 6,7 - 5,5 - 7,0.77 (H) BYU,-0.50 (H) Cal State-Northridge,,,0.091,70
,,UC-Irvine,,Big West,0.091,18 - 9,13 - 5,10 - 1,8 - 8,0.73 (H) UC-Santa Barbara,-0.43 @ Cal State-Fullerton,,,-0.022,174
,,Utah,,Pac-12,0.091,12 - 13,8 - 11,8 - 5,4 - 8,0.76 @ Colorado,-0.50 @ Washington,,,0.111,47
,,North Carolina State,,ACC,0.089,13 - 10,9 - 8,7 - 4,6 - 6,0.81 @ Virginia,-0.39 (H) Miami (FL),,,0.058,91
,,Washington State,,Pac-12,0.087,14 - 13,7 - 12,11 - 5,3 - 8,0.78 @ Oregon,-0.61 (H) Washington,,,0.065,89
,,Davidson,,Atlantic 10,0.087,13 - 8,7 - 4,7 - 4,6 - 4,0.70 (H) VCU,-0.52 (H) Charlotte,,,0.015,127
,,Pacific,,WCC,0.085,9 - 9,6 - 7,6 - 2,3 - 7,0.50 (H) Loyola Marymount,-0.14 @ Pepperdine,,,0.113,43
,,Abilene Christian,,Southland,0.082,23 - 4,13 - 2,13 - 0,10 - 4,0.49 @ Stephen F. Austin,-0.56 @ Central Arkansas,,,-0.162,345
,,Cleveland State,,Horizon,0.081,19 - 7,14 - 4,9 - 2,10 - 5,0.64 @ Wright State,-0.48 @ Purdue-Fort Wayne,,,-0.047,202
,,Southern Utah,,Big Sky,0.08,20 - 4,12 - 2,14 - 0,6 - 4,0.57 @ Eastern Washington,-0.26 (N) Montana State,,,-0.161,343
,,Missouri State,,MVC,0.076,17 - 7,12 - 6,9 - 4,8 - 3,0.39 (H) Indiana State,-0.36 @ Evansville,,,-0.049,209
,,TCU,,Big 12,0.076,12 - 14,5 - 11,6 - 7,6 - 7,0.82 @ Oklahoma State,-0.47 (H) Kansas State,,,0.115,41
,,Eastern Washington,,Big Sky,0.071,16 - 7,12 - 3,7 - 2,9 - 5,0.52 (H) Southern Utah,-0.45 (H) Idaho State,,,-0.049,208
,,Coastal Carolina,,Sun Belt,0.068,16 - 7,9 - 6,12 - 1,4 - 6,0.59 (H) Georgia State,-0.26 @ Georgia Southern,,,-0.077,256
,,Eastern Kentucky,,OVC,0.067,22 - 7,15 - 5,10 - 2,12 - 5,0.71 (H) Belmont,-0.41 @ SE Missouri State,,,-0.114,300
,,Arizona State,,Pac-12,0.066,11 - 14,8 - 10,7 - 6,4 - 8,0.52 @ Grand Canyon,-0.30 (H) UTEP,,,0.115,42
,,Bowling Green,,MAC,0.064,14 - 11,10 - 8,4 - 7,10 - 4,0.67 @ Toledo,-0.72 (H) Western Michigan,,,-0.006,156
,,UC-Riverside,,Big West,0.063,14 - 8,10 - 5,5 - 4,9 - 4,0.73 (H) UC-Santa Barbara,-0.34 @ UC-San Diego,,,-0.018,169
,,Indiana State,,MVC,0.062,15 - 10,11 - 7,9 - 3,6 - 7,0.72 (H) Loyola (Chicago),-0.43 @ Valparaiso,,,0.001,141
,,Army,,Patriot,0.062,12 - 9,7 - 7,5 - 5,7 - 4,0.83 @ Colgate,-0.52 (H) Holy Cross,,,-0.008,161
,,Butler,,Big East,0.059,10 - 15,8 - 12,8 - 4,2 - 11,0.67 (H) Villanova,-0.35 (H) Southern Illinois,,,0.119,39
,,Appalachian State,,Sun Belt,0.059,17 - 11,7 - 8,9 - 4,8 - 7,0.60 (H) Georgia State,-0.46 (H) Troy,,,-0.042,195
,,South Alabama,,Sun Belt,0.057,17 - 11,10 - 7,10 - 5,7 - 6,0.67 @ Georgia State,-0.48 @ Alabama A&M,,,-0.044,200
,,Siena,,MAAC,0.056,12 - 5,12 - 4,6 - 2,6 - 3,0.34 (H) Monmouth,-0.31 @ Niagara,,,-0.081,264
,,James Madison,,CAA,0.053,13 - 7,8 - 2,10 - 4,3 - 3,0.40 @ Northeastern,-0.32 @ East Carolina,,,-0.087,270
,,Notre Dame,,ACC,0.052,11 - 15,7 - 11,6 - 5,5 - 10,0.66 (H) Florida State,-0.58 @ Boston College,,,0.12,38
,,Grand Canyon,,WAC,0.052,17 - 6,9 - 4,10 - 3,7 - 3,0.45 (H) Nevada,-0.37 (H) California Baptist,,,-0.127,318
,,Liberty,,ASUN,0.051,23 - 5,11 - 2,13 - 0,10 - 5,0.40 @ Bellarmine,-0.39 @ Stetson,,,-0.164,346
,,Wyoming,,Mountain West,0.046,14 - 11,7 - 9,7 - 5,7 - 6,0.50 @ Oregon State,-0.56 @ Air Force,,,0.002,139
,,Weber State,,Big Sky,0.046,17 - 6,12 - 3,11 - 0,6 - 6,0.54 (H) Southern Utah,-0.49 @ Portland State,,,-0.109,294
,,South Dakota State,,Summit,0.045,16 - 7,9 - 3,8 - 1,8 - 6,0.68 (N) Utah State,-0.32 (H) South Dakota,,,-0.099,285
,,Sam Houston State,,Southland,0.045,19 - 9,13 - 3,12 - 1,7 - 8,0.56 (H) Abilene Christian,-0.49 (N) Lamar,,,-0.096,280
,,Northwestern,,Big Ten,0.045,9 - 15,6 - 13,7 - 6,2 - 9,0.69 (H) Ohio State,-0.30 (H) Pittsburgh,,,0.125,33
,,Northeastern,,CAA,0.044,10 - 9,8 - 2,5 - 1,5 - 8,0.37 @ Hofstra,-0.62 @ Towson,,,0.045,103
,,Jacksonville State,,OVC,0.044,18 - 9,13 - 6,8 - 3,10 - 6,0.40 @ South Alabama,-0.55 @ Florida International,,,-0.071,238
,,Tulsa,,AAC,0.043,11 - 12,7 - 9,7 - 5,4 - 7,0.77 (H) Houston,-0.42 (N) South Carolina,,,0.033,110
,,George Mason,,Atlantic 10,0.041,13 - 9,8 - 6,7 - 3,6 - 6,0.78 @ VCU,-0.30 @ Rhode Island,,,-0.023,176
,,VMI,,SoCon,0.039,13 - 12,7 - 6,11 - 1,2 - 11,0.65 (H) UNC-Greensboro,-0.44 @ Samford,,,-0.006,153
,,Louisiana,,Sun Belt,0.037,17 - 9,10 - 7,10 - 3,7 - 6,0.64 (H) Louisiana Tech,-0.65 (H) Louisiana-Monroe,,,-0.077,254
,,Pittsburgh,,ACC,0.036,10 - 12,6 - 10,7 - 6,3 - 6,0.61 @ Syracuse,-0.66 (H) St. Francis (PA),,,0.067,87
,,San Francisco,,WCC,0.035,11 - 14,4 - 9,3 - 5,8 - 9,0.69 (N) Virginia,-0.39 @ California,,,0.087,76
,,Bryant,,NEC,0.033,15 - 6,10 - 4,10 - 1,5 - 5,0.37 (H) Wagner,-0.52 @ St. Francis (PA),,,-0.098,284
,,The Citadel,,SoCon,0.03,13 - 12,5 - 11,11 - 3,2 - 9,0.49 (H) Chattanooga,-0.32 @ Western Carolina,,,-0.023,175
,,Hofstra,,CAA,0.029,13 - 10,8 - 6,7 - 3,6 - 7,0.54 @ Richmond,-0.38 @ Delaware,,,-0.027,178
,,Iona,,MAAC,0.028,12 - 5,6 - 3,4 - 2,8 - 3,0.47 (N) Siena,-0.61 (H) Manhattan,,,-0.077,255
,,Fresno State,,Mountain West,0.027,12 - 12,9 - 12,7 - 5,5 - 7,0.69 @ Boise State,-0.27 @ UNLV,,,0.015,128
,,Duquesne,,Atlantic 10,0.026,9 - 9,7 - 7,5 - 2,4 - 7,0.67 (N) UNC-Greensboro,-0.50 @ George Washington,,,0.028,116
,,Texas-San Antonio,,C-USA,0.025,15 - 11,9 - 7,12 - 2,3 - 9,0.58 (H) UAB,-0.45 @ Texas-Rio Grande Valley,,,-0.049,210
,,Norfolk State,,MEAC,0.024,16 - 7,8 - 4,7 - 4,9 - 3,0.43 @ James Madison,-0.56 (H) UNC-Wilmington,,,-0.117,305
,,Rice,,C-USA,0.024,15 - 13,6 - 10,9 - 3,6 - 10,0.56 (N) Marshall,-0.71 (H) New Mexico,,,-0.02,172
,,Rhode Island,,Atlantic 10,0.024,10 - 15,7 - 10,6 - 3,4 - 12,0.83 @ VCU,-0.64 (N) Boston College,,,0.068,86
,,Prairie View,,SWAC,0.023,16 - 5,13 - 0,8 - 0,8 - 5,0.41 @ Texas Southern,-0.36 (N) Arkansas-Little Rock,,,-0.156,339
,,South Carolina,,SEC,0.021,6 - 15,4 - 12,3 - 6,3 - 9,0.60 @ Florida,-0.33 @ Vanderbilt,,,0.154,10
,,Texas Southern,,SWAC,0.021,16 - 9,10 - 3,8 - 2,8 - 7,0.44 (N) Prairie View,-0.45 (H) Grambling,,,-0.084,268
,,Ball State,,MAC,0.018,10 - 13,8 - 9,7 - 4,3 - 9,0.59 (H) Toledo,-0.22 @ Miami (OH),,,0.022,122
,,Massachusetts,,Atlantic 10,0.018,8 - 7,6 - 4,4 - 3,4 - 4,0.33 (H) Northeastern,-0.20 (H) George Mason,,,-0.008,160
,,Vanderbilt,,SEC,0.017,9 - 16,3 - 13,6 - 7,3 - 9,0.46 @ Cincinnati,-0.28 (H) Kentucky,,,0.097,60
,,Texas A&M,,SEC,0.016,8 - 10,3 - 8,6 - 4,2 - 6,0.48 (H) Wofford,-0.39 @ South Carolina,,,0.066,88
,,Wagner,,NEC,0.015,13 - 7,13 - 5,7 - 3,6 - 4,0.38 @ Mount St. Mary's,-0.59 @ Central Connecticut,,,-0.076,249
,,Stephen F. Austin,,Southland,0.015,16 - 5,13 - 4,10 - 1,6 - 4,0.45 @ Sam Houston State,-0.54 @ Louisiana-Monroe,,,-0.159,342
,,Monmouth,,MAAC,0.014,12 - 8,12 - 6,7 - 2,5 - 6,0.30 (H) Canisius,-0.51 (N) Fairfield,,,-0.06,225
,,Nicholls State,,Southland,0.014,18 - 7,14 - 2,8 - 1,10 - 6,0.28 (N) UC-Davis,-0.41 @ California,,,-0.116,303
,,UTEP,,C-USA,0.013,12 - 12,8 - 8,10 - 2,2 - 10,0.65 (H) Louisiana Tech,-0.49 @ Southern Miss,,,-0.009,162
,,Miami (FL),,ACC,0.013,10 - 17,4 - 15,7 - 8,3 - 9,0.66 (N) Clemson,-0.63 @ Boston College,,,0.092,67
,,Drexel,,CAA,0.013,12 - 7,4 - 5,3 - 2,9 - 5,0.42 @ James Madison,-0.51 (H) LaSalle,,,-0.038,191
,,Cal State-Bakersfield,,Big West,0.012,15 - 11,11 - 7,9 - 2,6 - 9,0.54 @ UC-Irvine,-0.54 (H) Cal State-Fullerton,,,-0.053,215
,,Texas State,,Sun Belt,0.012,18 - 7,12 - 3,8 - 3,10 - 4,0.47 @ Louisiana,-0.92 (H) Non D-I,,,-0.112,296
,,UMBC,,America East,0.008,14 - 6,10 - 4,5 - 4,9 - 2,0.34 (H) Vermont,-0.73 (H) Binghamton,,,-0.097,283
,,South Florida,,AAC,0.007,9 - 13,4 - 10,4 - 6,5 - 7,0.46 (N) Wofford,-0.50 (H) Temple,,,0.06,90
,,Miami (OH),,MAC,0.006,12 - 11,9 - 8,7 - 4,5 - 7,0.37 @ Bowling Green,-0.29 @ Bradley,,,-0.032,184
,,American,,Patriot,0.006,4 - 6,4 - 5,2 - 2,2 - 4,0.17 @ Bucknell,-0.32 @ Loyola (MD),,,0.052,98
,,East Carolina,,AAC,0.003,8 - 11,2 - 10,7 - 6,1 - 5,0.80 (H) Houston,-0.35 (H) South Florida,,,0.005,136
,,Mount St. Mary's,,NEC,0,12 - 10,9 - 7,6 - 3,6 - 7,0.50 @ Bryant,-0.58 @ Central Connecticut,,,-0.038,190
,,UNLV,,Mountain West,-0.002,12 - 15,8 - 10,9 - 4,3 - 11,0.61 (H) Utah State,-0.30 (H) Montana State,,,0.019,123
,,Tulane,,AAC,-0.003,10 - 13,4 - 12,6 - 6,4 - 7,0.29 @ Tulsa,-0.48 (H) Temple,,,0.048,101
,,California,,Pac-12,-0.004,9 - 20,3 - 18,6 - 8,3 - 12,0.68 (H) Colorado,-0.52 @ Washington,,,0.102,56
,,Hartford,,America East,-0.004,15 - 8,8 - 6,10 - 1,5 - 7,0.52 @ UMBC,-0.62 (H) NJIT,,,-0.113,299
,,Canisius,,MAAC,-0.008,7 - 6,7 - 5,3 - 1,4 - 5,0.54 @ Siena,-0.60 (N) Rider,,,-0.036,188
