,Team,preds
127,Cleveland St.,15.760455493144553
98,Michigan,15.760455986806349
123,Western Carolina,15.760546282332294
267,Boston University,15.760782149403797
232,Kennesaw St.,15.760808549695895
161,North Dakota St.,15.761341112415067
284,Holy Cross,15.761452452077721
144,Missouri,15.761495723385503
99,West Virginia,15.761513146609554
155,Eastern Michigan,15.761593678171373
249,UC Santa Barbara,15.762198321400247
265,Delaware St.,15.763211317055493
210,Saint Louis,15.76350449325309
333,Texas Southern,15.764810980272074
112,Wyoming,15.76512455660569
334,New Orleans,15.765161508594117
343,Monmouth,15.76534534777543
310,Morgan St.,15.765451809445018
148,Middle Tennessee,15.765526310482493
180,Bryant,15.765557640030728
224,Cal Poly,15.76576962273598
238,Hampton,15.766338093771472
97,Oregon St.,15.766395673995241
253,LIU,15.7665989184131
89,Saint Joseph's,15.766853560381834
340,Houston Christian,15.767125729730928
312,Campbell,15.767245872785042
109,Missouri St.,15.767391002379105
199,Penn,15.767718997235255
342,Florida A&M,15.767884100263318
186,Central Michigan,15.767962906298076
254,Mount St. Mary's,15.768199794653272
75,California,15.768264056135777
250,UMBC,15.768490030019876
163,Cal St. Northridge,15.768700896660457
222,Niagara,15.768869527276806
209,Tulane,15.769057053732892
78,California,15.769370075406146
68,USC,15.769489494809598
298,Hawaii,15.769818868223666
354,DePaul,15.769953465410028
174,Purdue Fort Wayne,15.769991498950558
291,North Alabama,15.770032039905011
218,Central Arkansas,15.770057453883448
264,Navy,15.770117822615754
262,Ball St.,15.770291493170548
266,Southeast Missouri St.,15.770710253111057
301,Rider,15.770747253088517
175,UNC Asheville,15.770791839638244
240,Bowling Green,15.770886413667924
304,Prairie View A&M,15.771052397985052
178,Elon,15.771509409326521
255,William & Mary,15.771683495103593
306,Bellarmine,15.771895298055917
76,California,15.771909771498855
276,South Alabama,15.77193335645237
305,Northeastern,15.772043537669179
278,NJIT,15.77225139248751
344,North Carolina A&T,15.772262273690904
122,Southern Miss,15.772389818225383
116,Oklahoma St.,15.772421954784827
269,Jacksonville,15.772592851083374
131,UTSA,15.772875934735906
348,Portland,15.773061657578928
327,Alabama St.,15.773111273829864
290,Buffalo,15.77321215719512
271,IUPUI,15.773441941747114
315,Oral Roberts,15.77345571810146
198,Pacific,15.773459385110202
212,Georgetown,15.773541303846216
295,New Mexico St.,15.773631688118137
114,Arkansas,15.77367359570335
201,Southern Illinois,15.773685132200455
285,UMKC,15.773716849712677
341,Georgia Southern,15.77400339356918
325,Queens,15.774026776564346
214,Portland St.,15.774057583374793
294,Northwestern St.,15.774090139359979
137,Harvard,15.774100364759748
317,UC Riverside,15.774106888309904
320,Dartmouth,15.774153980038506
349,Valparaiso,15.774193238055162
279,Alabama A&M,15.774226223105964
187,Southeastern Louisiana,15.774229349879874
