RK,TEAM,Q1A,Q1,Q2,Q1&2,Q3,Q4
1,Alabama 2,4-2,8-4,9-1,17-5,7-1,0-0
2,Illinois 1,6-3,12-5,5-1,17-6,4-0,2-0
3,Ohio St. 2,7-5,9-7,6-2,15-9,4-0,2-0
4,Gonzaga 1,6-0,8-0,6-0,14-0,5-0,7-0
5,Michigan 1,5-2,8-3,6-1,14-4,4-0,2-0
6,Purdue 4,2-6,6-7,7-1,13-8,3-1,2-0
7,Iowa 2,4-5,8-6,5-2,13-8,3-0,5-0
8,Creighton 5,1-2,7-3,5-3,12-6,4-2,4-0
9,Arkansas 3,1-4,6-5,6-1,12-6,5-0,5-0
10,Oklahoma St. 4,7-5,10-6,2-0,12-6,3-2,5-0
11,North Carolina 8,0-7,3-9,8-0,11-9,4-1,3-0
12,Baylor 1,6-1,8-2,2-0,10-2,7-0,5-0
13,Florida St. 4,1-2,3-4,7-1,10-5,2-1,4-0
14,Colorado 5,2-2,3-4,7-1,10-5,9-3,3-0
15,Clemson 7,2-4,3-6,7-0,10-6,5-1,1-0
16,Texas 3,5-3,8-6,2-1,10-7,5-0,4-0
17,West Virginia 3,4-4,7-7,3-2,10-9,6-0,2-0
18,Rutgers 10,2-6,4-9,6-2,10-11,3-0,2-0
19,Wisconsin 9,3-9,5-10,5-2,10-12,4-0,3-0
20,Oregon 7,1-2,2-3,7-1,9-4,7-2,4-0
21,VCU 10,0-2,2-5,7-0,9-5,6-2,4-0
22,Virginia 4,1-2,5-4,4-1,9-5,5-1,4-0
23,Georgia Tech 9,1-3,3-6,6-0,9-6,5-2,3-0
24,Villanova 5,1-1,5-3,4-3,9-6,6-0,1-0
25,USC 6,1-3,3-4,6-3,9-7,10-0,3-0
26,Kansas 3,2-7,7-8,2-0,9-8,5-0,5-0
27,Missouri 9,5-3,7-6,2-3,9-9,6-0,1-0
28,Michigan St. 11,3-7,5-10,4-2,9-12,2-0,4-0
29,Houston 2,1-0,2-1,6-1,8-2,10-1,5-0
30,San Diego St. 6,0-2,1-3,7-1,8-4,8-0,6-0
31,BYU 6,2-4,3-4,5-2,8-6,6-0,5-0
32,Tennessee 5,3-4,6-6,2-2,8-8,6-0,4-0
33,Florida 7,2-5,5-5,3-3,8-8,5-1,1-0
34,LSU 8,3-5,5-8,3-1,8-9,6-0,4-0
35,Georgetown 12,3-3,3-9,5-1,8-10,4-2,1-0
36,Seton Hall,1-2,3-9,5-3,8-12,4-1,2-0
37,Indiana,2-9,2-12,6-2,8-14,2-1,2-0
38,St. Bonaventure 9,0-1,4-2,3-1,7-3,5-1,4-0
39,Louisville,0-3,1-6,6-0,7-6,4-1,2-0
40,Connecticut 7,1-3,4-4,3-3,7-7,5-0,3-0
41,Syracuse 11,0-5,1-7,6-1,7-8,6-1,3-0
42,St. John's,1-3,2-7,5-2,7-9,4-1,5-1
43,Duke,1-3,2-5,5-4,7-9,2-2,4-0
44,Mississippi,1-3,3-5,4-4,7-9,4-2,5-0
45,Oregon St. 12,2-3,5-5,2-4,7-9,4-1,5-2
46,Mississippi St.,0-5,1-8,6-4,7-12,4-2,4-0
47,Marquette,2-2,5-9,2-4,7-13,3-0,3-1
48,Maryland 10,3-6,4-10,3-3,7-13,6-0,2-0
49,Penn St.,1-8,3-12,4-1,7-13,4-1,0-0
50,Minnesota,3-9,4-11,3-3,7-14,3-1,4-0
RK,TEAM,Q1-A,Q1,Q2,Q1&2,Q3,Q4
51,Drake 11,1-2,1-2,5-0,6-2,6-2,11-0
52,Loyola Chicago 8,0-1,2-2,4-2,6-4,4-0,12-0
53,Dayton,1-2,3-2,3-4,6-6,5-1,3-2
54,Xavier,0-1,1-4,5-3,6-7,4-1,3-0
55,Georgia,0-6,3-7,3-2,6-9,3-3,4-0
56,Texas Tech 6,3-8,4-10,2-0,6-10,3-0,8-0
57,Auburn,1-7,1-9,5-3,6-12,2-2,5-0
58,Providence,1-3,4-7,2-5,6-12,4-1,3-0
59,Miami FL,0-3,3-7,3-5,6-12,0-4,4-1
60,Butler,0-4,2-9,4-4,6-13,2-1,2-1
61,Kentucky,2-6,3-11,3-4,6-15,3-1,0-0
62,Richmond,1-2,3-4,2-0,5-4,6-2,1-2
63,Virginia Tech 10,2-1,2-3,3-3,5-6,5-0,5-0
64,Nevada,0-5,1-5,4-1,5-6,2-3,8-1
65,Pittsburgh,1-2,1-5,4-3,5-8,2-3,3-1
66,Cincinnati,0-3,1-4,4-4,5-8,4-2,3-1
67,Arizona,2-2,2-4,3-4,5-8,7-1,5-0
68,UCLA 11,1-5,2-6,3-3,5-9,8-0,4-0
69,Oklahoma 8,4-5,5-9,0-0,5-9,4-1,6-0
70,Stanford,1-4,4-6,1-5,5-11,6-2,3-0
71,Northwestern,1-9,2-11,3-3,5-14,1-1,2-0
72,Wofford,0-0,1-1,3-1,4-2,6-6,3-1
73,UNC Greensboro 13,0-0,0-1,4-1,4-2,9-4,8-2
74,SMU,0-2,0-3,4-0,4-3,2-2,5-0
75,Saint Louis,0-1,2-2,2-2,4-4,4-2,6-0
76,Western Kentucky,1-2,1-3,3-1,4-4,7-3,9-0
77,Bowling Green,0-1,1-1,3-3,4-4,3-4,6-3
78,Wichita St. 11,1-1,2-3,2-1,4-4,6-1,4-0
79,Tulsa,1-1,2-2,2-3,4-5,2-6,3-1
80,Marshall,0-0,1-0,3-5,4-5,2-2,9-0
81,Davidson,0-3,0-4,4-2,4-6,4-1,4-1
