RK,TEAM,Q1A,Q1,Q2,Q1&2,Q3,Q4
1,Kansas 1,8-6,17-7,4-0,21-7,3-0,3-0
2,Alabama 1,4-4,13-5,6-0,19-5,7-0,3-0
3,Purdue 1,5-2,10-4,9-1,19-5,5-0,5-0
4,Texas 2,6-5,14-8,4-0,18-8,1-0,7-0
5,UCLA 2,2-3,8-5,9-0,17-5,5-0,7-0
6,Arizona 2,5-1,9-2,7-4,16-6,5-0,7-0
7,Houston 1,3-2,7-2,8-0,15-2,7-1,9-0
8,Baylor 3,6-6,11-10,4-0,15-10,0-0,7-0
9,Marquette 2,5-3,8-5,6-0,14-5,6-1,8-0
10,Connecticut 3,3-4,7-6,6-1,13-7,4-1,8-0
11,Memphis 9,1-3,4-4,9-3,13-7,7-1,6-0
12,Xavier 4,4-5,9-6,4-2,13-8,4-1,8-0
13,Kansas St. 3,4-5,9-8,4-1,13-9,3-0,7-0
14,Iowa 9,2-3,4-7,9-3,13-10,1-2,5-1
15,TCU 5,4-7,8-11,5-0,13-11,0-0,8-1
16,Michigan St. 7,0-8,5-9,8-2,13-11,2-1,4-0
17,Boise St. 10,2-4,3-5,9-2,12-7,6-2,5-0
18,Texas A&M 6,4-4,7-6,5-1,12-7,6-0,7-2
19,Duke 5,1-4,5-6,7-2,12-8,4-0,10-0
20,Kentucky 6,3-4,6-7,6-1,12-8,3-2,6-1
21,Indiana 4,4-6,6-9,6-2,12-11,4-0,6-0
22,Penn St. 10,1-5,7-7,5-5,12-12,4-1,6-0
23,Iowa St. 5,6-7,10-11,2-2,12-13,1-0,6-0
24,West Virginia 8,1-11,6-13,6-1,12-14,1-0,6-0
25,Gonzaga 3,4-4,6-4,5-0,11-4,8-1,8-0
26,Miami FL 6,0-2,5-5,6-0,11-5,7-1,7-1
27,Utah St. 10,0-5,2-5,9-1,11-6,13-0,1-2
28,San Diego St. 5,2-5,5-5,6-1,11-6,13-0,2-0
29,Virginia 4,1-3,5-5,6-1,11-6,5-1,9-0
30,Northwestern 7,4-3,7-6,4-5,11-11,1-0,9-0
31,Wisconsin,2-5,5-7,6-6,11-13,1-1,5-0
32,USC 10,1-4,3-6,7-2,10-8,6-1,6-1
33,Missouri 7,2-6,6-9,4-0,10-9,6-0,8-0
34,Tennessee 4,3-4,7-7,3-3,10-10,6-0,7-0
35,Rutgers 11,1-6,4-7,6-3,10-10,2-4,7-0
36,Vanderbilt F4O,2-6,5-11,5-0,10-11,5-2,5-1
37,Creighton 7,2-7,3-9,7-2,10-11,5-1,6-0
38,Oklahoma St. F4O,1-11,6-12,4-2,10-14,3-1,5-0
39,Ohio St.,0-11,3-13,7-4,10-17,0-1,6-1
40,Saint Mary's 6,2-3,2-3,7-2,9-5,11-2,5-0
41,Auburn 9,1-8,3-10,6-1,9-11,8-1,3-0
42,Arizona St. 11,2-4,5-6,4-5,9-11,5-0,8-1
43,Illinois 9,2-4,2-11,7-1,9-12,4-0,7-0
44,Maryland 8,1-6,3-10,6-2,9-12,3-0,9-0
45,Oregon,1-6,2-9,7-4,9-13,5-1,5-0
46,Oklahoma,2-10,6-14,3-3,9-17,3-0,3-0
47,North Carolina St. 11,0-4,1-6,7-4,8-10,5-0,10-0
