,,,,,,,,,,,
TEAM,CONF,W-L,BPI,BPI RK,TREND,OFF,DEF,OVR W-L,CONF W-L,WIN CONF%,REM SOS RK
Washington State Cougars,Pac-12,22-15,8.8,54,5,3,5.7,22.0-15.0,11.0-9.0,<0.1%,-
Vanderbilt Commodores,SEC,19-17,8.5,55,--,3.1,5.4,19.0-17.0,7.0-11.0,<0.1%,-
Saint Louis Billikens,A 10,23-12,8.4,56,--,4.8,3.6,23.0-12.0,12.0-6.0,<0.1%,-
VCU Rams,A 10,22-10,8.2,57,--,-1.3,9.5,22.0-10.0,14.0-4.0,<0.1%,-
Virginia Cavaliers,ACC,21-14,8.1,58,--,3.1,5,21.0-14.0,12.0-8.0,<0.1%,-
Boise State Broncos,Mountain West,27-8,8,59,1,2.9,5.1,27.0-8.0,15.0-3.0,>99.9%,-
Syracuse Orange,ACC,16-17,8,60,1,7.5,0.6,16.0-17.0,9.0-11.0,<0.1%,-
Marquette Golden Eagles,Big East,19-13,8,61,--,3.6,4.4,19.0-13.0,11.0-8.0,<0.1%,-
Chattanooga Mocs,Southern,27-8,8,62,--,4.2,3.8,27.0-8.0,14.0-4.0,>99.9%,-
North Texas Mean Green,C-USA,25-7,8,63,1,2,6,25.0-7.0,16.0-2.0,>99.9%,-
Clemson Tigers,ACC,17-16,7.9,64,1,5.2,2.8,17.0-16.0,8.0-12.0,<0.1%,-
Creighton Bluejays,Big East,23-12,7.8,65,--,2,5.8,23.0-12.0,12.0-7.0,<0.1%,-
South Dakota State Jackrabbits,Summit,30-5,7.8,66,--,9,-1.2,30.0-5.0,18.0-0.0,>99.9%,-
West Virginia Mountaineers,Big 12,16-17,7.8,67,1,3.6,4.2,16.0-17.0,4.0-14.0,<0.1%,-
St. Bonaventure Bonnies,A 10,23-10,7.7,68,1,4.8,2.9,23.0-10.0,12.0-5.0,<0.1%,-
Belmont Bruins,OVC,25-8,7.6,69,--,5.4,2.2,25.0-8.0,15.0-3.0,<0.1%,-
Kansas State Wildcats,Big 12,14-17,7.5,70,--,3.6,3.9,14.0-17.0,6.0-12.0,<0.1%,-
Furman Paladins,Southern,22-12,7.4,71,--,7.4,0,22.0-12.0,12.0-6.0,<0.1%,-
Maryland Terrapins,Big Ten,15-17,7.3,72,--,4.6,2.8,15.0-17.0,7.0-13.0,<0.1%,-
Rutgers Scarlet Knights,Big Ten,18-14,7.3,73,1,3,4.3,18.0-14.0,12.0-8.0,<0.1%,-
Toledo Rockets,MAC,26-8,7.2,74,1,5.7,1.5,26.0-8.0,17.0-3.0,>99.9%,-
Oregon Ducks,Pac-12,20-15,7,75,--,4.7,2.3,20.0-15.0,11.0-9.0,<0.1%,-
Richmond Spiders,A 10,24-13,7,76,--,4.5,2.5,24.0-13.0,10.0-8.0,<0.1%,-
Iona Gaels,MAAC,25-8,6.9,77,--,3.6,3.3,25.0-8.0,17.0-3.0,>99.9%,-
Towson Tigers,CAA,25-9,6.9,78,--,4.3,2.6,25.0-9.0,15.0-3.0,>99.9%,-
