RANK,TEAM,TREND,,NEXT GAME
1,"Gonzaga


28-4",—,,—
2,"Houston


32-6",1,,—
3,"Kansas


34-6",3,,—
4,"Arizona


33-4",2,,—
5,"Baylor


27-7",1,,—
6,"Villanova


30-8",2,,—
7,"Tennessee


27-8",—,,—
8,"Texas Tech


27-10",1,,—
9,"Kentucky


26-8",4,,—
10,"Duke


32-7",2,,—
11,"UCLA


27-8",1,,—
12,"Purdue


29-8",1,,—
13,"Auburn


28-6",2,,—
14,"Iowa


26-10",—,,—
15,"Illinois


23-10",—,,—
16,"Texas


22-12",—,,—
17,"N. Carolina


29-10",14,,—
18,"Connecticut


23-10",1,,—
19,"Saint Mary's


26-8",—,,—
20,"LSU


22-12",2,,—
21,"Arkansas


28-9",1,,—
22,"Va. Tech


23-13",5,,—
23,"Ohio St.


20-12",3,,—
24,"Providence


27-6",8,,—
25,"Wisconsin


25-8",1,,—
26,"San Fran.


24-10",4,,—
27,"Michigan


19-15",7,,—
28,"Loyola Chi.


25-8",5,,—
29,"Murray St.


31-3",8,,—
30,"San Diego St


23-9",5,,—
31,"Memphis


22-11",2,,—
32,"Alabama


19-14",2,,—
33,"TCU


21-13",11,,—
34,"Boise St.


27-8",5,,—
35,"Colo. St.


25-6",7,,—
36,"Texas A&M


27-13",7,,—
37,"Xavier


23-13",3,,—
38,"Michigan St.


23-13",2,,—
39,"Oklahoma


19-16",—,,—
40,"USC


26-8",5,,—
41,"Iowa St.


22-13",8,,—
42,"Wake Forest


25-10",6,,—
43,"Notre Dame


24-11",10,,—
44,"Indiana


21-14",6,,—
45,"Okla. St.


15-15",6,,—
46,"Davidson


27-7",5,,—
47,"Miami (Fla.)


26-11",15,,—
48,"Seton Hall


21-11",11,,—
49,"UAB


27-8",3,,—
50,"Marquette


19-13",8,,—
51,"Creighton


23-12",4,,—
52,"Dayton


24-11",6,,—
53,"SMU


24-9",8,,—
54,"Washington St.


22-15",7,,—
55,"North Texas


25-7",8,,—
56,"Vermont


28-6",4,,—
57,"VCU


22-10",1,,—
58,"Wyoming


25-9",8,,—
