RANK,TEAM,TREND,,NEXT GAME
244,Air Force 14-18,2,,—
245,Fordham 12-20,2,,—
246,Montana St. 15-17,—,,—
247,Norfolk St. 22-14,13,,—
248,Middle Tenn. 11-21,—,,—
249,SE Louisiana 17-16,—,,—
250,LIU-Brooklyn 16-16,—,,—
251,UC Davis 11-20,4,,—
252,Arkansas St. 13-19,1,,—
253,East Carolina 10-21,5,,—
254,James Madison 14-19,2,,—
255,Siena 17-16,2,,—
256,E. Kentucky 13-18,3,,—
257,St. Fran.-NY 17-16,3,,—
258,So. Utah 17-17,3,,—
259,Troy 12-18,3,,—
260,Morehead St. 13-20,4,,—
261,Towson 10-22,6,,—
262,Youngstown St. 12-20,7,,—
263,UMass Lowell 15-17,6,,—
264,St. Fran.-Pa. 18-15,1,,—
265,Portland St. 16-16,3,,—
266,Charlotte 8-21,4,,—
267,Longwood 16-18,24,,—
268,UNC-Wilm. 10-23,5,,—
269,Robert Morris 18-17,2,,—
270,New Orleans 19-14,4,,—
271,Sacramento St. 15-16,1,,—
272,CSNorthridge 13-21,1,,—
273,Albany 12-20,2,,—
274,Texas A&M-CC 14-18,4,,—
275,The Citadel 12-18,1,,—
276,Chattanooga 12-20,1,,—
277,W. Michigan 8-24,1,,—
278,Elon 11-21,1,,—
279,Loyola-Md. 11-21,2,,—
280,Marist 12-19,2,,—
281,Navy 12-19,2,,—
282,Lafayette 10-20,2,,—
283,Clev. St. 10-21,1,,—
284,Canisius 15-17,2,,—
285,George Wash. 9-24,2,,—
286,Jacksonville 12-20,3,,—
287,N. Arizona 10-21,1,,—
288,North Dakota 12-18,3,,—
289,Monmouth 14-21,2,,—
290,UTEP 8-21,2,,—
291,Grambling 17-17,2,,—
292,Houston Bap. 12-18,2,,—
293,NC A&T 19-13,1,,—
294,Fairfield 9-22,2,,—
295,W. Carolina 7-25,—,,—
296,Tulane 4-27,2,,—
297,Oral Roberts 11-21,1,,—
298,Cent. Arkansas 14-19,1,,—
299,Milwaukee 9-22,—,,—
300,Wagner 13-17,—,,—
301,Niagara 13-19,—,,—
302,NC Central 18-16,—,,—
303,Bethune-Cook. 14-17,1,,—
304,Howard 17-17,2,,—
305,W. Illinois 10-21,2,,—
306,VMI 11-21,1,,—
307,Idaho St. 11-19,—,,—
308,E. Illinois 14-18,—,,—
309,N. Alabama 10-22,1,,—
310,UT Martin 12-19,1,,—
311,CCSU 11-20,1,,—
312,SF Austin 14-16,3,,—
313,Florida A&M 12-19,2,,—
314,Nicholls St. 14-17,1,,—
315,Tennessee St. 9-21,1,,—
316,UC Riverside 10-23,2,,—
317,SE Missouri St. 10-21,3,,—
318,St. Peter's 10-22,1,,—
319,Mt St Mary's 9-22,—,,—
320,Manhattan 11-21,2,,—
321,Ark.-Pine Bluff 13-19,2,,—
322,Bryant 10-20,—,,—
323,Wyoming 8-24,2,,—
324,Denver 8-22,—,,—
325,Binghamton 10-23,—,,—
326,Portland 7-25,1,,—
327,McNeese St. 9-22,1,,—
328,Jackson St. 13-19,—,,—
329,SIUE 10-21,—,,—
330,Alabama St. 12-19,—,,—
331,Tenn. Tech 8-23,—,,—
332,Morgan St. 9-21,1,,—
333,Cal Poly 6-23,1,,—
334,Northwestern St. 11-20,—,,—
335,Maine 5-27,—,,—
336,SC State 8-26,—,,—
337,Stetson 7-24,—,,—
338,Savannah St. 11-20,1,,—
339,Idaho 5-27,1,,—
340,Southern U. 7-25,—,,—
341,San Jose St. 4-27,—,,—
342,Coppin St. 8-25,—,,—
343,Kennesaw St. 6-26,—,,—
344,SC Upstate 6-26,—,,—
345,New Hamp. 5-24,—,,—
346,Alabama A&M 5-27,—,,—
347,Alcorn St. 10-21,1,,—
348,Incarnate Word 6-25,1,,—
349,Miss Valley St. 6-26,—,,—
350,UNC-Ash. 4-27,—,,—
351,Delaware St. 6-25,—,,—
352,Md.-E. Shore 7-25,—,,—
353,Chicago St. 3-29,—,,—
