RANK,TEAM,TREND,,NEXT GAME
1,Virginia 35-3,—,,—
2,Gonzaga 33-4,—,,—
3,Duke 32-6,—,,—
4,Kentucky 30-7,2,,—
5,Michigan St. 32-7,3,,—
6,Houston 33-4,2,,—
7,Texas Tech 31-7,3,,—
8,N. Carolina 29-7,1,,—
9,Tennessee 31-6,4,,—
10,Michigan 30-7,1,,—
11,Purdue 26-10,1,,—
12,Va. Tech 26-9,1,,—
13,Auburn 30-10,5,,—
14,Wofford 30-5,1,,—
15,Florida St. 29-8,1,,—
16,LSU 28-7,2,,—
17,Kansas 26-10,3,,—
18,Buffalo 32-4,3,,—
19,Iowa St. 23-12,2,,—
20,Wisconsin 23-11,3,,—
21,Miss. State 23-11,2,,—
22,Louisville 20-14,—,,—
23,Kansas St. 25-9,1,,—
24,Cincinnati 28-7,1,,—
25,Maryland 23-11,2,,—
26,UCF 24-9,4,,—
27,Nevada 29-5,4,,—
28,Villanova 26-10,2,,—
29,Marquette 24-10,1,,—
30,Florida 20-16,1,,—
31,Utah St. 28-7,2,,—
32,Oklahoma 20-14,5,,—
33,Texas 21-16,5,,—
34,Baylor 20-14,5,,—
35,Saint Mary's 22-12,3,,—
36,NC State 24-12,3,,—
37,Lipscomb 29-8,12,,—
38,VCU 25-8,4,,—
39,Belmont 27-6,8,,—
40,Iowa 23-12,3,,—
41,Oregon 25-13,10,,—
42,Ole Miss 20-13,6,,—
43,Murray St. 28-5,1,,—
44,Washington 27-9,1,,—
45,Clemson 20-14,10,,—
46,N. Mex. St. 30-5,6,,—
47,TCU 23-14,5,,—
48,Memphis 22-14,2,,—
49,Penn St. 14-18,1,,—
50,Syracuse 20-14,8,,—
51,Nebraska 19-17,3,,—
52,Ohio St. 20-15,3,,—
53,Liberty 29-7,5,,—
54,Creighton 20-15,1,,—
55,Minnesota 22-14,6,,—
56,Indiana 19-16,2,,—
57,Temple 23-10,1,,—
58,Furman 25-8,17,,—
59,Seton Hall 20-14,2,,—
60,Arkansas 18-16,5,,—
61,Alabama 18-16,2,,—
62,Arizona St. 23-11,1,,—
63,Wichita St. 22-15,20,,—
64,Xavier 19-16,3,,—
65,Colorado 23-13,1,,—
66,Butler 16-17,2,,—
67,Toledo 25-8,5,,—
68,UNC-Green. 29-7,8,,—
69,Vermont 27-7,2,,—
70,Dayton 21-12,1,,—
71,UC Irvine 31-6,3,,—
72,Oklahoma St. 12-20,7,,—
73,San Fran. 21-10,1,,—
74,Missouri 15-17,3,,—
75,St. John's 21-13,2,,—
76,Hofstra 27-8,—,,—
77,Providence 18-16,7,,—
78,Yale 22-8,8,,—
79,South Carolina 16-16,2,,—
80,Texas A&M 14-18,4,,—
81,Davidson 24-10,6,,—
82,Fresno St. 23-9,2,,—
83,South Florida 24-14,16,,—
84,Georgetown 19-14,2,,—
85,Oregon St. 18-13,2,,—
86,Northeastern 23-11,8,,—
87,USC 16-17,1,,—
88,Northwestern 13-19,1,,—
89,BYU 19-13,4,,—
90,ETSU 24-10,18,,—
91,Connecticut 16-17,4,,—
92,Arizona 17-15,1,,—
93,Tulsa 18-14,1,,—
94,SMU 15-17,4,,—
95,Miami (Fla.) 14-18,3,,—
96,Rutgers 14-17,5,,—
97,Utah 17-14,8,,—
98,San Diego 21-15,1,,—
99,S. Dak. St. 24-9,5,,—
100,Utah Valley 25-10,10,,—
101,Old Dominion 26-9,1,,—
102,So. Miss 20-13,11,,—
103,Stanford 15-16,5,,—
104,Grand Canyon 20-14,8,,—
105,Illinois 12-21,4,,—
106,W. Virginia 15-21,—,,—
107,Saint Louis 23-13,4,,—
108,Charleston 24-9,1,,—
109,DePaul 19-17,7,,—
110,Penn 19-12,—,,—
111,Notre Dame 14-19,1,,—
112,N. Kentucky 26-9,3,,—
113,W. Kentucky 20-14,2,,—
114,UCLA 17-16,6,,—
115,Georgia 11-21,7,,—
116,San Diego St 21-13,—,,—
117,Harvard 19-12,12,,—
118,St. Bona. 18-16,—,,—
119,Akron 17-16,5,,—
120,Pittsburgh 14-19,3,,—
121,Bowling Green 22-12,4,,—
122,C. Michigan 23-12,9,,—
123,Louisiana Tech 20-13,4,,—
124,Montana 26-9,—,,—
125,Jax. State 24-9,5,,—
126,Georgia St. 24-10,5,,—
127,Georgia Tech 14-18,1,,—
128,Ga. Southern 21-12,3,,—
129,Colgate 24-11,3,,—
130,Austin Peay 22-11,5,,—
131,Loyola-Chi. 20-14,3,,—
132,Drake 24-10,5,,—
133,Ball St. 16-17,2,,—
134,Boston College 14-17,2,,—
135,UAB 20-15,2,,—
136,Wright St. 21-14,4,,—
137,Radford 22-11,7,,—
138,Rhode Island 18-15,1,,—
139,Texas St. 24-10,5,,—
140,N. Illinois 17-17,1,,—
142,S. Illinois 17-15,1,,—
142,LMU 22-12,—,,—
143,UT-San Antonio 17-15,2,,—
144,Kent St. 22-11,6,,—
145,UL-Monroe 19-16,6,,—
146,Marshall 23-14,2,,—
147,North Texas 21-12,—,,—
148,Miami (Ohio) 15-17,2,,—
149,Boise St. 13-20,—,,—
150,Brown 20-12,5,,—
151,Bucknell 21-12,1,,—
152,FAU 17-16,2,,—
153,Coastal Carolina 17-17,10,,—
154,George Mason 18-15,1,,—
155,Vanderbilt 9-23,—,,—
156,Stony Brook 24-9,—,,—
157,Abilene Chr. 27-7,3,,—
158,Lehigh 20-11,1,,—
159,UNLV 17-14,2,,—
160,UT-Arlington 17-16,1,,—
161,Samford 17-16,1,,—
162,E. Michigan 15-17,4,,—
163,Missouri St. 16-16,1,,—
164,UCSB 22-10,—,,—
165,Pepperdine 16-18,1,,—
166,G-Webb 23-12,7,,—
167,N. Colorado 21-11,2,,—
168,Cal Baptist 16-15,3,,—
169,Duquesne 19-13,1,,—
170,Northern Iowa 16-18,3,,—
171,Saint Joseph's 14-19,—,,—
172,Winthrop 18-12,7,,—
173,Hampton 18-17,36,,—
174,Sam Hou. St. 21-12,—,,—
175,American 15-15,2,,—
176,Bradley 20-15,—,,—
177,Ohio 14-17,2,,—
178,Neb.-Omaha 21-11,—,,—
179,N.J. Tech 22-13,7,,—
180,Presbyterian 20-16,24,,—
181,North Florida 16-17,9,,—
182,Weber St. 18-15,—,,—
183,Princeton 16-12,3,,—
184,Santa Clara 16-15,3,,—
185,UT-Rio Grande Valley 20-17,17,,—
186,FIU 20-14,1,,—
187,Wake Forest 11-20,3,,—
188,Hartford 18-15,5,,—
189,Charleston So. 18-16,8,,—
190,Green Bay 21-17,31,,—
191,New Mexico 14-18,6,,—
192,Hawaii 18-13,4,,—
193,Colorado St. 12-20,4,,—
194,Louisiana 19-13,2,,—
195,William & Mary 14-17,2,,—
196,Richmond 13-20,2,,—
197,IUPUI 16-17,10,,—
198,Valparaiso 15-18,7,,—
199,Columbia 10-18,3,,—
200,Cornell 15-16,5,,—
201,Seattle 18-15,15,,—
202,Washington St. 11-21,4,,—
203,Rider 16-15,2,,—
204,Indiana St. 15-16,6,,—
205,Texas So. 24-14,25,,—
206,Prairie View 22-13,1,,—
207,Iona 17-16,5,,—
208,Illinois St. 17-16,9,,—
209,Oakland 16-17,2,,—
210,Evansville 11-21,2,,—
211,Ill.-Chicago 16-16,4,,—
212,F. Dickinson 21-14,9,,—
213,Campbell 20-13,10,,—
214,CSFullerton 16-18,14,,—
215,App. St. 11-21,2,,—
216,Pacific 14-18,6,,—
217,Rice 13-19,5,,—
218,La Salle 10-21,4,,—
219,Cal-Baker. 18-16,1,,—
220,Dartmouth 11-19,3,,—
221,PFW 18-15,2,,—
222,Lamar 20-13,2,,—
223,Mercer 11-20,7,,—
224,N. Dak. St. 19-16,2,,—
225,California 8-23,4,,—
226,FGCU 14-18,1,,—
227,Massachusetts 11-21,3,,—
228,UMBC 21-13,2,,—
229,Boston U. 15-18,1,,—
230,South Dakota 13-17,1,,—
231,High Point 16-15,9,,—
232,UMKC 11-21,7,,—
233,Detroit 11-20,2,,—
234,Holy Cross 16-17,2,,—
235,Drexel 13-19,2,,—
236,South Alabama 17-17,1,,—
237,Little Rock 10-21,1,,—
238,LBSU 15-19,4,,—
239,Army 13-19,—,,—
240,Delaware 17-16,2,,—
241,Sacred Heart 15-17,—,,—
242,E. Washington 16-18,3,,—
243,Quinnipiac 16-15,1,,—
