,,,,,,,,,,,
TEAM,CONF,W-L,BPI,BPI RK,TREND,OFF,DEF,OVR W-L,CONF W-L,WIN CONF%,REM SOS RK
Virginia Cavaliers,ACC,35-3,23.2,1,--,12.2,11,35.0-3.0,16.0-2.0,>99.9%,-
Gonzaga Bulldogs,WCC,33-4,23.1,2,--,14,9,33.0-4.0,16.0-0.0,>99.9%,-
Duke Blue Devils,ACC,32-6,21.3,3,--,10.9,10.4,32.0-6.0,14.0-4.0,<0.1%,-
Michigan State Spartans,Big Ten,32-7,19.8,4,--,10.7,9.1,32.0-7.0,16.0-4.0,>99.9%,-
North Carolina Tar Heels,ACC,29-7,18.9,5,--,10.7,8.2,29.0-7.0,16.0-2.0,>99.9%,-
Texas Tech Red Raiders,Big 12,31-7,18.8,6,--,6.2,12.6,31.0-7.0,14.0-4.0,>99.9%,-
Kentucky Wildcats,SEC,30-7,18.3,7,--,9.4,8.8,30.0-7.0,15.0-3.0,<0.1%,-
Michigan Wolverines,Big Ten,30-7,17.8,8,--,6.3,11.5,30.0-7.0,15.0-5.0,<0.1%,-
Purdue Boilermakers,Big Ten,26-10,17.4,9,--,11.8,5.6,26.0-10.0,16.0-4.0,>99.9%,-
Tennessee Volunteers,SEC,31-6,17.1,10,--,11.4,5.7,31.0-6.0,15.0-3.0,<0.1%,-
Virginia Tech Hokies,ACC,26-9,16.5,11,--,9.9,6.7,26.0-9.0,12.0-6.0,<0.1%,-
Auburn Tigers,SEC,30-10,16.4,12,--,10.5,5.9,30.0-10.0,11.0-7.0,<0.1%,-
Houston Cougars,American,33-4,15.9,13,--,7.7,8.1,33.0-4.0,16.0-2.0,>99.9%,-
Florida State Seminoles,ACC,29-8,14.6,14,--,5.9,8.7,29.0-8.0,13.0-5.0,<0.1%,-
Iowa State Cyclones,Big 12,23-12,14.5,15,--,9,5.5,23.0-12.0,9.0-9.0,<0.1%,-
Wofford Terriers,Southern,30-5,14.3,16,1,9.9,4.4,30.0-5.0,18.0-0.0,>99.9%,-
Wisconsin Badgers,Big Ten,23-11,14.3,17,1,5,9.4,23.0-11.0,14.0-6.0,<0.1%,-
Kansas Jayhawks,Big 12,26-10,14.2,18,--,6.9,7.3,26.0-10.0,12.0-6.0,<0.1%,-
Louisville Cardinals,ACC,20-14,13.4,19,--,6.8,6.6,20.0-14.0,10.0-8.0,<0.1%,-
Mississippi State Bulldogs,SEC,23-11,12.9,20,--,8.7,4.2,23.0-11.0,10.0-8.0,<0.1%,-
Nevada Wolf Pack,Mountain West,29-5,12.9,21,--,7.1,5.7,29.0-5.0,15.0-3.0,>99.9%,-
Kansas State Wildcats,Big 12,25-9,12.7,22,1,2.8,9.9,25.0-9.0,14.0-4.0,>99.9%,-
LSU Tigers,SEC,28-7,12.7,23,1,8.5,4.2,28.0-7.0,16.0-2.0,>99.9%,-
Buffalo Bulls,MAC,32-4,12.6,24,2,7,5.6,32.0-4.0,16.0-2.0,>99.9%,-
Villanova Wildcats,Big East,26-10,12.5,25,--,8.5,4,26.0-10.0,13.0-5.0,>99.9%,-
