,,,,,,,,,,,
TEAM,CONF,W-L,BPI,BPI RK,TREND,OFF,DEF,OVR W-L,CONF W-L,WIN CONF%,REM SOS RK
Maryland Terrapins,Big Ten,23-11,12,26,--,6.1,5.9,23.0-11.0,13.0-7.0,<0.1%,-
Cincinnati Bearcats,American,28-7,11.8,27,--,5.2,6.7,28.0-7.0,14.0-4.0,<0.1%,-
Texas Longhorns,Big 12,21-16,11.8,28,4,5.8,6,21.0-16.0,8.0-10.0,<0.1%,-
NC State Wolfpack,ACC,24-12,11.7,29,1,7,4.6,24.0-12.0,9.0-9.0,<0.1%,-
Florida Gators,SEC,20-16,11.6,30,--,4.4,7.2,20.0-16.0,9.0-9.0,<0.1%,-
Oregon Ducks,Pac-12,25-13,11.6,31,2,3.7,7.8,25.0-13.0,10.0-8.0,<0.1%,-
Marquette Golden Eagles,Big East,24-10,11.5,32,1,5.7,5.8,24.0-10.0,12.0-6.0,<0.1%,-
Clemson Tigers,ACC,20-14,10.9,33,--,3,7.9,20.0-14.0,9.0-9.0,<0.1%,-
Oklahoma Sooners,Big 12,20-14,10.6,34,--,4,6.6,20.0-14.0,7.0-11.0,<0.1%,-
Syracuse Orange,ACC,20-14,10.5,35,1,3.8,6.7,20.0-14.0,10.0-8.0,<0.1%,-
UCF Knights,American,24-9,10.5,36,1,4.5,6,24.0-9.0,13.0-5.0,<0.1%,-
Iowa Hawkeyes,Big Ten,23-12,10.5,37,2,8.9,1.6,23.0-12.0,10.0-10.0,<0.1%,-
Saint Mary's Gaels,WCC,22-12,10.4,38,--,7.3,3.1,22.0-12.0,11.0-5.0,<0.1%,-
Baylor Bears,Big 12,20-14,10.3,39,1,6.7,3.6,20.0-14.0,10.0-8.0,<0.1%,-
Nebraska Cornhuskers,Big Ten,19-17,10.2,40,1,5.7,4.5,19.0-17.0,6.0-14.0,<0.1%,-
VCU Rams,A 10,25-8,10,41,--,0.1,9.9,25.0-8.0,16.0-2.0,>99.9%,-
Ohio State Buckeyes,Big Ten,20-15,9.8,42,--,3.5,6.3,20.0-15.0,8.0-12.0,<0.1%,-
TCU Horned Frogs,Big 12,23-14,9.5,43,--,4.2,5.3,23.0-14.0,7.0-11.0,<0.1%,-
Belmont Bruins,OVC,27-6,9.4,44,--,7.5,1.9,27.0-6.0,16.0-2.0,>99.9%,-
Indiana Hoosiers,Big Ten,19-16,9,45,1,3.1,5.9,19.0-16.0,8.0-12.0,<0.1%,-
Murray State Racers,OVC,28-5,9,46,3,5.8,3.2,28.0-5.0,16.0-2.0,>99.9%,-
Lipscomb Bisons,ASUN,29-8,8.9,47,2,4.9,4.1,29.0-8.0,14.0-2.0,>99.9%,-
Penn State Nittany Lions,Big Ten,14-18,8.9,48,1,2.3,6.6,14.0-18.0,7.0-13.0,<0.1%,-
Utah State Aggies,Mountain West,28-7,8.9,49,1,4.5,4.4,28.0-7.0,15.0-3.0,>99.9%,-
Creighton Bluejays,Big East,20-15,8.8,50,--,6.4,2.4,20.0-15.0,9.0-9.0,<0.1%,-
Ole Miss Rebels,SEC,20-13,8.7,51,--,5.2,3.5,20.0-13.0,10.0-8.0,<0.1%,-
Washington Huskies,Pac-12,27-9,8.7,52,--,2.3,6.4,27.0-9.0,15.0-3.0,>99.9%,-
Minnesota Golden Gophers,Big Ten,22-14,8.1,53,--,3.7,4.4,22.0-14.0,9.0-11.0,<0.1%,-
Dayton Flyers,A 10,21-12,8.1,54,--,5.4,2.7,21.0-12.0,13.0-5.0,<0.1%,-
Vermont Catamounts,Am. East,27-7,7.9,55,--,4.3,3.6,27.0-7.0,14.0-2.0,>99.9%,-
New Mexico State Aggies,WAC,30-5,7.9,56,--,5.3,2.6,30.0-5.0,15.0-1.0,>99.9%,-
Seton Hall Pirates,Big East,20-14,7.7,57,--,3.1,4.6,20.0-14.0,9.0-9.0,<0.1%,-
Liberty Flames,ASUN,29-7,7.5,58,3,4.2,3.3,29.0-7.0,14.0-2.0,>99.9%,-
Furman Paladins,Southern,25-8,7.5,59,1,3.5,4,25.0-8.0,13.0-5.0,<0.1%,-
Arizona State Sun Devils,Pac-12,23-11,7.4,60,1,3.5,4,23.0-11.0,12.0-6.0,<0.1%,-
Arkansas Razorbacks,SEC,18-16,7.4,61,1,3,4.4,18.0-16.0,8.0-10.0,<0.1%,-
San Francisco Dons,WCC,21-10,7.1,62,--,5,2.2,21.0-10.0,9.0-7.0,<0.1%,-
Toledo Rockets,MAC,25-8,7.1,63,--,3.8,3.2,25.0-8.0,13.0-5.0,<0.1%,-
Memphis Tigers,American,22-14,7.1,64,--,3.4,3.6,22.0-14.0,11.0-7.0,<0.1%,-
Xavier Musketeers,Big East,19-16,6.9,65,--,4.8,2.1,19.0-16.0,9.0-9.0,<0.1%,-
Butler Bulldogs,Big East,16-17,6.9,66,--,5,1.9,16.0-17.0,7.0-11.0,<0.1%,-
Alabama Crimson Tide,SEC,18-16,6.9,67,--,2.5,4.4,18.0-16.0,8.0-10.0,<0.1%,-
Fresno State Bulldogs,Mountain West,23-9,6.7,68,--,3.5,3.2,23.0-9.0,13.0-5.0,<0.1%,-
Temple Owls,American,23-10,6.6,69,--,3.7,2.9,23.0-10.0,13.0-5.0,<0.1%,-
Northwestern Wildcats,Big Ten,13-19,6.6,70,--,-0.1,6.6,13.0-19.0,4.0-16.0,<0.1%,-
East Tennessee State Buccaneers,Southern,24-10,6.5,71,1,3.8,2.7,24.0-10.0,13.0-5.0,<0.1%,-
Miami Hurricanes,ACC,14-18,6.5,72,1,4.4,2.2,14.0-18.0,5.0-13.0,<0.1%,-
Yale Bulldogs,Ivy,22-8,6.4,73,--,4.8,1.6,22.0-8.0,10.0-4.0,>99.9%,-
Hofstra Pride,CAA,27-8,6.3,74,--,8.6,-2.3,27.0-8.0,15.0-3.0,>99.9%,-
Providence Friars,Big East,18-16,6.3,75,1,1.1,5.1,18.0-16.0,7.0-11.0,<0.1%,-
St. John's Red Storm,Big East,21-13,6.2,76,1,4,2.3,21.0-13.0,8.0-10.0,<0.1%,-
Wichita State Shockers,American,22-15,6,77,--,1.7,4.3,22.0-15.0,10.0-8.0,<0.1%,-
South Carolina Gamecocks,SEC,16-16,6,78,--,1.7,4.3,16.0-16.0,11.0-7.0,<0.1%,-
Davidson Wildcats,A 10,24-10,5.8,79,--,3.1,2.7,24.0-10.0,14.0-4.0,<0.1%,-
UNC Greensboro Spartans,Southern,29-7,5.7,80,2,2,3.7,29.0-7.0,15.0-3.0,<0.1%,-
Colorado Buffaloes,Pac-12,23-13,5.7,81,1,1.2,4.5,23.0-13.0,10.0-8.0,<0.1%,-
South Dakota State Jackrabbits,Summit,24-9,5.5,82,1,6,-0.4,24.0-9.0,14.0-2.0,>99.9%,-
Missouri Tigers,SEC,15-17,5.5,83,--,1.7,3.8,15.0-17.0,5.0-13.0,<0.1%,-
USC Trojans,Pac-12,16-17,5.5,84,2,4.1,1.4,16.0-17.0,8.0-10.0,<0.1%,-
UC Irvine Anteaters,Big West,31-6,5.5,85,1,1.1,4.4,31.0-6.0,15.0-1.0,>99.9%,-
Rutgers Scarlet Knights,Big Ten,14-17,5.3,86,1,0.6,4.7,14.0-17.0,7.0-13.0,<0.1%,-
San Diego Toreros,WCC,21-15,5.2,87,--,1.9,3.3,21.0-15.0,7.0-9.0,<0.1%,-
Oregon State Beavers,Pac-12,18-13,5.2,88,--,4.7,0.5,18.0-13.0,10.0-8.0,<0.1%,-
West Virginia Mountaineers,Big 12,15-21,5,89,3,3.9,1.2,15.0-21.0,4.0-14.0,<0.1%,-
Northeastern Huskies,CAA,23-11,5,90,1,5.1,-0.1,23.0-11.0,14.0-4.0,<0.1%,-
Northern Kentucky Norse,Horizon,26-9,5,91,--,2.8,2.1,26.0-9.0,13.0-5.0,>99.9%,-
Arizona Wildcats,Pac-12,17-15,4.9,92,2,1.2,3.6,17.0-15.0,8.0-10.0,<0.1%,-
Illinois Fighting Illini,Big Ten,12-21,4.9,93,--,2.5,2.4,12.0-21.0,7.0-13.0,<0.1%,-
BYU Cougars,WCC,19-13,4.8,94,2,4.7,0.1,19.0-13.0,11.0-5.0,<0.1%,-
Notre Dame Fighting Irish,ACC,14-19,4.8,95,5,2.8,2,14.0-19.0,3.0-15.0,<0.1%,-
Georgetown Hoyas,Big East,19-14,4.7,96,1,3.3,1.4,19.0-14.0,9.0-9.0,<0.1%,-
Pittsburgh Panthers,ACC,14-19,4.7,97,--,0.2,4.5,14.0-19.0,3.0-15.0,<0.1%,-
UConn Huskies,American,16-17,4.5,98,--,3.1,1.4,16.0-17.0,6.0-12.0,<0.1%,-
Saint Louis Billikens,A 10,23-13,4.5,99,--,-1,5.5,23.0-13.0,10.0-8.0,<0.1%,-
SMU Mustangs,American,15-17,4.5,100,--,5.4,-1,15.0-17.0,6.0-12.0,<0.1%,-
Texas A&M Aggies,SEC,14-18,4.3,101,--,1.9,2.4,14.0-18.0,6.0-12.0,<0.1%,-
Georgia Southern Eagles,Sun Belt,21-12,4.3,102,--,3.4,0.8,21.0-12.0,12.0-6.0,<0.1%,-
San Diego State Aztecs,Mountain West,21-13,4.1,103,2,0.6,3.4,21.0-13.0,11.0-7.0,<0.1%,-
Austin Peay Governors,OVC,22-11,4.1,104,1,4.3,-0.3,22.0-11.0,13.0-5.0,<0.1%,-
UCLA Bruins,Pac-12,17-16,4,105,1,3.3,0.7,17.0-16.0,9.0-9.0,<0.1%,-
Oklahoma State Cowboys,Big 12,12-20,3.9,106,2,2.4,1.6,12.0-20.0,5.0-13.0,<0.1%,-
Georgia Tech Yellow Jackets,ACC,14-18,3.9,107,1,-2.1,5.9,14.0-18.0,6.0-12.0,<0.1%,-
South Florida Bulls,American,24-14,3.6,108,10,-1.1,4.6,24.0-14.0,8.0-10.0,<0.1%,-
Old Dominion Monarchs,C-USA,26-9,3.6,109,--,-1.9,5.5,26.0-9.0,13.0-5.0,>99.9%,-
St. Bonaventure Bonnies,A 10,18-16,3.6,110,--,-1.2,4.8,18.0-16.0,12.0-6.0,<0.1%,-
Georgia State Panthers,Sun Belt,24-10,3.5,111,--,2.9,0.7,24.0-10.0,13.0-5.0,>99.9%,-
DePaul Blue Demons,Big East,19-17,3.4,112,5,4.4,-1,19.0-17.0,7.0-11.0,<0.1%,-
Grand Canyon Lopes,WAC,20-14,3.4,113,1,1.9,1.5,20.0-14.0,10.0-6.0,<0.1%,-
Harvard Crimson,Ivy,19-12,3.4,114,1,0.8,2.6,19.0-12.0,10.0-4.0,>99.9%,-
Boston College Eagles,ACC,14-17,3.4,115,3,2.2,1.1,14.0-17.0,5.0-13.0,<0.1%,-
Jacksonville State Gamecocks,OVC,24-9,3.3,116,1,0.4,2.9,24.0-9.0,15.0-3.0,<0.1%,-
Loyola Chicago Ramblers,MVC,20-14,3.2,117,1,0.3,2.9,20.0-14.0,12.0-6.0,>99.9%,-
Pennsylvania Quakers,Ivy,19-12,3.2,118,2,0.2,2.9,19.0-12.0,7.0-7.0,<0.1%,-
Texas State Bobcats,Sun Belt,24-10,3.1,119,2,-0.9,4,24.0-10.0,12.0-6.0,<0.1%,-
Western Kentucky Hilltoppers,C-USA,20-14,3.1,120,1,0.5,2.6,20.0-14.0,11.0-7.0,<0.1%,-
Stanford Cardinal,Pac-12,15-16,3.1,121,1,-0.7,3.8,15.0-16.0,8.0-10.0,<0.1%,-
Charleston Cougars,CAA,24-9,3.1,122,1,2.8,0.2,24.0-9.0,12.0-6.0,<0.1%,-
Akron Zips,MAC,17-16,3,123,2,-2.7,5.8,17.0-16.0,8.0-10.0,<0.1%,-
Montana Grizzlies,Big Sky,26-9,3,124,3,2.5,0.6,26.0-9.0,16.0-4.0,>99.9%,-
Wright State Raiders,Horizon,21-14,3,125,1,1.3,1.7,21.0-14.0,13.0-5.0,>99.9%,-
Ball State Cardinals,MAC,16-17,2.9,126,--,0.4,2.5,16.0-17.0,6.0-12.0,<0.1%,-
Tulsa Golden Hurricane,American,18-14,2.8,127,--,0.9,2,18.0-14.0,8.0-10.0,<0.1%,-
Utah Utes,Pac-12,17-14,2.8,128,--,5.7,-2.8,17.0-14.0,11.0-7.0,<0.1%,-
Georgia Bulldogs,SEC,11-21,2.6,129,--,0.6,2.1,11.0-21.0,2.0-16.0,<0.1%,-
Boise State Broncos,Mountain West,13-20,2.6,130,1,2.4,0.1,13.0-20.0,7.0-11.0,<0.1%,-
Colgate Raiders,Patriot,24-11,2.6,131,1,3.5,-1,24.0-11.0,13.0-5.0,>99.9%,-
Rhode Island Rams,A 10,18-15,2.5,132,1,-0.1,2.6,18.0-15.0,9.0-9.0,<0.1%,-
Bowling Green Falcons,MAC,22-12,2.5,133,3,1.4,1.1,22.0-12.0,12.0-6.0,<0.1%,-
Loyola Marymount Lions,WCC,22-12,2.4,134,--,-0.5,2.9,22.0-12.0,8.0-8.0,<0.1%,-
Southern Miss Golden Eagles,C-USA,20-13,2.4,135,1,1.3,1.1,20.0-13.0,11.0-7.0,<0.1%,-
Utah Valley Wolverines,WAC,25-10,2.4,136,1,2.7,-0.3,25.0-10.0,12.0-4.0,<0.1%,-
Drake Bulldogs,MVC,24-10,2.3,137,--,1.2,1,24.0-10.0,12.0-6.0,>99.9%,-
Bucknell Bison,Patriot,21-12,2.2,138,--,1.5,0.7,21.0-12.0,13.0-5.0,>99.9%,-
Radford Highlanders,Big South,22-11,2.2,139,--,2.7,-0.5,22.0-11.0,12.0-4.0,>99.9%,-
Gardner-Webb Runnin' Bulldogs,Big South,23-12,2,140,--,2.3,-0.3,23.0-12.0,10.0-6.0,<0.1%,-
UC Santa Barbara Gauchos,Big West,22-10,1.4,141,2,1.5,-0.1,22.0-10.0,10.0-6.0,<0.1%,-
Brown Bears,Ivy,20-12,1.4,142,--,-2,3.4,20.0-12.0,7.0-7.0,<0.1%,-
UL Monroe Warhawks,Sun Belt,19-16,1.4,143,2,5,-3.6,19.0-16.0,9.0-9.0,<0.1%,-
Louisiana Tech Bulldogs,C-USA,20-13,1.4,144,1,0.6,0.8,20.0-13.0,9.0-9.0,<0.1%,-
Southern Illinois Salukis,MVC,17-15,1.3,145,1,-0.2,1.6,17.0-15.0,10.0-8.0,<0.1%,-
UNLV Rebels,Mountain West,17-14,1.3,146,1,2,-0.7,17.0-14.0,11.0-7.0,<0.1%,-
George Mason Patriots,A 10,18-15,1.2,147,1,0.1,1.1,18.0-15.0,11.0-7.0,<0.1%,-
Central Michigan Chippewas,MAC,23-12,1.2,148,2,3.3,-2.1,23.0-12.0,10.0-8.0,<0.1%,-
North Texas Mean Green,C-USA,21-12,1,149,--,-1.9,3,21.0-12.0,8.0-10.0,<0.1%,-
Abilene Christian Wildcats,Southland,27-7,1,150,--,0.2,0.9,27.0-7.0,14.0-4.0,<0.1%,-
Stony Brook Seawolves,Am. East,24-9,1,151,--,-2.7,3.8,24.0-9.0,12.0-4.0,<0.1%,-
Vanderbilt Commodores,SEC,9-23,0.9,152,1,-0.7,1.7,9.0-23.0,0.0-18.0,<0.1%,-
Northern Illinois Huskies,MAC,17-17,0.9,153,1,1.6,-0.7,17.0-17.0,8.0-10.0,<0.1%,-
Pepperdine Waves,WCC,16-18,0.6,154,1,2.1,-1.5,16.0-18.0,6.0-10.0,<0.1%,-
Samford Bulldogs,Southern,17-16,0.6,155,2,0.7,-0.1,17.0-16.0,6.0-12.0,<0.1%,-
Northern Colorado Bears,Big Sky,21-11,0.6,156,2,1.2,-0.6,21.0-11.0,15.0-5.0,<0.1%,-
Coastal Carolina Chanticleers,Sun Belt,17-17,0.6,157,1,1.8,-1.3,17.0-17.0,9.0-9.0,<0.1%,-
Purdue Fort Wayne Mastodons,Summit,18-15,0.6,158,2,3.2,-2.7,18.0-15.0,9.0-7.0,<0.1%,-
Kent State Golden Flashes,MAC,22-11,0.5,159,--,2.3,-1.8,22.0-11.0,11.0-7.0,<0.1%,-
Miami (OH) Redhawks,MAC,15-17,0.4,160,--,-0.3,0.7,15.0-17.0,7.0-11.0,<0.1%,-
Lehigh Mountain Hawks,Patriot,20-11,0.3,161,--,3.1,-2.8,20.0-11.0,12.0-6.0,<0.1%,-
Duquesne Dukes,A 10,19-13,0.2,162,--,0.3,-0.1,19.0-13.0,10.0-8.0,<0.1%,-
Omaha Mavericks,Summit,21-11,0.1,163,--,4.4,-4.3,21.0-11.0,13.0-3.0,<0.1%,-
Winthrop Eagles,Big South,18-12,-0.1,164,1,2.5,-2.6,18.0-12.0,10.0-6.0,<0.1%,-
Marshall Thundering Herd,C-USA,23-14,-0.2,165,9,1.7,-1.8,23.0-14.0,11.0-7.0,<0.1%,-
Campbell Fighting Camels,Big South,20-13,-0.2,166,1,2.4,-2.5,20.0-13.0,12.0-4.0,>99.9%,-
Wake Forest Demon Deacons,ACC,11-20,-0.2,167,3,0.3,-0.5,11.0-20.0,4.0-14.0,<0.1%,-
Presbyterian Blue Hose,Big South,20-16,-0.2,168,2,2.6,-2.9,20.0-16.0,9.0-7.0,<0.1%,-
Charleston Southern Buccaneers,Big South,18-16,-0.3,169,--,-1.9,1.7,18.0-16.0,9.0-7.0,<0.1%,-
UAB Blazers,C-USA,20-15,-0.4,170,--,0.7,-1,20.0-15.0,10.0-8.0,<0.1%,-
Bradley Braves,MVC,20-15,-0.4,171,3,-2,1.6,20.0-15.0,9.0-9.0,<0.1%,-
Missouri State Bears,MVC,16-16,-0.4,172,1,-0.1,-0.3,16.0-16.0,10.0-8.0,<0.1%,-
Princeton Tigers,Ivy,16-12,-0.5,173,1,-2.6,2.2,16.0-12.0,8.0-6.0,<0.1%,-
Richmond Spiders,A 10,13-20,-0.5,174,1,3.1,-3.6,13.0-20.0,6.0-12.0,<0.1%,-
Saint Joseph's Hawks,A 10,14-19,-0.6,175,1,0.8,-1.5,14.0-19.0,6.0-12.0,<0.1%,-
Hampton Pirates,Big South,18-17,-0.6,176,2,0.7,-1.3,18.0-17.0,9.0-7.0,<0.1%,-
NJIT Highlanders,ASUN,22-13,-0.8,177,2,-1.7,0.9,22.0-13.0,8.0-8.0,<0.1%,-
Iona Gaels,MAAC,17-16,-0.8,178,2,2.4,-3.1,17.0-16.0,12.0-6.0,>99.9%,-
Hartford Hawks,Am. East,18-15,-0.8,179,2,2.3,-3.1,18.0-15.0,10.0-6.0,<0.1%,-
Louisiana Ragin' Cajuns,Sun Belt,19-13,-0.8,180,1,1.9,-2.7,19.0-13.0,10.0-8.0,<0.1%,-
Rider Broncs,MAAC,16-15,-0.9,181,1,-0.7,-0.2,16.0-15.0,11.0-7.0,<0.1%,-
New Mexico Lobos,Mountain West,14-18,-0.9,182,1,-0.3,-0.6,14.0-18.0,7.0-11.0,<0.1%,-
Oakland Golden Grizzlies,Horizon,16-17,-1,183,1,2.9,-3.9,16.0-17.0,11.0-7.0,<0.1%,-
UT Arlington Mavericks,Sun Belt,17-16,-1,184,4,-3.3,2.3,17.0-16.0,12.0-6.0,<0.1%,-
Green Bay Phoenix,Horizon,21-17,-1.1,185,12,0.2,-1.2,21.0-17.0,10.0-8.0,<0.1%,-
Sam Houston Bearkats,Southland,21-12,-1.1,186,1,0,-1,21.0-12.0,16.0-2.0,>99.9%,-
Mercer Bears,Southern,11-20,-1.1,187,--,-0.4,-0.7,11.0-20.0,6.0-12.0,<0.1%,-
Texas Southern Tigers,SWAC,24-14,-1.1,188,4,1.6,-2.7,24.0-14.0,14.0-4.0,<0.1%,-
American University Eagles,Patriot,15-15,-1.1,189,1,-1.3,0.1,15.0-15.0,9.0-9.0,<0.1%,-
Eastern Michigan Eagles,MAC,15-17,-1.2,190,4,-1.2,0,15.0-17.0,9.0-9.0,<0.1%,-
Cal State Fullerton Titans,Big West,16-18,-1.2,191,2,-2.4,1.2,16.0-18.0,10.0-6.0,<0.1%,-
Dartmouth Big Green,Ivy,11-19,-1.2,192,1,-0.2,-1.1,11.0-19.0,2.0-12.0,<0.1%,-
North Dakota State Bison,Summit,19-16,-1.5,193,--,2.2,-3.7,19.0-16.0,9.0-7.0,<0.1%,-
Lamar Cardinals,Southland,20-13,-1.5,194,1,-0.9,-0.6,20.0-13.0,12.0-6.0,<0.1%,-
Northern Iowa Panthers,MVC,16-18,-1.5,195,1,-1.8,0.3,16.0-18.0,9.0-9.0,<0.1%,-
Fairleigh Dickinson Knights,NEC,21-14,-1.5,196,2,1.3,-2.9,21.0-14.0,12.0-6.0,>99.9%,-
Colorado State Rams,Mountain West,12-20,-1.5,197,--,2.8,-4.4,12.0-20.0,7.0-11.0,<0.1%,-
Weber State Wildcats,Big Sky,18-15,-1.6,198,2,-0.5,-1,18.0-15.0,11.0-9.0,<0.1%,-
IUPUI Jaguars,Horizon,16-17,-1.6,199,--,-0.9,-0.7,16.0-17.0,8.0-10.0,<0.1%,-
Appalachian State Mountaineers,Sun Belt,11-21,-1.9,200,--,2,-3.8,11.0-21.0,6.0-12.0,<0.1%,-
UMass Minutemen,A 10,11-21,-1.9,201,--,0.3,-2.3,11.0-21.0,4.0-14.0,<0.1%,-
UMBC Retrievers,Am. East,21-13,-2,202,--,-4.2,2.2,21.0-13.0,11.0-5.0,<0.1%,-
Columbia Lions,Ivy,10-18,-2.1,203,--,-1.2,-0.9,10.0-18.0,5.0-9.0,<0.1%,-
Seattle U Redhawks,WAC,18-15,-2.2,204,--,-1.3,-0.9,18.0-15.0,6.0-10.0,<0.1%,-
UTSA Roadrunners,C-USA,17-15,-2.2,205,2,-0.5,-1.8,17.0-15.0,11.0-7.0,<0.1%,-
Florida Atlantic Owls,C-USA,17-16,-2.3,206,1,-3.8,1.5,17.0-16.0,8.0-10.0,<0.1%,-
Hawai'i Rainbow Warriors,Big West,18-13,-2.4,207,1,0.2,-2.6,18.0-13.0,9.0-7.0,<0.1%,-
Ohio Bobcats,MAC,14-17,-2.4,208,2,-3.6,1.2,14.0-17.0,6.0-12.0,<0.1%,-
Santa Clara Broncos,WCC,16-15,-2.5,209,1,-2.2,-0.2,16.0-15.0,8.0-8.0,<0.1%,-
California Baptist Lancers,WAC,16-15,-2.5,210,2,0.4,-2.9,16.0-15.0,7.0-9.0,<0.1%,-
Long Beach State Beach,Big West,15-19,-2.5,211,2,-2.4,-0.1,15.0-19.0,8.0-8.0,<0.1%,-
North Florida Ospreys,ASUN,16-17,-2.6,212,1,-0.6,-2,16.0-17.0,9.0-7.0,<0.1%,-
Prairie View A&M Panthers,SWAC,22-13,-2.6,213,--,-1.2,-1.4,22.0-13.0,17.0-1.0,>99.9%,-
South Alabama Jaguars,Sun Belt,17-17,-2.6,214,--,-1.1,-1.6,17.0-17.0,8.0-10.0,<0.1%,-
Valparaiso Beacons,MVC,15-18,-2.8,215,--,-3.3,0.6,15.0-18.0,7.0-11.0,<0.1%,-
UIC Flames,Horizon,16-16,-2.8,216,--,-2.3,-0.5,16.0-16.0,10.0-8.0,<0.1%,-
Illinois State Redbirds,MVC,17-16,-2.9,217,1,-2,-0.9,17.0-16.0,9.0-9.0,<0.1%,-
Quinnipiac Bobcats,MAAC,16-15,-3,218,1,0.6,-3.6,16.0-15.0,11.0-7.0,<0.1%,-
St. Francis (PA) Red Flash,NEC,18-15,-3,219,--,1.1,-4.2,18.0-15.0,12.0-6.0,>99.9%,-
UT Rio Grande Valley Vaqueros,WAC,20-17,-3.1,220,--,-3.9,0.8,20.0-17.0,9.0-7.0,<0.1%,-
Boston University Terriers,Patriot,15-18,-3.1,221,2,-0.3,-2.8,15.0-18.0,7.0-11.0,<0.1%,-
La Salle Explorers,A 10,10-21,-3.2,222,1,-3,-0.2,10.0-21.0,8.0-10.0,<0.1%,-
William & Mary Tribe,CAA,14-17,-3.2,223,1,0,-3.2,14.0-17.0,10.0-8.0,<0.1%,-
Army Black Knights,Patriot,13-19,-3.2,224,2,-4.1,0.9,13.0-19.0,8.0-10.0,<0.1%,-
South Dakota Coyotes,Summit,13-17,-3.3,225,--,-2.1,-1.2,13.0-17.0,7.0-9.0,<0.1%,-
Eastern Kentucky Colonels,OVC,13-18,-3.4,226,--,-2.4,-1,13.0-18.0,6.0-12.0,<0.1%,-
Florida International Panthers,C-USA,20-14,-3.5,227,1,-1.6,-1.9,20.0-14.0,10.0-8.0,<0.1%,-
Pacific Tigers,WCC,14-18,-3.5,228,1,-2.5,-1,14.0-18.0,4.0-12.0,<0.1%,-
High Point Panthers,Big South,16-15,-3.5,229,2,-2.9,-0.7,16.0-15.0,9.0-7.0,<0.1%,-
Indiana State Sycamores,MVC,15-16,-3.6,230,1,-2.5,-1.1,15.0-16.0,7.0-11.0,<0.1%,-
Holy Cross Crusaders,Patriot,16-17,-3.6,231,1,-1.7,-1.9,16.0-17.0,6.0-12.0,<0.1%,-
