Team,SAG_rating
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
51  Missouri,82.31
52  SMU,82.01
53  NC State,81.95
54  Boise State,81.71
55  Xavier-Ohio,81.7
56  Mississippi,81.64
57  Oregon State,81.56
58  Auburn,81.46
59  VCU(Va. Commonwealth),81.42
60  Saint Louis,81.39
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
61  St. John's,81.23
62  Minnesota,81.15
63  Providence,81.06
64  Wichita State,80.99
65  Richmond,80.84
66  Saint Mary's-Cal.,80.8
67  Stanford,80.75
68  Marquette,80.73
69  Mississippi State,80.68
70  Utah,80.45
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
71  Georgetown,80.4
72  Drake,79.89
73  Colorado State,79.71
74  Northwestern,79.53
75  Dayton,79.39
76  Arizona State,79.18
77  Notre Dame,79.14
78  Davidson,79.04
79  North Texas,78.93
80  Toledo,78.44
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
81  UC Santa Barbara,78.39
82  Pittsburgh,78.39
83  Yale,78.38
84  Louisiana Tech,78.38
85  Buffalo,78.31
86  Wright State,78.3
87  Furman,78.29
88  Western Kentucky,78.18
89  Georgia,78.16
90  Nevada,77.95
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
91  Cincinnati,77.92
92  NC Greensboro,77.88
93  Butler,77.87
94  Winthrop,77.85
95  Washington State,77.69
96  Central Florida(UCF),77.68
97  Abilene Christian,77.45
98  Colgate,77.45
99  Pepperdine,77.33
100  Marshall,77.16
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
101  UAB,77.1
102  Eastern Washington,76.86
103  Ohio,76.67
104  TCU,76.62
105  Missouri State,76.61
106  San Francisco,76.55
107  Vanderbilt,76.44
108  Miami-Florida,76.44
109  Nebraska,76.37
110  Belmont,76.26
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
111  Rhode Island,76.24
112  South Dakota State,76.19
113  Loyola Marymount,76.13
114  Liberty,76.1
115  Akron,75.91
116  UC Irvine,75.9
117  South Carolina,75.8
118  Tulsa,75.72
119  Harvard,75.58
120  Grand Canyon,75.37
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
121  Massachusetts,75.22
122  Duquesne,75.19
123  Kent State,75.17
124  Texas A&M;,74.95
125  California,74.93
126  DePaul,74.89
127  Oral Roberts,74.73
128  Indiana State,74.63
129  Vermont,74.59
130  Wofford,74.57
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
131  East Tennessee State(ETS,74.53
132  Kansas State,74.29
133  Pacific,74.12
134  Weber State,74.05
135  Georgia State,73.99
136  Mercer,73.92
137  Pennsylvania,73.77
138  Temple,73.64
139  South Florida,73.49
140  Old Dominion,73.34
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
141  UC Riverside,73.31
142  Boston College,73.3
143  New Mexico State,73.29
144  George Mason,73.2
145  Wake Forest,73.2
146  Washington,73.18
147  Southern Utah,73.16
148  Bowling Green,73.1
149  Santa Clara,73.04
150  Iowa State,72.87
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
151  Drexel,72.78
152  North Dakota State,72.74
153  Northern Iowa,72.73
154  Stephen F. Austin,72.59
155  UNLV,72.58
156  Hofstra,72.52
157  UTEP,72.42
158  Bradley,72.31
159  Northeastern,72.29
160  Morehead State,72.19
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
161  UMBC,72.11
162  Coastal Carolina,72.07
163  Princeton,72.03
164  Tulane,71.92
165  Chattanooga,71.82
166  Wyoming,71.81
167  East Carolina,71.73
168  Ball State,71.71
169  Iona College,71.44
170  Eastern Kentucky,71.42
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
171  UTSA,71.21
172  Texas State,70.85
173  Jacksonville State,70.84
174  Siena,70.82
175  South Dakota,70.78
176  Fresno State,70.76
177  Murray State,70.75
178  Montana,70.64
179  Navy,70.57
180  James Madison,70.57
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
181  Cleveland State,70.54
182  Sam Houston State,70.5
183  Miami-Ohio,70.36
184  Florida Atlantic,70.33
185  Southern Illinois,70.14
186  CS Bakersfield,70.09
187  VMI,69.94
188  Brown,69.83
189  Bryant,69.79
190  Louisiana,69.7
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
191  Appalachian State,69.67
192  South Alabama,69.61
193  Rice,69.47
194  Hartford,69.46
195  Elon,69.42
196  Detroit Mercy,69.38
197  Nicholls State,69.31
198  Northern Kentucky,69.13
199  Valparaiso,69.1
200  Delaware,69.03
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
201  Montana State,68.95
202  Saint Joseph's-Pa.,68.9
203  La Salle,68.76
204  Austin Peay,68.69
205  College of Charleston,68.68
206  Monmouth-NJ,68.63
207  Gardner-Webb,68.58
208  Texas Southern,68.55
209  Hawai'i,68.49
210  Saint Peter's,68.48
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
211  Dartmouth,68.28
212  UC Davis,68.1
213  Evansville,67.95
214  Northern Colorado,67.92
215  Lipscomb,67.91
216  Albany-NY,67.81
217  Little Rock,67.67
218  San Diego,67.55
219  Norfolk State,67.55
220  Charlotte,67.51
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
221  George Washington,67.5
222  Army West Point,67.35
223  UT Arlington,67.34
224  Illinois State,67.31
225  Kansas City(UMKC),67.19
226  Mount St. Mary's,67.19
227  Oakland-Mich.,67.17
228  Radford,67.05
229  Stony Brook-NY,67.04
230  UMass Lowell,66.97
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
231  Western Carolina,66.96
232  Prairie View A&M;,66.89
233  Youngstown State,66.85
234  NC Asheville,66.82
235  Arkansas State,66.73
236  Campbell,66.58
237  Wagner,66.56
238  Milwaukee,66.56
239  The Citadel,66.52
240  Canisius,66.5
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
241  Georgia Southern,66.46
242  California Baptist,66.43
243  Portland State,66.37
244  Seattle,66.34
245  Cornell,66.26
246  Niagara,66.24
247  New Hampshire,66.2
248  NC Wilmington,66.17
249  Long Island U.(LIU),65.8
250  Morgan State,65.76
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
251  Stetson,65.76
252  Boston U.,65.76
253  Sacramento State,65.69
254  Southern Miss,65.6
255  Towson,65.54
256  Loyola-Maryland,65.51
257  Utah Valley,65.49
258  Bucknell,65.48
259  Marist,65.41
260  American U.,65.35
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
261  Green Bay,65.17
262  Longwood,65.17
263  New Mexico,65.16
264  Idaho State,64.85
265  Long Beach State,64.83
266  William & Mary,64.82
267  Bellarmine,64.77
268  Samford,64.68
269  Quinnipiac,64.62
270  Illinois-Chicago,64.41
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
271  Central Michigan,64.39
272  Merrimack,64.36
273  Fairleigh Dickinson,64.31
274  Lafayette,64.29
275  Troy,64.28
276  Columbia,64.25
277  Fla. International,64.23
278  Jackson State,64.17
279  North Dakota,64.17
280  CS Northridge,63.95
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
281  Middle Tennessee,63.86
282  UTRGV,63.83
283  CS Fullerton,63.76
284  Western Michigan,63.75
285  Eastern Michigan,63.69
286  Fairfield,63.62
287  North Florida(UNF),63.59
288  Fort Wayne(PFW),63.53
289  ULM,63.5
290  St. Francis-NY,63.47
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
291  NJIT(New Jersey Tech),63.38
292  Florida Gulf Coast,63.37
293  IUPUI,63.34
294  High Point,63.34
295  Robert Morris,63.21
296  Manhattan,63.16
297  Omaha(Neb.-Omaha),63.11
298  North Alabama,62.96
299  Northern Arizona,62.92
300  Fordham,62.85
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
301  Saint Francis-Pa.,62.83
302  New Orleans,62.76
303  NC A&T;,62.66
304  Eastern Illinois,62.48
305  Holy Cross,62.4
306  Florida A&M;,62.39
307  Sacred Heart,62.35
308  Lamar,62.34
309  SE Missouri State(SEMO),62.34
310  Rider,62.22
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
311  Jacksonville,62.07
312  Tarleton State,61.99
313  Air Force,61.96
314  Southern U.,61.62
315  Western Illinois,61.52
316  Coppin State,61.25
317  USC Upstate,61.15
318  Hampton,61.14
319  Northwestern State,61.03
320  NC Central,60.92
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
321  Bethune-Cookman,60.81
322  Tennessee State,60.76
323  Grambling State,60.72
324  Northern Illinois,60.71
325  Tennessee Tech,60.63
326  Portland,60.41
327  Lehigh,60.41
328  Central Arkansas,60.35
329  Binghamton-NY,60.33
330  SIU-Edwardsville,60.12
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
331  Maine,60.01
332  UC San Diego,59.84
333  Presbyterian College,59.82
334  Charleston Southern,59.43
335  San Jose State,59.41
336  McNeese State,58.6
337  SE Louisiana,58.44
338  Central Connecticut St.,58.41
339  Cal Poly-SLO,58.34
340  Denver,58.12
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
341  Howard,57.79
342  Texas A&M-CorpusChristi;,57.66
343  Tennessee-Martin,57.59
344  Incarnate Word,57.47
345  Houston Baptist,57.11
346  Alcorn State,56.9
347  Kennesaw State,56.21
348  Alabama A&M;,56.14
349  Idaho,56.12
350  Dixie State,56.1
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
351  SC State,53.59
352  Ark.-Pine Bluff,53.3
353  Alabama State,53.3
354  Delaware State,52.27
355  Md.-Eastern Shore(UMES),50.95
356  Chicago State,45.85
357  MVSU(Miss. Valley St.),44.83
