Team,SAG_rating
1  Gonzaga,96.76
2  Baylor,95.54
3  Illinois,92.11
4  Michigan,91.76
5  Houston,91.1
6  Iowa,90.47
7  Alabama,88.77
8  Southern California,88.37
9  Ohio State,88.32
10  Villanova,88.2
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
11  Florida State,87.75
12  Virginia,87.7
13  Arkansas,87.62
14  Kansas,87.59
15  Wisconsin,87.31
16  Colorado,87.3
17  Creighton,87.11
18  Texas Tech,87.1
19  West Virginia,87.05
20  UCLA,86.85
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
21  Texas,86.85
22  Tennessee,86.47
23  Oregon,86.4
24  LSU,86.33
25  BYU,86.18
26  Purdue,85.9
27  San Diego State,85.88
28  North Carolina,85.79
29  Oklahoma State,85.78
30  Connecticut,85.41
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
31  Duke,85.14
32  Memphis,84.93
33  Loyola-Chicago,84.92
34  Rutgers,84.83
35  Syracuse,84.59
36  Oklahoma,84.54
37  Maryland,84.4
38  Arizona,84.16
39  Georgia Tech,83.94
40  Clemson,83.92
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
41  Florida,83.88
42  Louisville,83.57
43  Penn State,83.44
44  Michigan State,83.29
45  St. Bonaventure,83.1
46  Indiana,82.9
47  Seton Hall,82.68
48  Kentucky,82.67
49  Virginia Tech,82.48
50  Utah State,82.37
FINAL College Basketball 2020-2021    Div I games only    through games of 2021 April 5 Monday - National Championship,
