Team,SAG_rating
1  Gonzaga,94.61
2  Kansas,92.07
3  Houston,91.71
4  Arizona,91.5
5  Baylor,90.95
6  Duke,90.33
7  Tennessee,90.08
8  Villanova,90.02
9  Kentucky,89.74
10  Purdue,89.7
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
11  UCLA,89.55
12  Texas Tech,89.33
13  Iowa,88.65
14  Auburn,88.61
15  Illinois,87.39
16  Arkansas,87.02
17  North Carolina,86.99
18  Connecticut,86.75
19  Texas,86.72
20  Michigan,85.98
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
21  LSU,85.97
22  Ohio State,85.61
23  Memphis,85.43
24  Saint Mary's-Cal.,85.28
25  Virginia Tech,85.17
26  Alabama,84.79
27  Wisconsin,84.69
28  Michigan State,84.65
29  Providence,84.55
30  Southern California,84.29
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
31  Oklahoma,84.06
32  Indiana,83.98
33  San Diego State,83.93
34  San Francisco,83.62
35  Xavier-Ohio,83.55
36  Seton Hall,83.49
37  TCU,83.36
38  Loyola-Chicago,83.18
39  Colorado State,83.07
40  Creighton,83.05
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
41  Oklahoma State,83.03
42  Wake Forest,82.98
43  Texas A&M;,82.88
44  Notre Dame,82.74
45  St. John's,82.62
46  Mississippi State,82.56
47  Boise State,82.55
48  Washington State,82.34
49  BYU,82.22
50  Florida,82.19
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
51  Oregon,82.19
52  Miami-Florida,82.17
53  SMU,82.11
54  Iowa State,81.98
55  Dayton,81.89
56  UAB,81.85
57  Davidson,81.85
58  Marquette,81.83
59  VCU(Va. Commonwealth),81.56
60  Colorado,81.48
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
61  Virginia,81.44
62  St. Bonaventure,81.41
63  Rutgers,81.37
64  West Virginia,81.36
65  Saint Louis,81.22
66  Syracuse,81.21
67  Maryland,81.18
68  Vanderbilt,80.89
69  Murray State,80.6
70  Clemson,80.55
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
71  Penn State,80.52
72  Utah State,80.28
73  Northwestern,80.21
74  Kansas State,80.16
75  Richmond,80.12
76  New Mexico State,79.98
77  South Dakota State,79.86
78  Arizona State,79.59
79  North Texas,79.48
80  Missouri State,79.45
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
81  Chattanooga,79.35
82  Florida State,79.27
83  Belmont,79.18
84  Santa Clara,79.13
85  Vermont,79.11
86  Drake,79
87  Wichita State,78.98
88  Wyoming,78.96
89  Toledo,78.77
90  Furman,78.6
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
91  South Carolina,78.57
92  Fresno State,78.52
93  DePaul,78.37
94  Stanford,78.26
95  Cincinnati,78.14
96  Mississippi,78.01
97  Louisiana Tech,77.71
98  Central Florida(UCF),77.67
99  Northern Iowa,77.57
100  Minnesota,77.5
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
101  Louisville,77.33
102  Grand Canyon,77.19
103  Iona College,77.1
104  Butler,77.07
105  Towson,77.01
106  Tulane,76.89
107  Washington,76.71
108  Temple,76.63
109  Utah,76.5
110  UNLV,76.44
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
111  Bradley,76.42
112  Buffalo,76.07
113  Missouri,75.79
114  Nevada,75.71
115  NC State,75.7
116  George Mason,75.63
117  Nebraska,75.52
118  Western Kentucky,75.22
119  Boston College,75.17
120  Princeton,75.12
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
121  Wofford,75.11
122  Ohio,75
123  Saint Peter's,74.99
124  Middle Tennessee,74.86
125  Rhode Island,74.85
126  Georgia Tech,74.81
127  California,74.75
128  Abilene Christian,74.68
129  Akron,74.67
130  UC Irvine,74.53
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
131  Liberty,74.41
132  Stephen F. Austin,74.4
133  Southern Illinois,74.39
134  Colgate,74.36
135  UC Santa Barbara,74.27
136  Hofstra,74.24
137  Yale,73.91
138  Kent State,73.76
139  Morehead State,73.67
140  Georgia State,73.66
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
141  Utah Valley,73.59
142  Georgetown,73.57
143  Florida Atlantic,73.51
144  Texas State,73.38
145  Tulsa,73.23
146  Montana State,73.11
147  Delaware,73.09
148  Seattle,72.96
149  Pittsburgh,72.87
150  NC Wilmington,72.78
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
151  Jacksonville State,72.71
152  North Dakota State,72.68
153  College of Charleston,72.65
154  Winthrop,72.65
155  South Alabama,72.64
156  Coastal Carolina,72.39
157  Oral Roberts,72.39
158  Monmouth-NJ,72.34
159  Drexel,72.28
160  UTEP,72.25
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
161  Southern Utah,72.2
162  UC Riverside,72.16
163  Saint Joseph's-Pa.,72.13
164  Massachusetts,72.12
165  Wagner,72.12
166  CS Fullerton,72.04
167  Longwood,71.86
168  Sam Houston State,71.84
169  Weber State,71.83
170  Loyola Marymount,71.82
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
171  East Carolina,71.75
172  New Mexico,71.73
173  Long Beach State,71.67
174  Appalachian State,71.63
175  Oregon State,71.54
176  Hawai'i,71.49
177  Wright State,71.45
178  East Tennessee State(ETS,71.44
179  NC Greensboro,71.22
180  VMI,71.17
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
181  Old Dominion,71.14
182  Louisiana,71.13
183  Mercer,71.03
184  Cleveland State,71.01
185  Navy,70.94
186  Valparaiso,70.9
187  Georgia,70.77
188  Charlotte,70.74
189  Pennsylvania,70.68
190  Oakland-Mich.,70.66
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
191  Arkansas State,70.53
192  Fordham,70.49
193  Samford,70.4
194  Northern Kentucky,70.37
195  Gardner-Webb,70.33
196  Bellarmine,70.27
197  Illinois State,70.25
198  Northern Colorado,70.06
199  Troy,69.97
200  Jacksonville,69.96
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
201  Cornell,69.96
202  Harvard,69.86
203  Norfolk State,69.83
204  Brown,69.75
205  Texas Southern,69.74
206  Rice,69.65
207  UC Davis,69.58
208  San Diego,69.56
209  Boston U.,69.56
210  South Dakota,69.55
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
211  Dartmouth,69.49
212  Florida Gulf Coast,69.44
213  Bryant,69.43
214  James Madison,69.43
215  Portland,69.32
216  Nicholls State,69.13
217  La Salle,69.11
218  Marshall,68.94
219  Niagara,68.93
220  NC Asheville,68.84
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
221  Eastern Washington,68.79
222  South Florida,68.77
223  Indiana State,68.75
224  California Baptist,68.64
225  Tarleton State,68.41
226  Detroit Mercy,68.37
227  George Washington,68.36
228  Fairfield,68.34
229  Campbell,68.29
230  Stony Brook-NY,68.26
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
231  Marist,68.22
232  UT Arlington,68.1
233  Montana,68.01
234  Kansas City(UMKC),67.98
235  UMBC,67.66
236  Northeastern,67.63
237  Miami-Ohio,67.62
238  Fort Wayne(PFW),67.52
239  Rider,67.51
240  Siena,67.36
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
241  New Hampshire,67.21
242  The Citadel,67.02
243  Eastern Kentucky,66.95
244  Georgia Southern,66.9
245  Pepperdine,66.86
246  Elon,66.84
247  Quinnipiac,66.8
248  Southern U.,66.79
249  Duquesne,66.63
250  Western Illinois,66.6
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
251  Long Island U.(LIU),66.56
252  Ball State,66.45
253  Bowling Green,66.43
254  Kennesaw State,66.24
255  UMass Lowell,66.23
256  SE Missouri State(SEMO),66.2
257  Portland State,66.17
258  Lipscomb,66.08
259  CS Bakersfield,66.06
260  Youngstown State,66.05
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
261  Fla. International,65.98
262  High Point,65.96
263  Texas A&M-CorpusChristi;,65.91
264  Canisius,65.87
265  North Florida(UNF),65.85
266  Mount St. Mary's,65.82
267  Manhattan,65.71
268  UC San Diego,65.69
269  Air Force,65.63
270  Loyola-Maryland,65.39
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
271  Pacific,65.31
272  New Orleans,65.25
273  Presbyterian College,65.11
274  Tennessee Tech,65.07
275  Illinois-Chicago,65
276  ULM,64.98
277  Hartford,64.92
278  Army West Point,64.71
279  Radford,64.68
280  San Jose State,64.67
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
281  Howard,64.66
282  Western Carolina,64.34
283  SE Louisiana,64.32
284  Tennessee State,64.29
285  Austin Peay,64.28
286  Alcorn State,64.27
287  NC A&T;,64.27
288  Merrimack,64.15
289  USC Upstate,64.02
290  Albany-NY,64.01
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
291  UTSA,63.88
292  Stetson,63.77
293  Evansville,63.76
294  Prairie View A&M;,63.75
295  Jackson State,63.66
296  Dixie State,63.44
297  Northern Illinois,63.19
298  Lehigh,63.08
299  Eastern Michigan,63.02
300  UTRGV,62.98
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
301  Little Rock,62.94
302  Cal Poly-SLO,62.9
303  Binghamton-NY,62.89
304  SIU-Edwardsville,62.68
305  NC Central,62.66
306  Denver,62.45
307  Sacramento State,62.43
308  North Alabama,62.25
309  Morgan State,62.23
310  Central Michigan,62.16
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
311  Lafayette,62.14
312  Western Michigan,62.07
313  Sacred Heart,61.88
314  Florida A&M;,61.8
315  Coppin State,61.78
316  CS Northridge,61.74
317  Grambling State,61.53
318  Milwaukee,61.48
319  American U.,61.47
320  McNeese State,61.34
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
321  Robert Morris,61.29
322  Bucknell,61.25
323  St. Francis-NY,61.11
324  Saint Francis-Pa.,60.96
325  Northern Arizona,60.87
326  Hampton,60.85
327  Alabama State,60.81
328  Idaho State,60.76
329  Central Arkansas,60.65
330  Southern Miss,60.65
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
331  Idaho,60.52
332  Tennessee-Martin,60.47
333  William & Mary,60.45
334  Green Bay,60.37
335  NJIT(New Jersey Tech),60.19
336  Northwestern State,59.98
337  Alabama A&M;,59.92
338  St. Thomas-Mn.,59.63
339  SC State,59.29
340  Bethune-Cookman,58.91
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
341  Md.-Eastern Shore(UMES),58.87
342  Houston Baptist,58.77
343  Lamar,58.51
344  Holy Cross,58.35
345  Columbia,58.34
346  Omaha(Neb.-Omaha),58.12
347  North Dakota,58.09
348  Central Connecticut St.,57.72
349  Fairleigh Dickinson,57.63
350  Chicago State,57.55
FINAL College Basketball 2021-2022    Div I games only    through games of 2022 April 4 Monday - National Championship,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
351  Maine,57.2
352  Charleston Southern,57.08
353  Incarnate Word,56.87
354  Ark.-Pine Bluff,55.39
355  Eastern Illinois,54.88
356  Delaware State,52.88
357  IUPUI,52.76
358  MVSU(Miss. Valley St.),51.52
