RANK,TEAM,TREND,,NEXT GAME,
107,"LMU


19-12",1,,—,
108,"San Fran.


20-14",—,,—,
109,"Vermont


23-10",—,,—,
110,"Colo. St.


15-18",—,,—,
111,"Princeton


22-8",5,,"Sat, Mar 18 @ 6:10 pm","@

Missouri"
112,"Wichita St.


17-15",1,,—,
113,"So. Utah


22-12",1,,"Sat, Mar 18 @ 1:00 pm","vs

N. Alabama"
114,"UNCG


20-12",1,,—,
115,"Kennesaw St.


26-8",1,,—,
116,"Charlotte


18-14",1,,"Sat, Mar 18 @ 5:30 pm","vs

W. Carolina"
117,"Middle Tenn.


19-14",—,,—,
118,"Belmont


21-11",—,,—,
119,"UMass Lowell


26-8",—,,—,
120,"S. Illinois


23-10",—,,—,
121,"CS Fullerton


20-13",—,,—,
122,"Washington


16-16",—,,—,
123,"Youngstown St.


24-10",—,,—,
124,"Ole Miss


12-21",—,,—,
125,"Temple


16-16",2,,—,
126,"Syracuse


17-15",—,,—,
127,"Hawaii


22-11",2,,—,
128,"E. Washington


23-10",—,,"Sun, Mar 19 @ 2:00 pm","@

Okla. St."
129,"Towson


21-12",—,,—,
130,"Duquesne


20-12",—,,"Sun, Mar 19 @ 1:00 pm","vs

Rice"
131,"Butler


14-18",—,,—,
132,"Cornell


17-11",—,,—,
133,"Ohio


19-14",—,,—,
134,"Fordham


25-8",—,,—,
135,"Troy


20-13",—,,—,
136,"Samford


21-11",—,,—,
137,"UC Riverside


22-12",—,,—,
138,"SF Austin


19-13",—,,—,
139,"George Mason


20-13",—,,—,
140,"UNC-Ash.


27-8",—,,—,
141,"Penn


17-13",2,,—,
142,"Missouri St.


17-15",1,,—,
143,"Seattle


20-12",1,,—,
144,"UNCW


24-10",—,,—,
145,"Davidson


16-16",1,,—,
146,"Fresno St.


11-20",1,,—,
147,"UC Davis


18-14",—,,—,
148,"Lipscomb


20-13",—,,—,
149,"Air Force


14-18",—,,—,
150,"Ball St.


20-12",—,,—,
151,"LSU


14-19",—,,—,
152,"Georgia


16-16",—,,—,
153,"Old Dominion


19-12",—,,—,
154,"N. Kentucky


22-13",—,,—,
155,"S. Dak. St.


19-13",—,,—,
156,"Utah Tech


14-19",—,,—,
157,"Stetson


17-13",—,,"Sun, Mar 19 @ 5:30 pm","vs

Milwaukee"
158,"Harvard


14-14",—,,—,
159,"Richmond


15-18",—,,—,
160,"South Florida


14-18",—,,—,
161,"LBSU


17-16",—,,—,
162,"Tarleton St.


17-16",1,,"Sun, Mar 19 @ 3:30 pm","vs

Radford"
163,"DePaul


10-23",1,,—,
164,"Portland


14-19",2,,—,
165,"E. Kentucky


20-13",—,,"Sun, Mar 19 @ 11:00 am","vs

Clev. St."
166,"Longwood


20-12",—,,—,
167,"Montana


17-14",—,,—,
168,"Boston College


16-17",—,,—,
169,"Cal Baptist


17-16",—,,—,
170,"La. Tech


15-18",—,,—,
171,"Clev. St.


21-13",—,,"Sun, Mar 19 @ 11:00 am","@

E. Kentucky"
172,"Wyoming


9-22",—,,—,
173,"Navy


18-13",—,,—,
174,"Quinnipiac


20-12",1,,—,
175,"TX A&M-CC


24-11",1,,—,
176,"Chattanooga


18-17",—,,—,
177,"W. Kentucky


17-16",—,,—,
178,"FGCU


17-15",1,,—,
179,"Ga. Tech


15-18",1,,—,
180,"Grambling


24-9",—,,—,
181,"Norfolk St.


22-11",—,,—,
182,"Bryant


17-13",—,,—,
183,"Brown


14-13",—,,—,
184,"Radford


19-14",—,,"Sun, Mar 19 @ 3:30 pm","@

Tarleton St."
185,"NC Central


18-12",—,,—,
186,"Notre Dame


11-21",—,,—,
187,"Weber St.


18-15",—,,—,
188,"East Carolina


16-17",—,,—,
189,"N. Mex. St.


9-15",—,,—,
190,"Pacific


15-18",—,,—,
191,"Drexel


17-15",—,,—,
192,"UTEP


14-18",—,,—,
193,"Buffalo


15-17",—,,—,
194,"Texas St.


16-19",1,,—,
