,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk
,,Boise State,,Mountain West,0.276,27 - 7,15 - 3,13 - 3,14 - 4,0.88 @ San Diego State,-0.70 (H) Cal State-Bakersfield,,,0.082,81
,,Connecticut,,Big East,0.261,23 - 9,13 - 6,14 - 2,9 - 7,0.81 (N) Auburn,-0.09 @ West Virginia,,,0.127,42
,,Iowa,,Big Ten,0.259,26 - 9,12 - 8,15 - 3,11 - 6,0.79 (N) Purdue,-0.15 @ Penn State,,,0.117,51
,,LSU,,SEC,0.254,22 - 11,9 - 9,15 - 2,7 - 9,0.85 (H) Tennessee,-0.31 (H) Mississippi,,,0.147,23
,,Michigan State,,Big Ten,0.251,22 - 12,11 - 9,12 - 3,10 - 9,0.93 @ Wisconsin,-0.24 (H) Northwestern,,,0.17,8
,,Creighton,,Big East,0.245,22 - 11,12 - 7,11 - 4,11 - 7,0.88 (N) Providence,-0.22 @ Butler,,,0.141,25
,,VCU,,Atlantic 10,0.242,21 - 9,14 - 4,11 - 4,10 - 5,0.81 @ Davidson,-0.11 (H) Wagner,,,0.1,62
,,Ohio State,,Big Ten,0.24,19 - 11,12 - 8,13 - 3,6 - 8,0.82 (H) Wisconsin,-0.44 (H) Nebraska,,,0.15,20
,,Memphis,,AAC,0.24,21 - 10,13 - 5,13 - 2,8 - 8,0.99 @ Houston,-0.52 @ Georgia,,,0.108,55
,,USC,,Pac-12,0.237,26 - 7,14 - 6,13 - 3,13 - 4,0.79 (N) San Diego State,-0.15 (H) Stanford,,,0.082,79
,,Seton Hall,,Big East,0.232,21 - 10,11 - 8,13 - 3,8 - 7,0.74 @ Creighton,-0.15 (H) St. John's,,,0.122,46
,,San Francisco,,WCC,0.231,24 - 9,10 - 6,14 - 4,10 - 5,0.72 @ BYU,-0.25 (H) Portland,,,0.07,88
,,North Carolina,,ACC,0.228,24 - 9,15 - 5,15 - 2,9 - 7,0.95 @ Duke,-0.42 (H) Pittsburgh,,,0.102,61
,,Texas,,Big 12,0.226,21 - 11,10 - 8,16 - 3,5 - 8,0.86 (H) Kansas,-0.22 (H) Kansas State,,,0.136,34
,,Marquette,,Big East,0.225,19 - 12,11 - 8,13 - 3,6 - 9,0.93 @ Villanova,-0.21 @ Butler,,,0.162,10
,,Michigan,,Big Ten,0.225,17 - 14,11 - 9,10 - 5,7 - 9,0.84 (H) Purdue,-0.24 (H) Minnesota,,,0.194,2
,,Davidson,,Atlantic 10,0.223,27 - 6,15 - 3,13 - 1,14 - 5,0.80 @ VCU,-0.23 @ Rhode Island,,,0.024,117
,,Wyoming,,Mountain West,0.221,25 - 8,13 - 5,14 - 1,11 - 7,0.75 (H) Colorado State,-0.24 @ New Mexico,,,0.07,89
,,Miami (FL),,ACC,0.214,23 - 10,14 - 6,10 - 5,13 - 5,0.91 @ Duke,-0.14 (H) Florida State,,,0.089,73
,,TCU,,Big 12,0.213,20 - 12,8 - 10,12 - 4,8 - 8,0.89 (H) Kansas,-0.23 (H) Kansas State,,,0.147,22
,,New Mexico State,,WAC,0.213,26 - 6,13 - 4,13 - 2,13 - 4,0.71 (N) Davidson,-0.60 @ Chicago State,,,-0.011,157
,,Murray State,,OVC,0.209,30 - 2,18 - 0,15 - 0,15 - 2,0.80 @ Belmont,-0.28 (N) East Tennessee State,,,-0.093,280
,,Xavier,,Big East,0.208,18 - 13,8 - 11,13 - 5,5 - 8,0.75 @ Creighton,-0.25 (N) Butler,,,0.156,13
,,Iowa State,,Big 12,0.205,20 - 12,7 - 11,14 - 5,6 - 7,0.76 (H) Iowa,-0.22 (H) Kansas State,,,0.129,39
,,North Texas,,C-USA,0.203,24 - 6,16 - 2,12 - 2,12 - 4,0.74 @ UAB,-0.15 (H) Buffalo,,,0,143
,,SMU,,AAC,0.202,23 - 8,13 - 4,16 - 0,7 - 8,0.81 (H) Houston,-0.35 (N) Loyola Marymount,,,0.062,98
,,St. Bonaventure,,Atlantic 10,0.2,20 - 9,12 - 5,13 - 2,7 - 7,0.74 (N) Boise State,-0.20 @ George Mason,,,0.066,90
,,Virginia Tech,,ACC,0.195,23 - 12,11 - 9,11 - 4,12 - 8,0.83 (N) Duke,-0.42 (H) North Carolina State,,,0.089,74
,,Chattanooga,,SoCon,0.19,27 - 7,14 - 4,12 - 3,15 - 4,0.80 @ VCU,-0.43 @ Western Carolina,,,0.005,137
,,Loyola (Chicago),,MVC,0.19,25 - 7,13 - 5,12 - 2,13 - 5,0.70 (N) San Francisco,-0.16 @ Bradley,,,0.008,135
,,Richmond,,Atlantic 10,0.188,23 - 12,10 - 8,11 - 4,12 - 8,0.71 (N) VCU,-0.46 (H) Saint Joseph's,,,0.077,83
,,Texas A&M,,SEC,0.186,23 - 12,9 - 9,13 - 4,10 - 8,0.83 (N) Auburn,-0.35 (H) Missouri,,,0.105,56
,,UAB,,C-USA,0.186,27 - 7,14 - 4,16 - 2,11 - 5,0.82 @ North Texas,-0.38 @ Marshall,,,-0.035,192
,,Saint Louis,,Atlantic 10,0.186,23 - 11,12 - 6,14 - 4,9 - 7,0.85 @ Boise State,-0.23 @ Massachusetts,,,0.064,93
,,Oklahoma,,Big 12,0.178,18 - 15,7 - 11,11 - 5,7 - 10,0.81 (N) Baylor,-0.27 (H) Butler,,,0.17,9
,,BYU,,WCC,0.178,22 - 10,9 - 6,12 - 2,10 - 8,0.81 (H) St. Mary's (CA),-0.58 @ Pacific,,,0.058,101
,,Dayton,,Atlantic 10,0.177,23 - 10,14 - 4,13 - 4,10 - 6,0.91 @ VCU,-0.54 (H) Austin Peay,,,0.037,114
,,Iona,,MAAC,0.175,25 - 7,17 - 3,13 - 0,12 - 7,0.67 (N) Alabama,-0.42 (N) Rider,,,0.001,141
,,Indiana,,Big Ten,0.174,20 - 13,9 - 11,14 - 4,6 - 9,0.77 (H) Purdue,-0.19 @ Northwestern,,,0.128,40
,,Oklahoma State,,Big 12,0.174,15 - 15,8 - 10,10 - 6,5 - 9,0.96 @ Baylor,-0.18 (H) Oakland,,,0.177,5
,,South Dakota State,,Summit,0.173,30 - 4,18 - 0,14 - 0,16 - 4,0.58 @ Stephen F. Austin,-0.60 @ Idaho,,,-0.078,248
,,Rutgers,,Big Ten,0.169,18 - 13,12 - 8,14 - 3,4 - 10,0.91 @ Wisconsin,-0.69 (H) Lafayette,,,0.116,53
,,Notre Dame,,ACC,0.161,22 - 10,15 - 5,14 - 1,8 - 9,0.79 (H) Kentucky,-0.34 @ Boston College,,,0.063,94
,,Oregon,,Pac-12,0.16,19 - 14,11 - 9,12 - 5,7 - 9,0.90 @ UCLA,-0.40 (H) California,,,0.098,65
,,Mississippi State,,SEC,0.158,18 - 15,8 - 10,14 - 3,4 - 12,0.75 (H) Arkansas,-0.31 (N) Louisville,,,0.137,31
,,Colorado,,Pac-12,0.157,21 - 11,12 - 8,12 - 5,9 - 6,0.91 (H) Arizona,-0.28 (N) Southern Illinois,,,0.081,82
,,Wake Forest,,ACC,0.157,23 - 9,13 - 7,16 - 2,7 - 7,0.73 @ Virginia Tech,-0.37 (N) Boston College,,,0.039,112
,,Towson,,CAA,0.156,25 - 8,15 - 3,12 - 2,13 - 6,0.61 @ Kent State,-0.47 @ Northeastern,,,0.001,140
,,Florida,,SEC,0.152,19 - 13,9 - 9,12 - 5,7 - 8,0.81 (H) Auburn,-0.32 (H) Texas Southern,,,0.123,45
,,West Virginia,,Big 12,0.151,16 - 17,4 - 14,12 - 5,4 - 12,0.76 @ UAB,-0.17 @ Kansas State,,,0.185,4
,,South Carolina,,SEC,0.149,18 - 13,9 - 9,12 - 4,6 - 9,0.68 @ Texas A&M,-0.22 @ Coastal Carolina,,,0.121,48
,,Belmont,,OVC,0.149,25 - 7,15 - 3,13 - 1,12 - 6,0.71 @ Saint Louis,-0.14 (N) Morehead State,,,-0.048,204
,,Virginia,,ACC,0.148,19 - 13,12 - 8,10 - 6,9 - 7,0.91 @ Duke,-0.34 @ North Carolina State,,,0.088,75
,,Vanderbilt,,SEC,0.147,17 - 16,7 - 11,9 - 8,8 - 8,0.84 @ Arkansas,-0.14 (H) Temple,,,0.143,24
,,UNLV,,Mountain West,0.14,18 - 14,10 - 8,14 - 4,4 - 10,0.94 @ Colorado State,-0.33 @ Air Force,,,0.087,76
,,Santa Clara,,WCC,0.137,21 - 11,10 - 5,14 - 4,7 - 7,0.79 (H) St. Mary's (CA),-0.31 @ California,,,0.054,104
,,Maryland,,Big Ten,0.133,15 - 17,7 - 13,10 - 8,5 - 9,0.72 (H) Illinois,-0.30 (N) Louisville,,,0.153,16
,,Arizona State,,Pac-12,0.131,14 - 17,10 - 10,9 - 6,5 - 11,0.76 (H) UCLA,-0.33 @ California,,,0.161,11
,,Toledo,,MAC,0.131,26 - 7,17 - 3,13 - 1,13 - 6,0.65 @ Ohio,-0.36 @ Ball State,,,-0.042,199
,,Washington State,,Pac-12,0.13,19 - 14,11 - 9,12 - 6,7 - 8,0.59 (H) Colorado,-0.33 (H) Eastern Washington,,,0.089,71
,,St. John's,,Big East,0.126,17 - 15,8 - 11,12 - 7,5 - 8,0.75 @ Seton Hall,-0.41 (H) Pittsburgh,,,0.117,50
,,Utah State,,Mountain West,0.124,18 - 15,8 - 10,9 - 6,9 - 9,0.78 (H) San Diego State,-0.42 (H) UC-Davis,,,0.097,67
,,Florida State,,ACC,0.123,17 - 14,10 - 10,11 - 4,6 - 10,0.77 (H) Duke,-0.41 (H) Pittsburgh,,,0.103,58
,,Stanford,,Pac-12,0.122,16 - 16,8 - 12,10 - 5,6 - 11,0.83 @ USC,-0.41 (H) Utah,,,0.14,27
,,Drake,,MVC,0.121,24 - 10,13 - 5,14 - 3,10 - 7,0.78 @ Loyola (Chicago),-0.23 (H) Bradley,,,-0.033,188
,,Northern Iowa,,MVC,0.121,19 - 11,14 - 4,10 - 4,9 - 7,0.73 @ St. Bonaventure,-0.33 @ Valparaiso,,,0.021,119
,,Missouri State,,MVC,0.121,23 - 10,13 - 5,12 - 4,11 - 6,0.79 @ Loyola (Chicago),-0.48 (H) SE Missouri State,,,-0.011,158
,,Vermont,,America East,0.117,28 - 5,17 - 1,16 - 0,12 - 5,0.60 @ Northern Iowa,-0.44 @ Hartford,,,-0.102,296
,,Furman,,SoCon,0.117,22 - 12,12 - 6,12 - 3,10 - 9,0.49 @ Wofford,-0.22 @ East Tennessee State,,,0.03,115
,,Grand Canyon,,WAC,0.115,23 - 8,12 - 5,15 - 2,8 - 6,0.69 (N) San Francisco,-0.34 @ Utah Tech,,,-0.048,206
,,Penn State,,Big Ten,0.114,14 - 17,7 - 13,10 - 5,4 - 12,0.69 (H) Iowa,-0.46 (H) Nebraska,,,0.158,12
,,Kansas State,,Big 12,0.113,14 - 17,6 - 12,9 - 7,5 - 10,0.73 (H) Texas Tech,-0.24 @ Mississippi,,,0.15,21
,,Stephen F. Austin,,WAC,0.112,22 - 9,14 - 4,13 - 3,9 - 6,0.80 @ New Mexico State,-0.50 (H) Louisiana-Monroe,,,-0.055,213
,,Louisiana Tech,,C-USA,0.109,24 - 10,12 - 6,13 - 3,11 - 7,0.70 (N) North Texas,-0.33 @ North Carolina State,,,-0.025,175
,,Hofstra,,CAA,0.109,21 - 11,13 - 5,12 - 2,9 - 9,0.86 @ Arkansas,-0.68 @ William & Mary,,,0.016,126
,,UCF,,AAC,0.108,18 - 12,9 - 9,13 - 3,5 - 9,0.73 @ Miami (FL),-0.53 @ South Florida,,,0.062,96
,,Clemson,,ACC,0.104,17 - 16,8 - 12,11 - 5,6 - 11,0.60 @ Virginia,-0.40 (H) Boston College,,,0.089,72
,,Washington,,Pac-12,0.101,17 - 15,11 - 9,11 - 6,6 - 9,0.72 (N) South Dakota State,-0.61 (H) Northern Illinois,,,0.098,64
,,Wichita State,,AAC,0.1,15 - 13,6 - 9,11 - 6,4 - 7,0.65 (H) SMU,-0.43 (N) Tulsa,,,0.077,84
,,Temple,,AAC,0.099,17 - 12,10 - 7,11 - 3,6 - 9,0.63 (H) SMU,-0.48 @ South Florida,,,0.061,99
,,Minnesota,,Big Ten,0.098,13 - 17,4 - 16,8 - 7,5 - 10,0.66 @ Michigan,-0.35 @ Nebraska,,,0.152,19
,,Middle Tennessee,,C-USA,0.095,23 - 10,13 - 5,15 - 0,8 - 10,0.44 (H) Winthrop,-0.30 @ Old Dominion,,,-0.026,176
,,Kent State,,MAC,0.091,23 - 10,16 - 4,11 - 4,12 - 6,0.75 @ Toledo,-0.66 (H) Central Michigan,,,-0.05,208
,,Delaware,,CAA,0.091,22 - 12,10 - 8,9 - 5,13 - 7,0.63 (N) Towson,-0.28 (H) Drexel,,,-0.014,162
,,Utah Valley,,WAC,0.089,20 - 12,10 - 8,11 - 2,9 - 10,0.68 (H) New Mexico State,-0.34 @ Utah Tech,,,-0.005,148
,,Fresno State,,Mountain West,0.089,19 - 13,8 - 9,11 - 4,8 - 9,0.57 (N) Santa Clara,-0.33 @ Utah,,,0.054,103
,,Butler,,Big East,0.088,14 - 19,6 - 14,9 - 7,5 - 12,0.65 (H) Creighton,-0.14 (H) St. John's,,,0.136,35
,,DePaul,,Big East,0.088,15 - 16,6 - 14,11 - 7,4 - 9,0.64 @ Xavier,-0.27 (H) Butler,,,0.126,44
,,Syracuse,,ACC,0.087,16 - 17,9 - 11,11 - 5,5 - 12,0.59 (H) Wake Forest,-0.47 @ Georgetown,,,0.116,52
,,Montana State,,Big Sky,0.086,27 - 7,16 - 4,13 - 1,14 - 6,0.45 (H) North Dakota State,-0.27 @ Montana,,,-0.106,304
,,Princeton,,Ivy,0.084,23 - 6,12 - 2,13 - 1,10 - 5,0.51 @ Yale,-0.23 @ Cornell,,,-0.107,305
,,Tulane,,AAC,0.084,14 - 15,10 - 8,9 - 4,5 - 11,0.63 (H) Memphis,-0.40 (N) Valparaiso,,,0.094,69
,,Ohio,,MAC,0.081,24 - 9,14 - 6,15 - 2,9 - 7,0.64 (H) Belmont,-0.48 @ Northern Illinois,,,-0.063,222
,,UNC-Wilmington,,CAA,0.08,23 - 9,15 - 3,12 - 2,11 - 7,0.71 @ Towson,-0.73 (N) Southern Miss,,,-0.048,205
,,Texas State,,Sun Belt,0.079,21 - 7,12 - 3,12 - 1,9 - 6,0.43 @ Troy,-0.38 @ Texas-Arlington,,,-0.068,233
,,Monmouth,,MAAC,0.078,21 - 13,11 - 9,9 - 5,12 - 8,0.73 @ Towson,-0.40 (H) Marist,,,0.003,139
,,Abilene Christian,,WAC,0.077,23 - 10,11 - 7,14 - 3,9 - 7,0.50 @ Utah Valley,-0.34 @ Utah,,,-0.074,242
,,Northwestern,,Big Ten,0.075,15 - 16,7 - 13,10 - 6,5 - 10,0.74 @ Michigan State,-0.21 (H) Penn State,,,0.102,60
,,Mississippi,,SEC,0.071,13 - 19,4 - 14,10 - 8,3 - 11,0.78 @ LSU,-0.39 (H) Missouri,,,0.122,47
,,Seattle,,WAC,0.07,23 - 9,14 - 4,17 - 2,6 - 7,0.51 @ Abilene Christian,-0.29 (H) VMI,,,-0.077,245
,,Akron,,MAC,0.069,24 - 9,14 - 6,12 - 3,12 - 6,0.62 (N) Toledo,-0.60 (H) Northern Illinois,,,-0.079,251
,,Samford,,SoCon,0.069,21 - 11,10 - 8,13 - 2,8 - 9,0.68 (H) Chattanooga,-0.35 @ The Citadel,,,-0.032,186
,,Cincinnati,,AAC,0.069,18 - 15,7 - 11,12 - 6,6 - 9,0.74 (N) Illinois,-0.59 (H) South Florida,,,0.043,110
,,Yale,,Ivy,0.064,19 - 11,11 - 3,10 - 3,9 - 8,0.61 @ Princeton,-0.29 @ Penn,,,-0.031,184
,,UNC-Greensboro,,SoCon,0.059,17 - 14,9 - 9,9 - 5,8 - 9,0.80 @ Chattanooga,-0.43 (N) Florida International,,,0.01,134
,,Winthrop,,Big South,0.058,23 - 9,14 - 2,13 - 0,10 - 9,0.51 (H) Furman,-0.43 @ Elon,,,-0.087,272
,,Nevada,,Mountain West,0.058,13 - 18,6 - 12,7 - 7,6 - 11,0.54 @ Utah State,-0.36 (H) San Diego,,,0.127,41
,,Appalachian State,,Sun Belt,0.057,19 - 14,12 - 6,11 - 4,8 - 10,0.50 (N) Akron,-0.32 (H) Louisiana,,,-0.013,161
,,Wofford,,SoCon,0.057,19 - 13,10 - 8,11 - 4,8 - 9,0.40 (H) Samford,-0.29 (H) VMI,,,0.003,138
,,New Mexico,,Mountain West,0.054,13 - 19,5 - 12,11 - 7,2 - 12,0.81 @ New Mexico State,-0.53 @ San Jose State,,,0.076,86
,,Long Beach State,,Big West,0.053,20 - 12,12 - 3,11 - 3,9 - 9,0.38 (H) Cal State-Fullerton,-0.38 (H) Loyola Marymount,,,-0.032,187
,,UTEP,,C-USA,0.051,19 - 13,11 - 7,11 - 6,8 - 7,0.68 (H) North Texas,-0.50 (H) Marshall,,,-0.009,155
,,Charleston,,CAA,0.05,17 - 15,8 - 10,9 - 6,8 - 9,0.79 @ Chattanooga,-0.56 @ Stetson,,,0.019,122
,,St. Peter's,,MAAC,0.048,19 - 11,14 - 6,9 - 4,10 - 7,0.52 @ Monmouth,-0.78 (H) St. Francis (NY),,,-0.018,166
,,Buffalo,,MAC,0.048,19 - 11,13 - 6,9 - 3,10 - 8,0.81 @ North Texas,-0.54 (H) Miami (OH),,,-0.039,196
,,Missouri,,SEC,0.047,12 - 21,5 - 13,8 - 8,4 - 13,0.66 (H) Alabama,-0.29 (H) UMKC,,,0.141,26
,,Oakland,,Horizon,0.045,20 - 12,12 - 7,10 - 3,10 - 9,0.65 (H) Toledo,-0.62 @ Milwaukee,,,-0.07,238
,,Wagner,,NEC,0.044,21 - 6,13 - 3,12 - 1,9 - 5,0.86 @ VCU,-0.76 @ Fairleigh Dickinson,,,-0.152,351
,,Morehead State,,OVC,0.044,23 - 11,13 - 5,12 - 2,11 - 9,0.63 (H) Belmont,-0.54 @ SIU-Edwardsville,,,-0.076,243
,,Louisville,,ACC,0.043,13 - 19,6 - 14,8 - 8,5 - 11,0.55 (H) Wake Forest,-0.44 (H) North Carolina State,,,0.103,57
,,Charlotte,,C-USA,0.04,17 - 14,10 - 8,11 - 4,6 - 10,0.50 (H) Middle Tennessee,-0.32 @ Old Dominion,,,0.011,132
,,North Dakota State,,Summit,0.04,23 - 10,13 - 5,12 - 3,11 - 7,0.35 @ Oral Roberts,-0.39 (H) Western Illinois,,,-0.082,260
,,Sam Houston State,,WAC,0.039,19 - 14,13 - 5,11 - 2,8 - 12,0.75 (H) New Mexico State,-0.66 (N) Texas-San Antonio,,,-0.034,191
,,George Mason,,Atlantic 10,0.039,14 - 16,7 - 9,10 - 4,4 - 12,0.61 (H) St. Bonaventure,-0.41 (H) Old Dominion,,,0.061,100
,,UC-Irvine,,Big West,0.038,15 - 10,9 - 5,9 - 1,6 - 9,0.75 (H) Boise State,-0.71 (N) Duquesne,,,-0.036,193
,,Western Kentucky,,C-USA,0.036,19 - 13,11 - 7,13 - 4,6 - 9,0.42 @ Charlotte,-0.37 @ Florida International,,,-0.029,181
,,Georgia State,,Sun Belt,0.036,18 - 10,9 - 5,8 - 4,10 - 6,0.44 @ Appalachian State,-0.48 (H) Texas-Arlington,,,-0.054,211
,,Longwood,,Big South,0.036,26 - 6,15 - 1,16 - 1,10 - 5,0.48 (N) Winthrop,-0.54 (H) Western Carolina,,,-0.161,356
,,Bradley,,MVC,0.034,17 - 14,11 - 7,12 - 2,5 - 12,0.66 (H) Loyola (Chicago),-0.66 (N) Duquesne,,,-0.006,149
,,Liberty,,ASUN,0.031,22 - 11,12 - 4,13 - 3,9 - 8,0.48 (N) Northern Iowa,-0.43 @ North Florida,,,-0.102,295
,,East Tennessee State,,SoCon,0.031,15 - 17,7 - 11,8 - 6,7 - 11,0.77 (N) Murray State,-0.60 (H) North Carolina A&T,,,0.027,116
,,Troy,,Sun Belt,0.028,20 - 11,10 - 6,10 - 3,10 - 8,0.62 @ Texas State,-0.79 (N) North Dakota,,,-0.063,224
,,Coastal Carolina,,Sun Belt,0.028,16 - 13,8 - 8,11 - 6,5 - 7,0.51 (H) South Carolina,-0.43 (N) Georgia Southern,,,-0.057,217
,,Arkansas State,,Sun Belt,0.027,18 - 11,8 - 7,11 - 3,7 - 8,0.48 (H) Texas State,-0.47 (H) Louisiana-Monroe,,,-0.057,218
,,VMI,,SoCon,0.027,16 - 15,9 - 9,9 - 4,7 - 11,0.80 @ Chattanooga,-0.53 (N) Presbyterian,,,-0.012,160
,,South Alabama,,Sun Belt,0.024,19 - 11,9 - 7,13 - 2,6 - 9,0.47 @ Jacksonville State,-0.57 (N) Arkansas-Little Rock,,,-0.073,241
,,Mercer,,SoCon,0.024,16 - 17,8 - 10,10 - 4,6 - 13,0.39 @ UNC-Greensboro,-0.44 (H) The Citadel,,,0.02,120
,,Nebraska,,Big Ten,0.024,10 - 22,4 - 16,7 - 12,3 - 10,0.88 @ Wisconsin,-0.39 (H) Western Illinois,,,0.137,32
,,East Carolina,,AAC,0.023,15 - 15,6 - 11,12 - 4,3 - 11,0.63 (H) Memphis,-0.18 (H) Cincinnati,,,0.023,118
,,Pittsburgh,,ACC,0.023,11 - 21,6 - 14,8 - 11,3 - 10,0.82 @ North Carolina,-0.46 (H) The Citadel,,,0.099,63
,,Cal State-Fullerton,,Big West,0.023,21 - 10,11 - 4,11 - 2,10 - 8,0.40 (N) Long Beach State,-0.63 (N) Texas-Rio Grande Valley,,,-0.079,252
,,Drexel,,CAA,0.021,15 - 14,10 - 8,8 - 4,7 - 10,0.60 (H) Towson,-0.85 (H) William & Mary,,,-0.006,150
,,California,,Pac-12,0.017,12 - 20,5 - 15,10 - 8,2 - 12,0.56 (H) Santa Clara,-0.53 (H) UC-San Diego,,,0.096,68
,,Weber State,,Big Sky,0.014,21 - 12,13 - 7,9 - 6,12 - 6,0.68 @ Montana State,-0.58 @ Idaho,,,-0.099,285
,,Florida Atlantic,,C-USA,0.014,19 - 14,11 - 7,14 - 5,5 - 9,0.50 (H) Louisiana Tech,-0.38 @ High Point,,,-0.056,214
,,Cleveland State,,Horizon,0.012,20 - 10,15 - 6,15 - 3,5 - 7,0.36 @ Wright State,-0.48 (H) Illinois-Chicago,,,-0.129,334
,,Southern Utah,,Big Sky,0.012,20 - 11,14 - 6,11 - 3,9 - 8,0.42 (N) Yale,-0.48 (N) Portland State,,,-0.087,270
,,Bellarmine,,ASUN,0.012,20 - 13,11 - 5,11 - 4,9 - 9,0.43 @ Liberty,-0.53 (H) Kennesaw State,,,-0.047,203
,,Rhode Island,,Atlantic 10,0.011,15 - 16,5 - 12,10 - 5,5 - 11,0.70 (H) Davidson,-0.43 (N) Tulsa,,,0.018,123
,,Jacksonville State,,ASUN,0.01,21 - 10,13 - 3,11 - 4,10 - 6,0.44 @ Liberty,-0.57 (H) Central Arkansas,,,-0.081,257
,,Portland,,WCC,0.008,18 - 14,7 - 7,10 - 4,8 - 10,0.81 @ San Francisco,-0.63 (H) San Jose State,,,-0.029,182
,,Massachusetts,,Atlantic 10,0.008,15 - 17,7 - 11,10 - 5,5 - 12,0.59 (H) Saint Louis,-0.71 (H) Duquesne,,,0.038,113
,,James Madison,,CAA,0.008,15 - 14,6 - 12,9 - 6,6 - 8,0.45 (H) Virginia,-0.54 (H) Elon,,,-0.022,169
,,North Carolina State,,ACC,0.007,11 - 21,4 - 16,7 - 10,4 - 11,0.68 @ Virginia Tech,-0.42 (H) Boston College,,,0.082,80
,,Fordham,,Atlantic 10,0.005,16 - 16,8 - 10,10 - 4,6 - 12,0.53 (N) Akron,-0.58 (H) MD-Eastern Shore,,,0.006,136
,,Norfolk State,,MEAC,0.004,24 - 6,12 - 2,11 - 0,13 - 6,0.56 @ UNC-Wilmington,-0.57 @ Hampton,,,-0.187,359
,,UC-Riverside,,Big West,0.004,16 - 12,9 - 6,10 - 4,6 - 8,0.47 @ UTEP,-0.44 @ UC-San Diego,,,-0.058,219
,,Oral Roberts,,Summit,0.004,19 - 12,12 - 6,10 - 5,9 - 7,0.36 @ South Dakota,-0.44 @ Central Arkansas,,,-0.082,261
,,Jacksonville,,ASUN,0.004,21 - 10,11 - 5,15 - 0,6 - 10,0.50 (H) UNC-Wilmington,-0.54 @ Georgia,,,-0.114,315
,,Loyola Marymount,,WCC,0,11 - 18,3 - 12,6 - 7,5 - 11,0.63 (N) SMU,-0.57 @ Pacific,,,0.064,92
