,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk
,,Kansas,,Big 12,0.407,28 - 6,14 - 4,16 - 1,12 - 5,0.87 (H) Baylor,-0.05 (N) Dayton,,,0.185,3
,,Baylor,,Big 12,0.372,26 - 6,14 - 4,15 - 2,11 - 4,0.89 (H) Kansas,-0.12 (H) Oklahoma State,,,0.153,17
,,Arizona,,Pac-12,0.372,31 - 3,18 - 2,17 - 0,14 - 3,0.88 @ USC,-0.05 @ Colorado,,,0.102,59
,,Tennessee,,SEC,0.369,26 - 7,14 - 4,16 - 0,10 - 7,0.86 (H) Arizona,-0.03 @ Texas,,,0.172,7
,,Gonzaga,,WCC,0.368,26 - 3,13 - 1,16 - 0,10 - 3,0.86 @ San Francisco,-0.03 (N) Alabama,,,0.062,97
,,Auburn,,SEC,0.358,27 - 5,15 - 3,16 - 0,11 - 5,0.81 (H) Kentucky,-0.06 (N) Texas A&M,,,0.136,33
,,Villanova,,Big East,0.351,26 - 7,16 - 4,12 - 1,14 - 6,0.93 @ Providence,-0.06 (H) Marquette,,,0.177,6
,,Wisconsin,,Big Ten,0.338,24 - 7,15 - 5,12 - 4,12 - 3,0.91 @ Purdue,-0.42 (H) Nebraska,,,0.155,14
,,Kentucky,,SEC,0.329,26 - 7,14 - 4,18 - 0,8 - 7,1.07 @ Kansas,-0.04 @ Notre Dame,,,0.136,36
,,Purdue,,Big Ten,0.326,27 - 7,14 - 6,16 - 1,11 - 6,0.85 @ Iowa,-0.07 @ Rutgers,,,0.138,29
,,UCLA,,Pac-12,0.321,25 - 7,15 - 5,14 - 1,11 - 6,0.91 (H) Arizona,-0.12 @ Arizona State,,,0.138,30
,,Providence,,Big East,0.321,25 - 5,14 - 3,16 - 1,9 - 4,0.90 @ Wisconsin,-0.11 (N) Virginia,,,0.112,54
,,Houston,,AAC,0.316,29 - 5,15 - 3,16 - 1,13 - 4,0.69 (N) Memphis,-0.03 (H) Memphis,,,0.086,77
,,Duke,,ACC,0.305,28 - 6,16 - 4,15 - 3,13 - 3,0.87 (N) Gonzaga,-0.10 (H) Virginia,,,0.084,78
,,Colorado State,,Mountain West,0.299,25 - 5,14 - 4,14 - 1,11 - 4,0.85 @ Boise State,-0.13 (H) UNLV,,,0.076,85
,,Alabama,,SEC,0.297,19 - 13,9 - 9,13 - 3,6 - 10,0.89 (N) Gonzaga,-0.53 @ Georgia,,,0.207,1
,,Texas Tech,,Big 12,0.297,25 - 9,12 - 6,18 - 0,7 - 9,0.93 @ Baylor,-0.17 @ Kansas State,,,0.131,38
,,Arkansas,,SEC,0.293,25 - 8,13 - 5,17 - 2,8 - 6,0.85 (H) Tennessee,-0.13 (H) Vanderbilt,,,0.126,43
,,St. Mary's (CA),,WCC,0.289,25 - 7,12 - 3,16 - 0,9 - 7,0.90 (H) Gonzaga,-0.04 @ Santa Clara,,,0.092,70
,,Illinois,,Big Ten,0.284,22 - 9,15 - 5,13 - 3,9 - 6,0.83 @ Iowa,-0.19 (N) Cincinnati,,,0.152,18
,,San Diego State,,Mountain West,0.277,23 - 8,13 - 4,14 - 1,9 - 7,0.87 (H) Colorado State,-0.09 @ Utah State,,,0.119,49
