,,,,,,,
RK,TEAM,Q1A,Q1,Q2,Q1&2,Q3,Q4
95,Pepperdine,0-3,0-4,3-2,3-6,5-7,7-5
96,Ball St.,0-3,1-3,2-3,3-6,5-10,7-1
97,Fresno St.,1-1,1-5,2-1,3-6,6-2,13-1
98,Kent St.,0-3,0-3,3-4,3-7,9-3,8-0
99,Rhode Island,0-1,2-3,1-4,3-7,9-7,6-1
100,Northeastern 13,0-1,0-4,3-3,3-7,9-0,11-3
RK,TEAM,Q1-A,Q1,Q2,Q1&2,Q3,Q4
101,Marshall,0-2,0-2,3-6,3-8,5-6,11-0
102,Dayton,0-3,1-5,2-3,3-8,5-3,13-0
103,BYU,0-6,1-7,2-3,3-10,7-3,9-0
104,Stanford,0-3,0-8,3-4,3-12,4-3,8-1
105,Washington St.,0-1,1-5,2-7,3-12,0-7,8-2
106,SMU,0-5,0-9,3-4,3-13,3-4,9-0
107,USC,0-2,0-7,3-6,3-13,6-4,7-0
108,Wake Forest,0-9,0-11,3-4,3-15,4-3,4-2
109,Georgia Tech,1-8,3-10,0-5,3-15,3-2,8-1
110,Northwestern,0-6,0-11,3-6,3-17,4-2,6-0
111,Georgia,1-6,1-12,2-6,3-18,2-3,6-0
112,Vanderbilt,0-8,0-13,3-8,3-21,0-2,6-0
113,Florida Atlantic,1-0,1-0,1-3,2-3,5-7,7-5
114,Drake,0-1,1-2,1-1,2-3,10-5,10-1
115,Columbia,0-0,0-0,2-3,2-3,1-10,5-5
116,UC Irvine 13,1-0,1-2,1-1,2-3,10-1,17-1
117,Radford,1-2,1-3,1-0,2-3,6-4,11-4
118,Boston University,0-0,0-0,2-3,2-3,2-9,10-6
119,Bradley 15,0-0,1-0,1-3,2-3,10-7,7-4
120,UMBC,0-1,1-3,1-1,2-4,2-2,14-7
121,Murray St. 12,0-1,1-2,1-2,2-4,4-0,19-0
122,Indiana St.,0-0,0-1,2-4,2-5,5-10,6-1
123,College of Charleston,1-1,2-1,0-4,2-5,5-2,16-2
124,Princeton,0-1,1-2,1-3,2-5,4-5,8-2
125,Troy,0-1,0-1,2-4,2-5,2-9,6-4
126,San Francisco,0-4,0-4,2-1,2-5,6-5,12-0
127,Southern Miss,0-1,0-1,2-4,2-5,9-6,6-0
128,Bucknell,0-1,1-2,1-3,2-5,8-4,11-3
129,Penn,0-1,2-2,0-3,2-5,10-4,6-3
130,UAB,0-1,0-3,2-3,2-6,7-4,9-4
131,Bowling Green,1-3,1-4,1-2,2-6,9-4,9-2
132,Loyola Marymount,0-2,1-2,1-4,2-6,6-4,10-1
133,UT Arlington,0-2,0-4,2-3,2-7,6-5,8-4
134,Massachusetts,0-2,1-4,1-3,2-7,2-8,7-6
135,Austin Peay,0-1,0-4,2-3,2-7,0-1,18-3
136,Ohio,0-3,0-5,2-3,2-8,7-9,4-0
137,Miami OH,0-2,0-5,2-4,2-9,5-7,6-1
138,East Tennessee St.,0-3,0-6,2-3,2-9,5-0,15-0
139,North Florida,0-3,0-9,2-1,2-10,2-4,10-3
140,South Florida,0-4,0-6,2-5,2-11,6-1,10-1
141,Eastern Michigan,0-4,0-6,2-5,2-11,5-5,4-1
142,UCLA,0-3,1-5,1-10,2-15,9-1,6-0
143,Miami FL,0-9,0-11,2-4,2-15,6-3,6-0
144,California,0-1,0-4,2-12,2-16,1-6,5-1
145,Connecticut,0-5,1-11,1-5,2-16,3-1,11-0
146,Pittsburgh,0-7,2-10,0-6,2-16,5-2,7-1
147,Niagara,0-0,0-0,1-1,1-1,2-2,10-16
148,Stony Brook,0-0,0-1,1-1,1-2,3-3,19-3
149,FIU,0-0,0-1,1-1,1-2,8-9,6-2
150,UC Santa Barbara,0-0,0-2,1-1,1-3,3-4,16-3
RK,TEAM,Q1-A,Q1,Q2,Q1&2,Q3,Q4
151,Northern Colorado,0-2,0-2,1-1,1-3,0-2,18-6
152,Portland St.,0-0,0-1,1-2,1-3,2-4,10-9
153,Montana 15,0-0,0-2,1-1,1-3,5-1,18-4
154,Texas St.,0-0,0-1,1-2,1-3,6-5,15-1
155,Loyola Chicago,0-0,0-2,1-1,1-3,8-9,10-1
156,Gardner Webb 16,0-2,0-3,1-0,1-3,3-6,16-2
157,Monmouth,0-1,0-1,1-2,1-3,0-9,13-9
158,Stephen F. Austin,1-0,1-0,0-3,1-3,1-5,8-8
