,,,,,,,,,,,
TEAM,CONF,W-L,BPI,BPI RK,TREND,OFF,DEF,OVR W-L,CONF W-L,WIN CONF%,REM SOS RK
Ohio State Buckeyes,Big Ten,16-19,10.4,38,6,7.5,2.9,16.0-19.0,5.0-15.0,<0.1%,-
North Carolina Tar Heels,ACC,20-13,10.2,39,2,5.2,5,20.0-13.0,11.0-9.0,<0.1%,-
Liberty Flames,ASUN,27-8,10.2,40,1,5.3,4.9,27.4-8.6,15.0-3.0,>99.9%,24th
Penn State Nittany Lions,Big Ten,23-13,10.1,41,10,8.2,1.8,23.2-13.8,10.0-10.0,<0.1%,7th
Providence Friars,Big East,21-12,10.1,42,4,7.1,2.9,21.0-12.0,13.0-7.0,<0.1%,-
Oregon Ducks,Pac-12,20-14,9.8,43,1,5.8,4,20.7-14.3,12.0-8.0,<0.1%,43rd
Sam Houston Bearkats,WAC,26-7,9.6,44,1,2.1,7.5,26.5-7.5,14.0-4.0,<0.1%,30th
NC State Wolfpack,ACC,23-11,9.5,45,1,5.9,3.6,23.0-11.0,12.0-8.0,<0.1%,-
Mississippi State Bulldogs,SEC,21-13,9.4,46,1,0.9,8.5,21.0-13.0,8.0-10.0,<0.1%,-
Utah State Aggies,Mountain West,26-9,9.3,47,7,6.8,2.5,26.0-9.0,13.0-5.0,<0.1%,-
Boise State Broncos,Mountain West,24-10,9.2,48,1,3.7,5.5,24.0-10.0,13.0-5.0,<0.1%,-
UCF Knights,American,19-14,9.2,49,12,3.5,5.7,19.3-14.7,8.0-10.0,<0.1%,12th
Yale Bulldogs,Ivy,21-9,9.1,50,1,4.2,4.9,21.0-9.0,10.0-4.0,>99.9%,-
Texas Tech Red Raiders,Big 12,16-16,9,51,6,4.3,4.7,16.0-16.0,5.0-13.0,<0.1%,-
Cincinnati Bearcats,American,22-12,9,52,--,5,4,22.4-12.6,11.0-7.0,<0.1%,29th
Missouri Tigers,SEC,25-9,8.9,53,5,8.5,0.5,25.8-9.2,11.0-7.0,<0.1%,46th
Michigan Wolverines,Big Ten,18-15,8.8,54,5,5,3.8,18.4-15.6,11.0-9.0,<0.1%,34th
Florida Gators,SEC,16-17,8.8,55,7,2.6,6.2,16.0-17.0,9.0-9.0,<0.1%,-
Dayton Flyers,A 10,22-12,8.8,56,6,3.5,5.2,22.0-12.0,12.0-6.0,<0.1%,-
VCU Rams,A 10,27-8,8.7,57,6,1.1,7.7,27.0-8.0,15.0-3.0,>99.9%,-
Drake Bulldogs,MVC,27-8,8.7,58,5,3.5,5.1,27.0-8.0,15.0-5.0,<0.1%,-
Oklahoma Sooners,Big 12,15-17,8.6,59,3,4.2,4.5,15.0-17.0,5.0-13.0,<0.1%,-
Iona Gaels,MAAC,27-8,8.6,60,6,4.9,3.7,27.0-8.0,17.0-3.0,>99.9%,-
USC Trojans,Pac-12,22-11,8.6,61,5,4.3,4.3,22.0-11.0,14.0-6.0,<0.1%,-
UAB Blazers,C-USA,26-9,8.4,62,2,4.7,3.8,26.9-9.1,14.0-6.0,<0.1%,64th
Clemson Tigers,ACC,23-11,8.4,63,8,4.4,4,23.0-11.0,14.0-6.0,<0.1%,-
Pittsburgh Panthers,ACC,24-11,8.3,64,6,5.5,2.8,24.3-11.7,14.0-6.0,<0.1%,20th
Charleston Cougars,CAA,31-4,8.1,65,1,4,4.2,31.0-4.0,16.0-2.0,>99.9%,-
Wisconsin Badgers,Big Ten,18-14,8.1,66,3,1.9,6.2,18.6-14.4,9.0-11.0,<0.1%,39th
Villanova Wildcats,Big East,17-17,7.8,67,1,5,2.8,17.0-17.0,10.0-10.0,<0.1%,-
Arizona State Sun Devils,Pac-12,23-13,7.8,68,6,1.7,6,23.0-13.0,11.0-9.0,<0.1%,-
Virginia Tech Hokies,ACC,19-15,7.7,69,4,6.4,1.3,19.0-15.0,8.0-12.0,<0.1%,-
Seton Hall Pirates,Big East,17-16,7.6,70,3,0.7,6.9,17.0-16.0,10.0-10.0,<0.1%,-
North Texas Mean Green,C-USA,27-7,7.3,71,1,2.4,4.9,27.5-7.5,16.0-4.0,<0.1%,38th
Washington State Cougars,Pac-12,17-17,7.2,72,4,4.1,3.1,17.0-17.0,11.0-9.0,<0.1%,-
Bradley Braves,MVC,25-10,7.2,73,6,2.8,4.4,25.0-10.0,16.0-4.0,>99.9%,-
Kent State Golden Flashes,MAC,28-7,7.1,74,1,1.6,5.5,28.0-7.0,15.0-3.0,<0.1%,-
Nevada Wolf Pack,Mountain West,22-11,7,75,4,4,3,22.0-11.0,12.0-6.0,<0.1%,-
Hofstra Pride,CAA,25-9,6.9,76,3,4.4,2.5,25.6-9.4,16.0-2.0,>99.9%,42nd
Utah Utes,Pac-12,17-15,6.9,77,1,1.2,5.7,17.0-15.0,10.0-10.0,<0.1%,-
Colorado Buffaloes,Pac-12,18-16,6.7,78,2,0.8,5.9,18.7-16.3,8.0-12.0,<0.1%,47th
Vanderbilt Commodores,SEC,21-14,6.7,79,1,6.1,0.6,21.6-14.4,11.0-7.0,<0.1%,41st
Marshall Thundering Herd,Sun Belt,24-8,6.5,80,1,3.7,2.9,24.0-8.0,13.0-5.0,<0.1%,-
Stanford Cardinal,Pac-12,14-19,6.5,81,2,5.5,1,14.0-19.0,7.0-13.0,<0.1%,-
Wake Forest Demon Deacons,ACC,19-14,6.3,82,4,5.3,1,19.0-14.0,10.0-10.0,<0.1%,-
James Madison Dukes,Sun Belt,22-11,6.3,83,2,2.7,3.6,22.0-11.0,12.0-6.0,<0.1%,-
St. John's Red Storm,Big East,18-15,6.2,84,3,2.6,3.7,18.0-15.0,7.0-13.0,<0.1%,-
Toledo Rockets,MAC,27-8,6.2,85,8,10,-3.8,27.0-8.0,16.0-2.0,>99.9%,-
New Mexico Lobos,Mountain West,22-12,6,86,4,4.7,1.3,22.0-12.0,8.0-10.0,<0.1%,-
Utah Valley Wolverines,WAC,26-8,6,87,2,1.1,4.9,26.3-8.7,15.0-3.0,>99.9%,35th
Oral Roberts Golden Eagles,Summit,30-5,5.8,88,4,5.4,0.4,30.0-5.0,18.0-0.0,>99.9%,-
Saint Louis Billikens,A 10,21-12,5.7,89,1,4.8,0.9,21.0-12.0,12.0-6.0,<0.1%,-
Furman Paladins,Southern,28-7,5.6,90,1,6.2,-0.6,28.2-7.8,15.0-3.0,>99.9%,25th
Indiana State Sycamores,MVC,22-12,5.3,91,1,3.8,1.5,22.9-12.1,13.0-7.0,<0.1%,61st
UNLV Rebels,Mountain West,19-13,5.2,92,2,2.4,2.8,19.0-13.0,7.0-11.0,<0.1%,-
BYU Cougars,WCC,19-15,5.2,93,--,1.9,3.3,19.0-15.0,7.0-9.0,<0.1%,-
Grand Canyon Lopes,WAC,24-12,4.9,94,3,4.3,0.6,24.0-12.0,10.0-7.0,<0.1%,-
Louisiana Ragin' Cajuns,Sun Belt,26-8,4.6,95,4,4.6,0,26.0-8.0,13.0-5.0,<0.1%,-
UMass Lowell River Hawks,Am. East,26-8,4.5,96,2,2.6,1.9,26.0-8.0,11.0-5.0,<0.1%,-
Akron Zips,MAC,22-11,4.3,97,5,2.5,1.8,22.0-11.0,13.0-5.0,<0.1%,-
UC Irvine Anteaters,Big West,23-12,4.3,98,3,1.7,2.7,23.0-12.0,15.0-5.0,>99.9%,-
Colgate Raiders,Patriot,26-9,4.3,99,1,5.9,-1.7,26.0-9.0,17.0-1.0,>99.9%,-
Santa Clara Broncos,WCC,23-10,4.2,100,--,2.5,1.8,23.0-10.0,11.0-5.0,<0.1%,-
Vermont Catamounts,Am. East,23-11,4.2,101,--,4.1,0.1,23.0-11.0,14.0-2.0,>99.9%,-
Ole Miss Rebels,SEC,12-21,4.1,102,2,1.1,3,12.0-21.0,3.0-15.0,<0.1%,-
Syracuse Orange,ACC,17-15,4,103,--,3.1,0.9,17.0-15.0,10.0-10.0,<0.1%,-
Princeton Tigers,Ivy,22-8,3.9,104,15,2.4,1.5,22.2-8.8,10.0-4.0,>99.9%,36th
Tulane Green Wave,American,20-11,3.8,105,9,3.1,0.7,20.0-11.0,12.0-6.0,<0.1%,-
South Alabama Jaguars,Sun Belt,19-16,3.7,106,1,1.8,2,19.0-16.0,9.0-9.0,<0.1%,-
Nebraska Cornhuskers,Big Ten,16-16,3.7,107,2,0.9,2.9,16.0-16.0,9.0-11.0,<0.1%,-
UNC Greensboro Spartans,Southern,20-12,3.7,108,1,-0.7,4.4,20.0-12.0,14.0-4.0,<0.1%,-
Wichita State Shockers,American,17-15,3.6,109,1,0.7,2.9,17.0-15.0,9.0-9.0,<0.1%,-
Montana State Bobcats,Big Sky,25-10,3.6,110,--,1.3,2.3,25.0-10.0,15.0-3.0,<0.1%,-
Washington Huskies,Pac-12,16-16,3.4,111,--,-0.2,3.6,16.0-16.0,8.0-12.0,<0.1%,-
Southern Utah Thunderbirds,WAC,22-12,3.4,112,6,3.3,0,22.8-12.2,12.0-6.0,<0.1%,59th
Youngstown State Penguins,Horizon,24-10,3.3,113,--,5.6,-2.3,24.0-10.0,15.0-5.0,>99.9%,-
Ohio Bobcats,MAC,19-14,3.2,114,1,4.1,-0.9,19.0-14.0,10.0-8.0,<0.1%,-
Temple Owls,American,16-16,3.1,115,1,1.1,2,16.0-16.0,10.0-8.0,<0.1%,-
Belmont Bruins,MVC,21-11,3.1,116,--,3.9,-0.8,21.0-11.0,14.0-6.0,<0.1%,-
Towson Tigers,CAA,21-12,3,117,1,2.4,0.5,21.0-12.0,12.0-6.0,<0.1%,-
Southern Miss Golden Eagles,Sun Belt,25-8,2.9,118,6,0.6,2.4,25.0-8.0,14.0-4.0,>99.9%,-
Stephen F. Austin Lumberjacks,WAC,19-13,2.9,119,2,0.5,2.4,19.0-13.0,11.0-7.0,<0.1%,-
Duquesne Dukes,A 10,20-12,2.9,120,1,2.2,0.6,20.8-12.2,10.0-8.0,<0.1%,60th
Eastern Washington Eagles,Big Sky,23-10,2.8,121,8,4.3,-1.5,23.1-10.9,16.0-2.0,>99.9%,5th
San José State Spartans,Mountain West,20-13,2.7,122,2,2.3,0.3,20.8-13.2,10.0-8.0,<0.1%,63rd
San Francisco Dons,WCC,20-14,2.6,123,1,2.8,-0.1,20.0-14.0,7.0-9.0,<0.1%,-
Butler Bulldogs,Big East,14-18,2.6,124,--,-1.1,3.7,14.0-18.0,6.0-14.0,<0.1%,-
Charlotte 49ers,C-USA,18-14,2.6,125,2,2.3,0.2,18.7-14.3,9.0-11.0,<0.1%,56th
Troy Trojans,Sun Belt,20-13,2.5,126,1,-0.3,2.8,20.0-13.0,11.0-7.0,<0.1%,-
Loyola Marymount Lions,WCC,19-12,2.5,127,1,2.1,0.4,19.0-12.0,9.0-7.0,<0.1%,-
Colorado State Rams,Mountain West,15-18,2.4,128,3,4.6,-2.2,15.0-18.0,6.0-12.0,<0.1%,-
Southern Illinois Salukis,MVC,23-10,2.4,129,1,-1.5,3.9,23.0-10.0,14.0-6.0,<0.1%,-
Pennsylvania Quakers,Ivy,17-13,2.4,130,4,3.2,-0.8,17.0-13.0,9.0-5.0,<0.1%,-
UC Santa Barbara Gauchos,Big West,27-8,2.3,131,--,2.9,-0.6,27.0-8.0,15.0-5.0,>99.9%,-
Fordham Rams,A 10,25-8,2.2,132,--,-1.2,3.4,25.0-8.0,12.0-6.0,<0.1%,-
Kennesaw State Owls,ASUN,26-9,2,133,2,-0.5,2.5,26.0-9.0,15.0-3.0,>99.9%,-
LSU Tigers,SEC,14-19,1.8,134,--,1.4,0.4,14.0-19.0,2.0-16.0,<0.1%,-
George Mason Patriots,A 10,20-13,1.8,135,1,-1,2.8,20.0-13.0,11.0-7.0,<0.1%,-
Middle Tennessee Blue Raiders,C-USA,19-14,1.7,136,4,0,1.7,19.0-14.0,11.0-9.0,<0.1%,-
Cornell Big Red,Ivy,17-11,1.6,137,4,3.8,-2.1,17.0-11.0,7.0-7.0,<0.1%,-
Hawai'i Rainbow Warriors,Big West,22-11,1.5,138,--,-1.8,3.4,22.0-11.0,13.0-7.0,<0.1%,-
Seattle U Redhawks,WAC,20-12,1.5,139,2,-1.3,2.8,20.0-12.0,11.0-7.0,<0.1%,-
Richmond Spiders,A 10,15-18,1.5,140,3,0.2,1.2,15.0-18.0,7.0-11.0,<0.1%,-
UNC Wilmington Seahawks,CAA,24-10,1.3,141,4,-0.3,1.7,24.0-10.0,12.0-6.0,<0.1%,-
UC Riverside Highlanders,Big West,22-12,1.3,142,--,0.9,0.5,22.0-12.0,14.0-6.0,<0.1%,-
Northern Kentucky Norse,Horizon,22-13,1.3,143,4,-0.9,2.2,22.0-13.0,14.0-6.0,<0.1%,-
North Carolina Central Eagles,MEAC,18-12,1.3,144,2,-1.6,2.9,18.0-12.0,10.0-4.0,<0.1%,-
UNC Asheville Bulldogs,Big South,27-8,1.2,145,6,-0.2,1.4,27.0-8.0,16.0-2.0,>99.9%,-
Cal State Fullerton Titans,Big West,20-13,1.2,146,9,-1,2.3,20.0-13.0,12.0-6.0,<0.1%,-
DePaul Blue Demons,Big East,10-23,1.2,147,4,1.6,-0.3,10.0-23.0,3.0-17.0,<0.1%,-
Chattanooga Mocs,Southern,18-17,1.2,148,--,3.1,-1.8,18.0-17.0,7.0-11.0,<0.1%,-
Missouri State Bears,MVC,17-15,1.2,149,5,-0.3,1.6,17.0-15.0,12.0-8.0,<0.1%,-
Georgia Bulldogs,SEC,16-16,1.2,150,1,-0.4,1.5,16.0-16.0,6.0-12.0,<0.1%,-
California Baptist Lancers,WAC,17-16,1.1,151,1,0.1,1,17.0-16.0,7.0-10.0,<0.1%,-
Longwood Lancers,Big South,20-12,1,152,--,0.9,0.1,20.0-12.0,12.0-6.0,<0.1%,-
Davidson Wildcats,A 10,16-16,0.9,153,1,1.3,-0.3,16.0-16.0,8.0-10.0,<0.1%,-
Bryant Bulldogs,Am. East,17-13,0.9,154,2,0.9,0,17.0-13.0,8.0-8.0,<0.1%,-
South Florida Bulls,American,14-18,0.9,155,2,0.3,0.6,14.0-18.0,7.0-11.0,<0.1%,-
Notre Dame Fighting Irish,ACC,11-21,0.9,156,3,3.2,-2.4,11.0-21.0,3.0-17.0,<0.1%,-
Tarleton Texans,WAC,17-16,0.8,157,1,-1.1,1.9,17.5-16.5,8.0-9.0,<0.1%,51st
Radford Highlanders,Big South,19-14,0.8,158,3,0.1,0.7,19.5-14.5,12.0-6.0,<0.1%,54th
Gardner-Webb Runnin' Bulldogs,Big South,15-16,0.7,159,--,-2.4,3.2,15.0-16.0,10.0-8.0,<0.1%,-
Samford Bulldogs,Southern,21-11,0.7,160,--,1.4,-0.7,21.0-11.0,15.0-3.0,>99.9%,-
Appalachian State Mountaineers,Sun Belt,16-16,0.4,161,--,-1.8,2.2,16.0-16.0,9.0-9.0,<0.1%,-
Eastern Kentucky Colonels,ASUN,20-13,0.4,162,1,-0.6,0.9,20.6-13.4,12.0-6.0,<0.1%,55th
Ball State Cardinals,MAC,20-12,0.3,163,2,2.2,-1.9,20.0-12.0,11.0-7.0,<0.1%,-
Lipscomb Bisons,ASUN,20-13,0.3,164,2,0.1,0.2,20.0-13.0,11.0-7.0,<0.1%,-
Wright State Raiders,Horizon,18-15,0.2,165,3,0.8,-0.6,18.0-15.0,10.0-10.0,<0.1%,-
Florida Gulf Coast Eagles,ASUN,17-15,0.2,166,--,1.1,-0.9,17.0-15.0,7.0-11.0,<0.1%,-
Stetson Hatters,ASUN,17-13,0.2,167,--,4.8,-4.6,17.6-13.4,12.0-6.0,<0.1%,58th
Abilene Christian Wildcats,WAC,13-17,0.1,168,4,0.3,-0.2,13.0-17.0,5.0-11.0,<0.1%,-
Boston College Eagles,ACC,16-17,-0.1,169,3,-1.2,1.1,16.0-17.0,9.0-11.0,<0.1%,-
Utah Tech Trailblazers,WAC,14-19,-0.1,170,1,1.3,-1.4,14.0-19.0,5.0-13.0,<0.1%,-
South Dakota State Jackrabbits,Summit,19-13,-0.1,171,1,0,-0.2,19.0-13.0,13.0-5.0,<0.1%,-
Norfolk State Spartans,MEAC,22-11,-0.2,172,3,2,-2.2,22.0-11.0,9.0-5.0,<0.1%,-
Old Dominion Monarchs,Sun Belt,19-12,-0.2,173,--,-1.3,1.1,19.0-12.0,11.0-7.0,<0.1%,-
Navy Midshipmen,Patriot,18-13,-0.2,174,--,-0.9,0.7,18.0-13.0,11.0-7.0,<0.1%,-
Drexel Dragons,CAA,17-15,-0.2,175,--,-2.4,2.1,17.0-15.0,10.0-8.0,<0.1%,-
Brown Bears,Ivy,14-13,-0.3,176,--,-2.8,2.5,14.0-13.0,7.0-7.0,<0.1%,-
UC Davis Aggies,Big West,18-14,-0.3,177,1,-0.7,0.4,18.0-14.0,11.0-8.0,<0.1%,-
New Mexico State Aggies,WAC,9-15,-0.4,178,4,0.2,-0.6,9.0-15.0,2.0-10.0,<0.1%,-
Georgia Tech Yellow Jackets,ACC,15-18,-0.4,179,1,-0.7,0.3,15.0-18.0,6.0-14.0,<0.1%,-
Cleveland State Vikings,Horizon,21-13,-0.5,180,1,-0.3,-0.2,21.4-13.6,14.0-6.0,<0.1%,53rd
Long Beach State Beach,Big West,17-16,-0.6,181,2,-0.5,-0.1,17.0-16.0,11.0-9.0,<0.1%,-
Fresno State Bulldogs,Mountain West,11-20,-0.7,182,5,-2.4,1.7,11.0-20.0,6.0-12.0,<0.1%,-
Harvard Crimson,Ivy,14-14,-0.7,183,5,-2.6,1.9,14.0-14.0,5.0-9.0,<0.1%,-
Rider Broncs,MAAC,16-14,-0.7,184,3,1.2,-1.8,16.0-14.0,13.0-7.0,<0.1%,-
Saint Joseph's Hawks,A 10,16-17,-0.7,185,1,0.1,-0.8,16.0-17.0,8.0-10.0,<0.1%,-
Louisiana Tech Bulldogs,C-USA,15-18,-0.7,186,1,-0.4,-0.3,15.0-18.0,7.0-13.0,<0.1%,-
Montana Grizzlies,Big Sky,17-14,-0.8,187,2,1.4,-2.2,17.0-14.0,10.0-7.0,<0.1%,-
UMass Minutemen,A 10,15-16,-0.9,188,3,-2,1.1,15.0-16.0,6.0-12.0,<0.1%,-
Western Kentucky Hilltoppers,C-USA,17-16,-0.9,189,3,-0.6,-0.3,17.0-16.0,8.0-12.0,<0.1%,-
Quinnipiac Bobcats,MAAC,20-12,-0.9,190,6,-0.3,-0.6,20.0-12.0,11.0-9.0,<0.1%,-
Detroit Mercy Titans,Horizon,14-19,-0.9,191,1,4,-4.9,14.0-19.0,9.0-11.0,<0.1%,-
St. Bonaventure Bonnies,A 10,14-18,-1,192,1,-2.6,1.6,14.0-18.0,8.0-10.0,<0.1%,-
Portland Pilots,WCC,14-19,-1.1,193,3,3,-4.1,14.0-19.0,5.0-11.0,<0.1%,-
Siena Saints,MAAC,17-15,-1.1,194,1,-1.4,0.3,17.0-15.0,11.0-9.0,<0.1%,-
SMU Mustangs,American,10-22,-1.2,195,1,-1.6,0.4,10.0-22.0,5.0-13.0,<0.1%,-
Northern Iowa Panthers,MVC,14-18,-1.2,196,3,-0.3,-0.8,14.0-18.0,9.0-11.0,<0.1%,-
Purdue Fort Wayne Mastodons,Horizon,17-15,-1.2,197,--,-1.8,0.6,17.0-15.0,9.0-11.0,<0.1%,-
Grambling Tigers,SWAC,24-9,-1.3,198,5,-4,2.7,24.0-9.0,15.0-3.0,>99.9%,-
East Carolina Pirates,American,16-17,-1.3,199,1,-1.4,0.1,16.0-17.0,6.0-12.0,<0.1%,-
Florida State Seminoles,ACC,9-23,-1.4,200,2,0.4,-1.8,9.0-23.0,7.0-13.0,<0.1%,-
St. Thomas - Minnesota Tommies,Summit,19-14,-1.4,201,--,2.6,-4,19.0-14.0,9.0-9.0,<0.1%,-
Air Force Falcons,Mountain West,14-18,-1.4,202,4,-0.4,-1,14.0-18.0,5.0-13.0,<0.1%,-
Buffalo Bulls,MAC,15-17,-1.6,203,--,-1.1,-0.6,15.0-17.0,9.0-9.0,<0.1%,-
Milwaukee Panthers,Horizon,21-11,-1.7,204,--,-1.2,-0.5,21.4-11.6,14.0-6.0,<0.1%,52nd
Western Carolina Catamounts,Southern,18-15,-1.9,205,--,-0.7,-1.1,18.3-15.7,10.0-8.0,<0.1%,48th
Georgia Southern Eagles,Sun Belt,17-16,-1.9,206,--,-3.5,1.6,17.0-16.0,9.0-9.0,<0.1%,-
Texas A&M-Corpus Christi Islanders,Southland,24-11,-2,207,4,0.9,-2.8,24.0-11.0,14.0-4.0,>99.9%,-
La Salle Explorers,A 10,15-19,-2,208,--,-1.1,-0.9,15.0-19.0,7.0-11.0,<0.1%,-
Mercer Bears,Southern,14-19,-2,209,--,-1.8,-0.1,14.0-19.0,6.0-12.0,<0.1%,-
Portland State Vikings,Big Sky,12-19,-2.1,210,2,-1,-1.1,12.0-19.0,6.0-11.0,<0.1%,-
Wyoming Cowboys,Mountain West,9-22,-2.1,211,4,0.7,-2.9,9.0-22.0,4.0-14.0,<0.1%,-
Minnesota Golden Gophers,Big Ten,9-22,-2.2,212,2,-1.9,-0.4,9.0-22.0,2.0-17.0,<0.1%,-
George Washington Colonials,A 10,16-16,-2.3,213,3,2.2,-4.5,16.0-16.0,10.0-8.0,<0.1%,-
UTEP Miners,C-USA,14-18,-2.3,214,2,-4.3,2,14.0-18.0,7.0-13.0,<0.1%,-
Campbell Fighting Camels,Big South,16-18,-2.3,215,2,0.4,-2.7,16.0-18.0,8.0-10.0,<0.1%,-
Murray State Racers,MVC,17-15,-2.3,216,1,0.3,-2.6,17.0-15.0,11.0-9.0,<0.1%,-
Wofford Terriers,Southern,17-16,-2.4,217,--,2.6,-5,17.0-16.0,8.0-10.0,<0.1%,-
Jacksonville Dolphins,ASUN,13-16,-2.5,218,--,-2.7,0.2,13.0-16.0,6.0-12.0,<0.1%,-
Georgetown Hoyas,Big East,7-25,-2.5,219,1,-0.4,-2.1,7.0-25.0,2.0-18.0,<0.1%,-
Weber State Wildcats,Big Sky,18-15,-2.6,220,1,-3.1,0.5,18.0-15.0,12.0-6.0,<0.1%,-
Queens University Royals,ASUN,18-15,-2.6,221,--,1,-3.6,18.0-15.0,7.0-11.0,<0.1%,-
Delaware Blue Hens,CAA,17-16,-2.8,222,--,-1.3,-1.5,17.0-16.0,8.0-10.0,<0.1%,-
Robert Morris Colonials,Horizon,16-17,-2.9,223,--,-3.2,0.3,16.0-17.0,10.0-10.0,<0.1%,-
UMBC Retrievers,Am. East,18-14,-2.9,224,--,1.4,-4.3,18.0-14.0,8.0-8.0,<0.1%,-
Northern Arizona Lumberjacks,Big Sky,12-23,-3,225,2,0.9,-3.9,12.0-23.0,5.0-13.0,<0.1%,-
Morehead State Eagles,OVC,22-11,-3.1,226,17,-2.8,-0.3,22.1-11.9,14.0-4.0,>99.9%,23rd
Pepperdine Waves,WCC,9-22,-3.1,227,1,-0.6,-2.5,9.0-22.0,2.0-14.0,<0.1%,-
Howard Bison,MEAC,22-13,-3.2,228,3,-1.6,-1.5,22.0-13.0,11.0-3.0,>99.9%,-
South Carolina Gamecocks,SEC,11-21,-3.2,229,1,-1.5,-1.7,11.0-21.0,4.0-14.0,<0.1%,-
Texas State Bobcats,Sun Belt,16-19,-3.3,230,1,-1.4,-1.9,16.0-19.0,6.0-12.0,<0.1%,-
