,,,,,,,,,,,
TEAM,CONF,W-L,BPI,BPI RK,TREND,OFF,DEF,OVR W-L,CONF W-L,WIN CONF%,REM SOS RK
Houston Cougars,American,32-3,20.8,1,--,9.7,11.1,32.8-3.2,17.0-1.0,>99.9%,19th
Alabama Crimson Tide,SEC,30-5,18.9,2,1,8.4,10.6,30.8-5.2,16.0-2.0,>99.9%,22nd
Tennessee Volunteers,SEC,24-10,18.5,3,1,5.9,12.6,24.7-10.3,11.0-7.0,<0.1%,16th
UCLA Bruins,Pac-12,30-5,18,4,--,7.3,10.7,30.8-5.2,18.0-2.0,>99.9%,33rd
UConn Huskies,Big East,26-8,16.9,5,--,9.4,7.5,26.7-8.3,13.0-7.0,<0.1%,18th
Texas Longhorns,Big 12,27-8,16.9,6,--,8.1,8.7,27.8-8.2,12.0-6.0,<0.1%,31st
Gonzaga Bulldogs,WCC,29-5,15.5,7,1,12.9,2.6,29.7-5.3,14.0-2.0,>99.9%,21st
Purdue Boilermakers,Big Ten,29-6,15.3,8,1,8.9,6.4,29.0-6.0,15.0-5.0,>99.9%,-
Kansas Jayhawks,Big 12,28-7,14.8,9,--,6.9,7.9,28.6-7.4,13.0-5.0,>99.9%,17th
Baylor Bears,Big 12,23-10,14.2,10,2,10.7,3.5,23.5-10.5,11.0-7.0,<0.1%,11th
Creighton Bluejays,Big East,22-12,14.2,11,--,7.9,6.3,22.5-12.5,14.0-6.0,<0.1%,10th
Arizona Wildcats,Pac-12,28-7,14.1,12,2,9.6,4.6,28.0-7.0,14.0-6.0,<0.1%,-
Marquette Golden Eagles,Big East,29-6,13.7,13,--,9,4.7,29.6-6.4,17.0-3.0,>99.9%,27th
Arkansas Razorbacks,SEC,21-13,13.1,14,--,4.7,8.4,21.4-13.6,8.0-10.0,<0.1%,9th
Duke Blue Devils,ACC,27-8,13.1,15,6,6.3,6.8,27.3-8.7,14.0-6.0,<0.1%,4th
Kentucky Wildcats,SEC,22-11,12.8,16,1,8,4.8,22.6-11.4,12.0-6.0,<0.1%,28th
Indiana Hoosiers,Big Ten,23-11,12.7,17,1,6.9,5.8,23.6-11.4,12.0-8.0,<0.1%,32nd
Saint Mary's Gaels,WCC,27-7,12.6,18,2,4.8,7.8,27.3-7.7,14.0-2.0,>99.9%,6th
Maryland Terrapins,Big Ten,22-12,12.5,19,3,6.5,6,22.2-12.8,11.0-9.0,<0.1%,2nd
Xavier Musketeers,Big East,26-9,12.3,20,5,8.9,3.5,26.7-9.3,15.0-5.0,<0.1%,37th
West Virginia Mountaineers,Big 12,19-15,12.2,21,2,8.3,3.9,19.0-15.0,7.0-11.0,<0.1%,-
San Diego State Aztecs,Mountain West,28-6,12,22,3,4.4,7.6,28.8-6.2,15.0-3.0,>99.9%,40th
Auburn Tigers,SEC,21-12,12,23,4,5.4,6.5,21.2-12.8,10.0-8.0,<0.1%,1st
Virginia Cavaliers,ACC,25-8,11.9,24,5,5,6.8,25.0-8.0,15.0-5.0,>99.9%,-
Texas A&M Aggies,SEC,25-10,11.8,25,7,6.2,5.6,25.0-10.0,15.0-3.0,<0.1%,-
TCU Horned Frogs,Big 12,22-12,11.8,26,2,5.2,6.6,22.3-12.7,9.0-9.0,<0.1%,8th
Rutgers Scarlet Knights,Big Ten,19-15,11.7,27,1,1.6,10,19.0-15.0,10.0-10.0,<0.1%,-
Iowa State Cyclones,Big 12,19-14,11.6,28,4,2.7,8.9,19.0-14.0,9.0-9.0,<0.1%,-
Memphis Tigers,American,26-9,11.5,29,6,5.9,5.6,26.0-9.0,13.0-5.0,<0.1%,-
Kansas State Wildcats,Big 12,24-9,11.4,30,1,4.3,7.1,24.4-9.6,11.0-7.0,<0.1%,14th
Illinois Fighting Illini,Big Ten,20-13,11.2,31,1,4.4,6.8,20.0-13.0,11.0-9.0,<0.1%,-
Iowa Hawkeyes,Big Ten,19-14,10.8,32,1,10.1,0.7,19.0-14.0,11.0-9.0,<0.1%,-
Michigan State Spartans,Big Ten,20-12,10.6,33,3,5.2,5.4,20.4-12.6,11.0-8.0,<0.1%,13th
Oklahoma State Cowboys,Big 12,19-15,10.5,34,1,1.7,8.8,19.9-15.1,8.0-10.0,<0.1%,57th
Florida Atlantic Owls,C-USA,32-3,10.5,35,7,5.9,4.5,33.0-3.0,18.0-2.0,>99.9%,62nd
Miami Hurricanes,ACC,26-7,10.4,36,2,8.7,1.7,26.4-7.6,15.0-5.0,>99.9%,15th
Northwestern Wildcats,Big Ten,22-11,10.4,37,4,2.9,7.5,22.2-11.8,12.0-8.0,<0.1%,3rd
