TEAM,CONF,W-L,SOR RK,SOR SEED,SOR S-CURVE,QUAL WINS,SOS RK,NC SOS
Oregon State Beavers,Pac-12,20-13,43,12,43,8-8,46,--
Maryland Terrapins,Big Ten,17-14,44,10,44,5-13,14,--
Drake Bulldogs,MVC,26-5,45,11,45,1-3,160,--
Virginia Tech Hokies,ACC,15-7,46,10,46,4-5,76,--
Arizona Wildcats,Pac-12,17-9,47,--,--,2-6,75,--
Wichita State Shockers,American,16-6,48,11,47,2-4,98,--
Winthrop Eagles,Big South,23-2,49,12,48,0-1,307,--
Memphis Tigers,American,20-8,50,--,69,0-2,100,--
SMU Mustangs,American,11-6,59,--,76,1-3,86,--
Colgate Raiders,Patriot,14-2,63,14,51,0-1,279,--
Davidson Wildcats,A 10,13-9,90,--,101,0-4,102,--
Kentucky Wildcats,SEC,9-16,89,--,100,3-10,10,--
Utah State Aggies,Mountain West,20-9,72,11,87,2-3,111,--
Richmond Spiders,A 10,14-9,79,--,93,1-3,90,--
Boise State Broncos,Mountain West,19-9,66,--,81,1-4,104,--
Xavier Musketeers,Big East,13-8,58,--,75,2-3,80,--
VCU Rams,A 10,19-7,37,10,37,3-4,84,--
UC Santa Barbara Gauchos,Big West,22-5,56,12,50,0-1,186,--
Louisville Cardinals,ACC,13-7,36,--,36,5-6,42,--
Mississippi State Bulldogs,SEC,18-15,68,--,83,4-9,64,--
Oregon State Beavers,Pac-12,20-13,43,12,43,8-8,46,--
St. John's Red Storm,Big East,16-11,55,--,73,3-6,70,--
Wright State Raiders,Horizon,18-6,137,--,141,0-0,333,--
Drake Bulldogs,MVC,26-5,45,11,45,1-3,160,--
Auburn Tigers,SEC,13-14,76,--,--,3-10,37,--
Providence Friars,Big East,13-13,69,--,84,4-6,38,--
North Texas Mean Green,C-USA,18-10,80,13,53,1-4,101,--
Michigan State Spartans,Big Ten,15-13,41,11,41,8-11,8,--
Georgetown Hoyas,Big East,13-13,52,12,49,5-9,17,--
Utah Utes,Pac-12,12-13,86,--,97,3-8,59,--
Louisiana Tech Bulldogs,C-USA,24-8,62,--,79,1-1,130,--
Toledo Rockets,MAC,21-9,97,--,107,0-1,157,--
Minnesota Golden Gophers,Big Ten,14-15,54,--,72,5-13,12,--
Liberty Flames,ASUN,23-6,94,13,56,0-3,253,--
Grand Canyon Lopes,WAC,17-7,122,15,60,0-2,225,--
Northwestern Wildcats,Big Ten,9-15,85,--,96,3-13,3,--
Marquette Golden Eagles,Big East,13-14,74,--,89,3-9,33,--
Stanford Cardinal,Pac-12,14-13,70,--,85,4-8,49,--
Notre Dame Fighting Irish,ACC,11-15,87,--,98,2-12,25,--
UAB Blazers,C-USA,22-7,102,--,112,0-0,233,--
Colorado State Rams,Mountain West,20-8,61,--,78,2-2,113,--
Marshall Thundering Herd,C-USA,15-7,95,--,105,0-0,149,--
Winthrop Eagles,Big South,23-2,49,12,48,0-1,307,--
Abilene Christian Wildcats,Southland,24-5,65,14,52,1-3,222,--
Dayton Flyers,A 10,14-10,82,--,95,4-1,87,--
Pittsburgh Panthers,ACC,10-12,104,--,114,4-7,69,--
UNC Greensboro Spartans,Southern,21-9,107,13,57,0-1,191,--
Belmont Bruins,OVC,26-4,81,--,94,0-0,330,--
Saint Mary's Gaels,WCC,14-10,75,--,90,0-7,77,--
Western Kentucky Hilltoppers,C-USA,21-8,53,--,71,2-2,112,--
Buffalo Bulls,MAC,16-9,128,--,132,0-1,179,--
Ohio Bobcats,MAC,17-8,83,13,54,1-2,119,--
Rhode Island Rams,A 10,10-15,155,--,156,2-2,88,--
Furman Paladins,Southern,16-9,134,--,138,0-1,181,--
Vermont Catamounts,Am. East,10-5,143,--,146,0-0,320,--
Wichita State Shockers,American,16-6,48,11,47,2-4,98,--
UC Irvine Anteaters,Big West,18-9,109,--,118,0-2,146,--
Loyola Marymount Lions,WCC,13-9,92,--,103,0-2,103,--
Pepperdine Waves,WCC,15-12,106,--,116,1-6,95,--
Vanderbilt Commodores,SEC,9-16,135,--,139,1-9,52,--
South Dakota State Jackrabbits,Summit,16-7,110,--,119,0-1,197,--
Georgia Bulldogs,SEC,14-12,77,--,91,4-8,68,--
Eastern Washington Eagles,Big Sky,16-8,126,14,61,0-3,185,--
Arizona State Sun Devils,Pac-12,11-14,96,--,106,0-11,51,--
UC Riverside Highlanders,Big West,14-8,139,--,143,0-1,200,--
Duquesne Dukes,A 10,9-9,117,--,124,0-3,96,--
Nevada Wolf Pack,Mountain West,16-10,98,--,108,0-3,108,--
Wofford Terriers,Southern,15-9,131,--,135,0-0,180,--
Washington State Cougars,Pac-12,14-13,99,--,109,2-7,79,--
San Francisco Dons,WCC,11-14,156,--,157,1-5,92,--
UMass Minutemen,A 10,8-7,127,--,131,0-2,123,--
Georgia State Panthers,Sun Belt,16-6,108,--,117,1-0,237,--
UCF Knights,American,11-12,100,--,110,1-6,71,--
Weber State Wildcats,Big Sky,17-6,123,--,128,0-1,276,--
Nebraska Cornhuskers,Big Ten,7-20,149,--,151,2-15,11,--
South Carolina Gamecocks,SEC,6-15,133,--,137,1-9,19,--
Missouri State Bears,MVC,17-7,105,--,115,0-2,193,--
Tulsa Golden Hurricane,American,11-12,147,--,149,3-1,106,--
Butler Bulldogs,Big East,10-15,93,--,104,3-7,24,--
Southern Utah Thunderbirds,Big Sky,20-4,88,--,99,0-0,322,--
Murray State Racers,OVC,13-13,278,--,272,0-0,325,--
Akron Zips,MAC,15-8,113,--,121,0-1,162,--
Kent State Golden Flashes,MAC,15-8,111,--,120,0-1,150,--
Cincinnati Bearcats,American,12-11,91,--,102,0-4,81,--
Coastal Carolina Chanticleers,Sun Belt,18-8,160,--,160,0-0,316,--
Cal State Bakersfield Roadrunners,Big West,15-11,163,--,163,0-1,165,--
Texas A&M Aggies,SEC,8-10,116,--,123,0-6,82,--
UMBC Retrievers,Am. East,14-6,124,--,129,0-0,262,--
Miami Hurricanes,ACC,10-17,136,--,140,4-11,58,--
New Mexico State Aggies,WAC,12-8,184,--,183,0-0,260,--
TCU Horned Frogs,Big 12,12-14,101,--,111,2-11,65,--
Mercer Bears,Southern,18-11,146,--,148,1-0,182,--
Temple Owls,American,5-11,185,--,184,0-2,93,--
Iona Gaels,MAAC,12-6,140,15,62,0-2,241,--
Oral Roberts Golden Eagles,Summit,18-11,115,15,59,2-5,121,--
DePaul Blue Demons,Big East,5-14,150,--,152,0-7,44,--
Bowling Green Falcons,MAC,14-12,170,--,170,0-1,151,--
California Golden Bears,Pac-12,9-20,179,--,178,1-8,67,--
UNLV Rebels,Mountain West,12-15,204,--,202,0-3,114,--
Siena Saints,MAAC,12-5,141,--,144,0-0,335,--
Bradley Braves,MVC,12-16,231,--,226,0-3,144,--
Stephen F. Austin Lumberjacks,Southland,16-5,118,--,--,0-1,284,--
East Tennessee State Buccaneers,Southern,13-12,166,--,166,0-1,147,--
Florida Atlantic Owls,C-USA,13-10,211,--,207,0-0,300,--
Eastern Kentucky Colonels,OVC,22-7,129,--,133,0-0,311,--
Drexel Dragons,CAA,12-8,159,16,65,0-1,220,--
Navy Midshipmen,Patriot,15-3,78,--,92,0-1,267,--
Sam Houston Bearkats,Southland,19-9,130,--,134,0-3,173,--
James Madison Dukes,CAA,13-7,158,--,159,0-0,299,--
George Mason Patriots,A 10,13-9,125,--,130,0-1,129,--
Boston College Eagles,ACC,4-16,178,--,177,0-10,29,--
Santa Clara Broncos,WCC,12-8,114,--,122,0-2,127,--
Bryant Bulldogs,NEC,15-7,157,--,158,0-1,309,--
Pacific Tigers,WCC,9-9,121,--,127,0-4,94,--
Morehead State Eagles,OVC,23-8,84,14,55,0-3,163,--
Bellarmine Knights,ASUN,14-8,169,--,169,0-1,275,--
North Dakota State Bison,Summit,15-12,177,--,176,0-2,171,--
Old Dominion Monarchs,C-USA,15-8,103,--,113,0-1,136,--
Indiana State Sycamores,MVC,15-10,119,--,125,1-4,124,--
Jacksonville State Gamecocks,OVC,18-9,144,--,147,0-1,226,--
Chattanooga Mocs,Southern,18-8,120,--,126,0-0,218,--
Detroit Mercy Titans,Horizon,12-10,207,--,204,0-0,255,--
Nicholls Colonels,Southland,18-7,132,--,136,0-1,263,--
Iowa State Cyclones,Big 12,2-22,257,--,251,0-16,7,--
UTEP Miners,C-USA,12-12,175,--,174,0-2,126,--
Kansas City Roos,Summit,11-13,256,--,250,0-1,217,--
Wake Forest Demon Deacons,ACC,6-16,164,--,164,0-12,54,--
Ball State Cardinals,MAC,10-13,200,--,198,0-1,135,--
Washington Huskies,Pac-12,5-21,198,--,196,1-10,32,--
Hofstra Pride,CAA,13-10,167,--,167,0-2,192,--
Tulane Green Wave,American,10-13,161,--,161,0-5,97,--
Northeastern Huskies,CAA,10-9,142,--,145,0-3,125,--
Hartford Hawks,Am. East,15-9,145,16,63,0-3,168,--
East Carolina Pirates,American,8-11,183,--,182,1-2,117,--
UTSA Roadrunners,C-USA,15-11,162,--,162,0-1,164,--
South Dakota Coyotes,Summit,14-11,187,--,186,0-1,201,--
Appalachian State Mountaineers,Sun Belt,17-12,205,16,67,0-1,248,--
Albany Great Danes,Am. East,7-9,214,--,210,0-0,250,--
Army Black Knights,Patriot,12-10,173,--,172,0-1,178,--
Gardner-Webb Runnin' Bulldogs,Big South,11-15,284,--,277,0-1,230,--
VMI Keydets,Southern,13-12,188,--,187,0-2,167,--
South Florida Bulls,American,9-13,153,--,154,0-5,91,--
Monmouth Hawks,MAAC,12-8,180,--,179,0-0,310,--
Northern Iowa Panthers,MVC,10-15,227,--,223,0-2,133,--
Texas State Bobcats,Sun Belt,18-7,148,--,150,0-1,312,--
Tarleton Texans,WAC,10-10,221,--,217,0-0,259,--
Loyola Maryland Greyhounds,Patriot,6-11,260,--,254,0-0,254,--
Kansas State Wildcats,Big 12,9-20,171,--,171,1-15,40,--
Saint Peter's Peacocks,MAAC,14-11,212,--,208,0-1,272,--
Texas Southern Tigers,SWAC,17-9,151,16,64,0-3,194,--
Canisius Golden Griffins,MAAC,7-6,176,--,175,0-0,306,--
Cleveland State Vikings,Horizon,19-8,112,15,58,0-2,184,--
Elon Phoenix,CAA,10-9,194,--,193,0-0,269,--
Miami (OH) Redhawks,MAC,12-11,181,--,180,0-0,169,--
Montana Grizzlies,Big Sky,15-13,206,--,203,0-2,189,--
UMass Lowell River Hawks,Am. East,11-12,201,--,199,0-2,188,--
Hawai'i Rainbow Warriors,Big West,11-10,193,--,192,0-0,219,--
Austin Peay Governors,OVC,14-13,268,--,262,0-0,317,--
Stony Brook Seawolves,Am. East,9-14,265,--,259,0-0,228,--
Mount St. Mary's Mountaineers,NEC,12-11,228,16,68,0-1,282,--
South Alabama Jaguars,Sun Belt,17-11,192,--,191,0-0,268,--
Prairie View A&M Panthers,SWAC,16-5,138,--,142,0-0,334,--
Wagner Seahawks,NEC,13-7,174,--,173,0-1,324,--
Campbell Fighting Camels,Big South,17-10,197,--,195,0-1,293,--
Fresno State Bulldogs,Mountain West,12-12,168,--,168,0-2,122,--
Niagara Purple Eagles,MAAC,9-11,235,--,230,0-1,274,--
UT Arlington Mavericks,Sun Belt,13-13,254,--,248,0-2,256,--
UC Davis Aggies,Big West,10-8,189,--,188,0-0,258,--
California Baptist Lancers,WAC,13-10,223,--,219,0-1,266,--
The Citadel Bulldogs,Southern,13-12,202,--,200,0-0,210,--
Charleston Cougars,CAA,9-10,224,--,220,0-1,243,--
Norfolk State Spartans,MEAC,17-8,172,16,66,0-1,302,--
UNC Wilmington Seahawks,CAA,7-10,261,--,255,0-1,304,--
La Salle Explorers,A 10,9-16,213,--,209,1-3,107,--
Sacramento State Hornets,Big Sky,8-12,239,--,234,0-0,215,--
Montana State Bobcats,Big Sky,13-10,199,--,197,0-0,257,--
Morgan State Bears,MEAC,14-8,222,--,218,0-0,344,--
New Hampshire Wildcats,Am. East,10-9,215,--,211,0-0,328,--
UNC Asheville Bulldogs,Big South,10-10,230,--,225,0-0,281,--
Rice Owls,C-USA,15-13,186,--,185,0-0,152,--
Little Rock Trojans,Sun Belt,11-15,281,--,275,0-0,288,--
Boston University Terriers,Patriot,7-11,226,--,222,0-0,161,--
Northern Kentucky Norse,Horizon,14-11,216,--,212,0-0,291,--
San Diego Toreros,WCC,3-11,209,--,206,0-3,85,--
Seattle U Redhawks,WAC,12-11,229,--,224,0-1,251,--
Louisiana Ragin' Cajuns,Sun Belt,17-9,165,--,165,0-1,273,--
Lafayette Leopards,Patriot,9-6,190,--,189,0-0,340,--
Milwaukee Panthers,Horizon,10-12,259,--,253,0-0,265,--
Georgia Southern Eagles,Sun Belt,13-13,251,--,245,0-0,290,--
Bucknell Bison,Patriot,5-7,219,--,215,0-0,295,--
Marist Red Foxes,MAAC,12-9,208,--,205,0-0,331,--
George Washington Colonials,A 10,5-12,263,--,257,0-1,177,--
Idaho State Bengals,Big Sky,13-11,248,--,242,0-0,319,--
Charlotte 49ers,C-USA,9-16,270,--,264,0-0,175,--
Wyoming Cowboys,Mountain West,14-11,154,--,155,0-3,134,--
Lipscomb Bisons,ASUN,15-12,234,--,229,0-1,278,--
Southern Illinois Salukis,MVC,12-14,203,--,201,0-3,132,--
Stetson Hatters,ASUN,12-15,275,--,269,0-1,246,--
Western Carolina Catamounts,Southern,11-16,255,--,249,0-0,195,--
Valparaiso Beacons,MVC,10-18,271,--,265,0-3,139,--
Radford Highlanders,Big South,15-12,233,--,228,0-1,296,--
NJIT Highlanders,Am. East,7-12,250,--,244,0-0,232,--
Long Island University Sharks,NEC,9-9,237,--,232,0-0,337,--
Jackson State Tigers,SWAC,12-6,152,--,153,0-1,252,--
Arkansas State Red Wolves,Sun Belt,11-13,277,--,271,0-1,294,--
American University Eagles,Patriot,4-6,182,--,181,0-0,239,--
Saint Joseph's Hawks,A 10,5-15,195,--,194,0-4,73,--
Utah Valley Wolverines,WAC,11-11,191,--,190,0-1,153,--
Merrimack Warriors,NEC,9-9,238,--,233,0-0,339,--
Delaware Blue Hens,CAA,7-8,220,--,216,0-0,327,--
North Alabama Lions,ASUN,13-11,241,--,236,0-1,287,--
Illinois State Redbirds,MVC,7-18,288,--,281,0-3,131,--
Portland State Vikings,Big Sky,9-13,297,--,290,0-0,315,--
Quinnipiac Bobcats,MAAC,9-13,282,--,276,0-0,329,--
Northern Colorado Bears,Big Sky,11-11,236,--,231,0-1,245,--
Florida Gulf Coast Eagles,ASUN,10-8,225,--,221,0-0,341,--
Cal State Fullerton Titans,Big West,6-10,243,--,237,0-0,213,--
Evansville Purple Aces,MVC,9-16,253,--,247,0-2,137,--
Fairleigh Dickinson Knights,NEC,9-15,296,--,289,0-1,285,--
Southern Miss Golden Eagles,C-USA,8-17,301,--,294,0-0,209,--
Long Beach State Beach,Big West,6-12,247,--,241,0-0,202,--
Youngstown State Penguins,Horizon,15-12,269,--,263,0-0,332,--
UT Rio Grande Valley Vaqueros,WAC,9-10,249,--,243,0-1,283,--
St. Francis Brooklyn Terriers,NEC,9-10,258,--,252,0-0,342,--
Samford Bulldogs,Southern,6-13,266,--,260,0-0,183,--
Oakland Golden Grizzlies,Horizon,12-18,262,--,256,0-3,143,--
New Orleans Privateers,Southland,10-15,319,--,312,0-1,323,--
Longwood Lancers,Big South,12-17,308,--,301,0-1,264,--
McNeese Cowboys,Southland,10-14,333,--,326,0-0,346,--
Southern Jaguars,SWAC,8-11,290,--,283,0-2,238,--
Manhattan Jaspers,MAAC,7-13,291,--,284,0-0,318,--
North Carolina A&T Aggies,MEAC,11-10,232,--,227,0-1,247,--
St. Francis (PA) Red Flash,NEC,6-16,316,--,309,0-1,231,--
Towson Tigers,CAA,4-14,295,--,288,0-1,204,--
Eastern Illinois Panthers,OVC,9-18,323,--,316,0-1,223,--
Troy Trojans,Sun Belt,11-17,274,--,268,0-1,187,--
Fairfield Stags,MAAC,10-17,300,--,293,0-0,286,--
Cal State Northridge Matadors,Big West,9-13,246,--,240,0-0,216,--
High Point Panthers,Big South,9-15,304,--,297,0-0,261,--
Purdue Fort Wayne Mastodons,Horizon,8-15,322,--,315,0-0,338,--
IUPUI Jaguars,Horizon,8-10,240,--,235,0-0,313,--
Southeast Missouri State Redhawks,OVC,11-16,302,--,295,0-0,308,--
Florida A&M Rattlers,MEAC,8-12,276,--,270,0-3,198,--
UC San Diego Tritons,Big West,7-10,196,--,--,0-0,140,--
Rider Broncs,MAAC,6-17,315,--,308,0-1,236,--
Green Bay Phoenix,Horizon,8-17,310,--,303,0-1,199,--
Holy Cross Crusaders,Patriot,5-11,244,--,238,0-0,174,--
Sacred Heart Pioneers,NEC,9-9,218,--,214,0-1,301,--
Jacksonville Dolphins,ASUN,11-13,279,--,273,0-0,314,--
Lamar Cardinals,Southland,10-18,311,--,304,0-1,212,--
Middle Tennessee Blue Raiders,C-USA,5-18,306,--,299,0-1,141,--
Central Michigan Chippewas,MAC,7-16,324,--,317,0-0,242,--
UIC Flames,Horizon,9-13,285,--,278,0-1,297,--
UL Monroe Warhawks,Sun Belt,7-19,330,--,323,0-0,298,--
Northwestern State Demons,Southland,11-18,292,--,285,0-3,154,--
Coppin State Eagles,MEAC,9-13,252,--,246,0-2,205,--
Florida International Panthers,C-USA,9-17,318,--,311,0-0,270,--
Binghamton Bearcats,Am. East,4-14,298,--,291,0-0,249,--
Grambling Tigers,SWAC,12-12,273,--,267,0-2,271,--
North Dakota Fighting Hawks,Summit,9-17,286,--,279,0-0,206,--
Robert Morris Colonials,Horizon,4-15,325,--,318,0-0,227,--
Central Arkansas Bears,Southland,5-19,312,--,305,0-5,110,--
Western Michigan Broncos,MAC,5-16,294,--,287,0-0,155,--
North Florida Ospreys,ASUN,8-15,293,--,286,0-2,203,--
Eastern Michigan Eagles,MAC,6-12,264,--,258,0-0,170,--
New Mexico Lobos,Mountain West,6-16,313,--,306,0-0,176,--
William & Mary Tribe,CAA,7-10,217,--,213,0-1,211,--
Omaha Mavericks,Summit,5-20,328,--,321,0-3,138,--
Maine Black Bears,Am. East,2-7,210,--,--,0-0,172,--
Western Illinois Leathernecks,Summit,7-15,305,--,298,0-1,224,--
Tennessee State Tigers,OVC,4-19,341,--,336,0-0,289,--
North Carolina Central Eagles,MEAC,5-9,272,--,266,0-2,208,--
Tennessee Tech Golden Eagles,OVC,5-22,341,--,334,0-2,158,--
Hampton Pirates,Big South,11-14,314,--,307,0-0,343,--
Presbyterian Blue Hose,Big South,7-15,329,--,322,0-0,336,--
Lehigh Mountain Hawks,Patriot,4-11,287,--,280,0-0,326,--
SE Louisiana Lions,Southland,8-18,320,--,313,0-1,221,--
Fordham Rams,A 10,2-12,245,--,239,0-2,109,--
SIU Edwardsville Cougars,OVC,9-17,309,--,302,0-2,214,--
Northern Arizona Lumberjacks,Big Sky,6-16,289,--,282,0-2,145,--
Kennesaw State Owls,ASUN,5-19,337,--,331,0-1,207,--
Utah Tech Trailblazers,WAC,8-13,280,--,274,0-1,234,--
Cal Poly Mustangs,Big West,4-20,332,--,325,0-0,166,--
Central Connecticut Blue Devils,NEC,5-16,327,--,320,0-1,292,--
Houston Christian Huskies,Southland,6-19,331,--,324,0-1,190,--
Alcorn State Braves,SWAC,6-13,299,--,292,0-2,156,--
Charleston Southern Buccaneers,Big South,3-18,337,--,333,0-1,277,--
South Carolina Upstate Spartans,Big South,5-18,335,--,329,0-1,229,--
Howard Bison,MEAC,1-4,242,--,--,0-0,280,--
Alabama A&M Bulldogs,SWAC,6-9,283,--,--,0-0,345,--
Incarnate Word Cardinals,Southland,8-14,326,--,319,0-1,305,--
Texas A&M-Corpus Christi Islanders,Southland,5-19,341,--,335,0-1,235,--
Northern Illinois Huskies,MAC,3-16,321,--,314,0-1,142,--
Portland Pilots,WCC,6-15,267,--,261,0-4,116,--
Denver Pioneers,Summit,2-19,341,--,337,0-0,321,--
UT Martin Skyhawks,OVC,8-16,307,--,300,0-1,240,--
San José State Spartans,Mountain West,5-16,303,--,296,0-2,120,--
Air Force Falcons,Mountain West,5-20,317,--,310,0-2,118,--
Alabama State Hornets,SWAC,4-14,341,--,--,0-0,347,--
Arkansas-Pine Bluff Golden Lions,SWAC,4-21,334,--,327,0-3,148,--
Idaho Vandals,Big Sky,1-21,335,--,328,0-0,196,--
Delaware State Hornets,MEAC,3-16,341,--,--,0-1,303,--
South Carolina State Bulldogs,MEAC,1-17,337,--,332,0-1,244,--
Chicago State Cougars,WAC,0-9,341,--,--,0-2,83,--
Mississippi Valley State Delta Devils,SWAC,2-22,337,--,330,0-2,159,--
