TEAM,CONF,W-L,SOR RK,SOR SEED,SOR S-CURVE,QUAL WINS,SOS RK,NC SOS
Baylor Bears,Big 12,28-2,1,1,1,14-2,43,--
Gonzaga Bulldogs,WCC,31-1,2,1,2,11-1,72,--
Illinois Fighting Illini,Big Ten,24-7,3,1,3,14-6,5,--
Michigan Wolverines,Big Ten,23-5,4,1,4,13-3,15,--
Alabama Crimson Tide,SEC,26-7,5,2,5,9-5,30,--
Arkansas Razorbacks,SEC,25-7,6,3,6,7-7,56,--
Iowa Hawkeyes,Big Ten,22-9,7,2,7,10-8,16,--
Houston Cougars,American,28-4,8,2,8,5-1,99,--
USC Trojans,Pac-12,25-8,9,6,9,7-6,48,--
Ohio State Buckeyes,Big Ten,21-10,10,2,10,12-6,9,--
Oklahoma State Cowboys,Big 12,21-9,11,4,11,10-6,20,--
Kansas Jayhawks,Big 12,21-9,12,3,12,8-9,31,--
Texas Longhorns,Big 12,19-8,13,3,13,9-7,23,--
UCLA Bruins,Pac-12,22-10,14,11,14,6-7,28,--
Oregon Ducks,Pac-12,21-7,15,7,15,6-4,61,--
Florida State Seminoles,ACC,18-7,16,4,16,9-5,39,--
Creighton Bluejays,Big East,22-9,17,5,17,6-3,55,--
Villanova Wildcats,Big East,18-7,18,5,18,5-3,47,--
Colorado Buffaloes,Pac-12,23-9,19,5,19,6-5,63,--
Purdue Boilermakers,Big Ten,18-10,20,4,20,8-7,13,--
LSU Tigers,SEC,19-10,21,8,21,7-8,22,--
Virginia Cavaliers,ACC,18-7,22,4,22,7-5,60,--
West Virginia Mountaineers,Big 12,19-10,23,3,23,5-10,26,--
Wisconsin Badgers,Big Ten,18-13,24,9,24,7-12,4,--
BYU Cougars,WCC,20-7,25,6,25,1-5,78,--
Clemson Tigers,ACC,16-8,26,7,26,8-7,34,--
Rutgers Scarlet Knights,Big Ten,16-12,27,10,27,8-10,2,--
North Carolina Tar Heels,ACC,18-11,28,8,28,6-10,21,--
San Diego State Aztecs,Mountain West,23-5,29,6,29,1-2,115,--
Missouri Tigers,SEC,16-10,30,9,30,6-7,18,--
Loyola Chicago Ramblers,MVC,26-5,31,8,31,2-1,128,--
Syracuse Orange,ACC,18-10,32,11,32,8-8,41,--
Tennessee Volunteers,SEC,18-9,33,5,33,6-6,57,--
Georgia Tech Yellow Jackets,ACC,17-9,34,9,34,7-6,50,--
St. Bonaventure Bonnies,A 10,16-5,35,9,35,1-2,89,--
Louisville Cardinals,ACC,13-7,36,--,36,5-6,42,--
VCU Rams,A 10,19-7,37,10,37,3-4,84,--
UConn Huskies,Big East,15-8,38,7,38,2-6,53,--
Texas Tech Red Raiders,Big 12,18-11,39,6,39,5-11,45,--
Florida Gators,SEC,15-10,40,7,40,5-6,27,--
Michigan State Spartans,Big Ten,15-13,41,11,41,8-11,8,--
Oklahoma Sooners,Big 12,16-11,42,8,42,6-9,36,--
