RK,TEAM,Q1A,Q1,Q2,Q1&2,Q3,Q4
96,Missouri,0-9,3-13,1-5,4-18,3-2,4-1
97,Toledo,0-1,0-1,3-2,3-3,7-3,15-1
98,VMI,0-0,1-1,2-2,3-3,4-6,6-6
99,Oakland,0-1,1-2,2-1,3-3,3-3,12-6
100,UNC Greensboro,0-1,1-2,2-2,3-4,5-6,8-4
RK,TEAM,Q1-A,Q1,Q2,Q1&2,Q3,Q4
101,Ohio,0-2,0-3,3-2,3-5,2-2,18-2
102,Kent St.,0-1,1-1,2-4,3-5,4-2,14-3
103,Northern Illinois,0-1,0-4,3-3,3-7,1-4,5-10
104,Santa Clara,0-6,2-7,1-1,3-8,6-3,12-0
105,Wichita St.,0-4,1-4,2-6,3-10,6-3,6-0
106,Cincinnati,1-6,1-7,2-3,3-10,3-4,11-1
107,Tulane,0-4,0-5,3-5,3-10,5-3,6-2
108,Fresno St.,0-5,0-8,3-3,3-11,4-2,11-0
109,Louisville,0-4,0-6,3-8,3-14,5-5,5-0
110,Northwestern,1-8,1-11,2-3,3-14,5-2,6-0
111,Nebraska,2-8,2-10,1-7,3-17,2-4,5-1
112,California,0-5,0-7,3-10,3-17,2-2,7-1
113,South Dakota St. 13,0-1,0-2,2-0,2-2,13-1,13-1
114,Towson,0-2,0-2,2-0,2-2,9-4,14-2
115,Troy,0-0,0-1,2-1,2-2,7-6,8-3
116,Southern,0-1,0-2,2-1,2-3,1-4,12-7
117,Monmouth,0-0,1-1,1-2,2-3,8-7,11-3
118,Akron 13,0-1,0-2,2-1,2-3,4-4,16-2
119,Iona,0-1,1-2,1-1,2-3,11-2,12-2
120,UC Irvine,0-1,2-2,0-1,2-3,3-5,8-2
121,Western Carolina,0-0,0-2,2-2,2-4,0-13,8-4
122,Rider,0-0,0-0,2-4,2-4,4-7,7-8
123,Stephen F. Austin,0-1,0-1,2-3,2-4,8-4,8-1
124,Southeast Missouri St.,0-2,1-4,1-1,2-5,0-6,10-7
125,Grand Canyon,1-0,1-0,1-5,2-5,7-2,12-1
126,Navy,0-0,0-1,2-4,2-5,2-2,16-4
127,Samford,0-1,0-2,2-4,2-6,4-4,12-1
128,Buffalo,0-1,1-2,1-4,2-6,2-3,13-2
129,Utah Valley,0-1,0-2,2-4,2-6,6-5,10-1
130,College of Charleston,0-0,1-2,1-4,2-6,4-6,11-3
131,East Tennessee St.,1-1,1-3,1-3,2-6,7-5,4-6
132,George Mason,0-1,0-3,2-4,2-7,5-7,7-2
133,Middle Tennessee,0-1,0-5,2-2,2-7,6-3,13-0
134,UTEP,0-1,0-3,2-4,2-7,4-4,11-2
135,Old Dominion,0-0,0-1,2-6,2-7,3-8,7-4
136,Morehead St.,0-4,0-8,2-0,2-8,1-1,17-2
137,Massachusetts,0-0,0-4,2-4,2-8,5-5,8-4
138,Bradley,0-2,1-6,1-2,2-8,6-3,8-3
139,Louisiana Tech,0-2,2-5,0-3,2-8,5-1,14-1
140,Utah,0-4,0-7,2-7,2-14,5-5,4-1
141,New Mexico,0-2,0-9,2-6,2-15,4-2,5-2
142,Minnesota,1-8,2-10,0-6,2-16,6-1,5-0
143,Nevada,0-5,1-12,1-4,2-16,3-1,7-1
144,Georgia,0-5,1-10,1-8,2-18,0-5,4-3
145,UC Davis,0-0,1-0,0-0,1-0,1-6,10-4
146,Princeton,0-0,0-0,1-1,1-1,6-5,14-0
147,Howard,0-1,0-1,1-1,1-2,0-4,12-7
148,Vermont 13,0-1,0-1,1-1,1-2,7-2,19-1
149,Colgate 14,0-0,0-2,1-0,1-2,1-6,20-3
150,Wagner,0-1,1-1,0-1,1-2,2-2,17-2
RK,TEAM,Q1-A,Q1,Q2,Q1&2,Q3,Q4
151,Siena,0-0,0-0,1-2,1-2,6-5,8-7
152,UNC Wilmington,0-0,1-0,0-2,1-2,9-5,11-2
153,Florida Gulf Coast,0-1,0-1,1-1,1-2,1-5,17-4
154,Hartford,0-0,0-1,1-2,1-3,0-6,11-11
155,UMass Lowell,0-0,1-1,0-2,1-3,2-5,9-8
156,Lafayette,0-1,0-1,1-2,1-3,0-6,8-11
157,Jacksonville St. 15,0-1,0-2,1-1,1-3,3-2,15-5
158,Liberty,0-1,0-1,1-2,1-3,5-4,13-4
159,Cal St. Fullerton 15,0-1,0-2,1-1,1-3,7-3,11-4
160,Idaho,0-0,0-1,1-2,1-3,0-8,6-11
161,UC Riverside,0-2,0-2,1-2,1-4,3-6,10-2
162,St. Francis NY,0-1,0-2,1-2,1-4,0-3,8-13
163,Weber St.,0-0,0-1,1-3,1-4,3-3,15-5
164,Nicholls St.,0-3,0-4,1-0,1-4,0-1,16-6
165,Eastern Washington,0-1,1-2,0-2,1-4,2-4,13-7
166,James Madison,0-1,0-2,1-2,1-4,5-6,7-4
167,Merrimack,0-3,0-3,1-1,1-4,0-3,12-9
168,Niagara,0-2,0-2,1-2,1-4,2-7,10-5
169,Cal St. Bakersfield,1-1,1-2,0-2,1-4,0-9,5-6
170,Texas Southern 16,0-1,1-2,0-3,1-5,0-2,17-5
171,Yale 14,0-3,0-4,1-1,1-5,5-5,12-1
172,Winthrop,0-0,0-2,1-3,1-5,4-2,15-2
173,Louisiana Monroe,0-2,0-3,1-2,1-5,2-8,7-5
174,Miami OH,0-0,0-1,1-4,1-5,1-8,9-5
175,Seattle,0-0,0-1,1-5,1-6,5-2,15-1
176,Pacific,0-2,0-5,1-1,1-6,1-8,4-8
177,Delaware 15,0-0,0-2,1-4,1-6,8-4,12-2
178,Bellarmine,0-5,0-5,1-1,1-6,1-4,14-3
179,Drexel,0-0,0-1,1-5,1-6,5-6,8-2
180,Furman,0-1,0-4,1-2,1-6,9-4,11-2
181,Northeastern,0-0,0-2,1-4,1-6,2-10,6-6
182,Ball St.,0-1,0-2,1-4,1-6,1-7,11-4
183,Hofstra,1-1,1-2,0-4,1-6,8-3,10-2
184,Abilene Christian,0-0,0-1,1-5,1-6,6-4,12-0
185,Lipscomb,0-1,1-3,0-4,1-7,0-5,10-7
186,Elon,0-3,0-5,1-2,1-7,2-12,5-3
187,Austin Peay,0-1,1-5,0-2,1-7,1-3,8-7
